,c,h,l,o,s,t,v
0,157.91999816895,159.91999816895,153.82000732422,156.16000366211,ok,1546387200,1290990
1,162.85000610352,164.07000732422,157.74000549316,158.22999572754,ok,1546473600,1514733
2,158.80999755859,164.5,158.47999572754,164.16999816895,ok,1546560000,1423037
3,161.13999938965,163.57000732422,156.83000183105,161.67999267578,ok,1546819200,2088323
4,160.02000427246,162.94999694824,157.17999267578,162.00999450684,ok,1546905600,1604674
5,164.42999267578,165.78999328613,161.22999572754,162.67999267578,ok,1546992000,1429877
6,165.07000732422,165.22999572754,160.75999450684,163.0299987793,ok,1547078400,999051
7,159.41999816895,166.42999267578,159.25,164.50999450684,ok,1547164800,1299571
8,158.7200012207,159.49000549316,156.69000244141,157.78999328613,ok,1547424000,1307673
9,160.2799987793,162.32000732422,158.0299987793,158.61999511719,ok,1547510400,1023677
10,162.44000244141,162.46000671387,159.0299987793,160.88999938965,ok,1547596800,1158019
11,166.2799987793,167.41999816895,161.5,161.99000549316,ok,1547683200,1455093
12,167.61000061035,168.7799987793,163.66000366211,167.22999572754,ok,1547769600,1777270
13,164.13000488281,168.41999816895,162.25999450684,166.66999816895,ok,1548115200,1384244
14,164.33000183105,166.60000610352,162.16000366211,164.03999328613,ok,1548201600,1207844
15,156.30999755859,164.9700012207,155.63999938965,164.5,ok,1548288000,1297964
16,153.2200012207,156.83000183105,150.24000549316,156.83000183105,ok,1548374400,1800707
17,154.86000061035,155.05000305176,150.05000305176,151.64999389648,ok,1548633600,1311545
18,155.38999938965,155.44999694824,151.75,154.14999389648,ok,1548720000,1076241
19,159.03999328613,160.19999694824,155.60000610352,156.19000244141,ok,1548806400,1016528
20,159.19999694824,160.11000061035,155.7799987793,158.39999389648,ok,1548892800,1586550
21,159.03999328613,161.67999267578,158.5299987793,159.89999389648,ok,1548979200,941545
