,c,h,l,o,s,t,v
0,74.449996948242,74.769996643066,73.110000610352,73.73999786377,ok,1546387200,1149663
1,73.370002746582,74.709999084473,72.910003662109,74.089996337891,ok,1546473600,1499504
2,74.220001220703,74.360000610352,72.550003051758,73.660003662109,ok,1546560000,2417659
3,74.75,76.23999786377,73.819999694824,74.430000305176,ok,1546819200,1608306
4,75.550003051758,75.930000305176,74.110000610352,75.099998474121,ok,1546905600,1689498
5,76.319999694824,76.900001525879,75.589996337891,75.919998168945,ok,1546992000,1151406
6,76.0,76.330001831055,74.779998779297,75.949996948242,ok,1547078400,1623068
7,76.559997558594,76.620002746582,74.879997253418,75.639999389648,ok,1547164800,978562
8,76.860000610352,77.620002746582,76.01000213623,76.029998779297,ok,1547424000,1466203
9,77.26000213623,77.73999786377,76.389999389648,76.98999786377,ok,1547510400,1667421
10,77.300003051758,77.769996643066,76.669998168945,77.25,ok,1547596800,988893
11,76.080001831055,78.129997253418,76.0,77.790000915527,ok,1547683200,1369660
12,79.860000610352,79.949996948242,76.5,76.819999694824,ok,1547769600,2245558
13,79.709999084473,79.910003662109,78.220001220703,79.25,ok,1548115200,1400212
14,79.360000610352,79.980003356934,77.669998168945,79.809997558594,ok,1548201600,1044009
15,78.699996948242,79.949996948242,78.300003051758,79.300003051758,ok,1548288000,670020
16,79.660003662109,80.529998779297,78.970001220703,79.209999084473,ok,1548374400,924327
17,80.120002746582,80.309997558594,78.879997253418,79.470001220703,ok,1548633600,838769
18,79.540000915527,80.110000610352,78.519996643066,80.040000915527,ok,1548720000,1040897
19,78.529998779297,80.139999389648,78.330001831055,79.730003356934,ok,1548806400,1833360
20,83.370002746582,85.860000610352,80.480003356934,80.480003356934,ok,1548892800,4542407
21,83.76000213623,83.819999694824,79.699996948242,81.819999694824,ok,1548979200,4283306
22,84.449996948242,85.0,83.269996643066,83.75,ok,1549238400,1871979
23,85.769996643066,86.349998474121,84.480003356934,84.75,ok,1549324800,1594565
24,86.639999389648,87.269996643066,85.190002441406,85.419998168945,ok,1549411200,1132685
25,85.800003051758,87.529998779297,85.480003356934,86.800003051758,ok,1549497600,1470724
26,84.309997558594,85.440002441406,83.699996948242,85.300003051758,ok,1549584000,1519856
27,83.639999389648,84.349998474121,83.290000915527,84.25,ok,1549843200,1304768
28,85.790000915527,85.830001831055,84.069999694824,84.139999389648,ok,1549929600,1024750
29,86.410003662109,86.769996643066,85.48999786377,85.910003662109,ok,1550016000,752171
30,86.449996948242,86.970001220703,85.519996643066,86.019996643066,ok,1550102400,735825
31,86.660003662109,87.349998474121,85.900001525879,86.699996948242,ok,1550188800,920782
32,86.849998474121,87.319999694824,86.0,86.400001525879,ok,1550534400,1545961
33,86.330001831055,87.129997253418,85.430000305176,86.190002441406,ok,1550620800,728250
34,84.980003356934,86.400001525879,84.529998779297,86.349998474121,ok,1550707200,722368
35,85.669998168945,85.879997253418,84.900001525879,85.389999389648,ok,1550793600,827929
36,84.669998168945,86.569999694824,84.639999389648,86.300003051758,ok,1551052800,746075
37,83.919998168945,84.980003356934,83.879997253418,84.800003051758,ok,1551139200,825249
38,82.790000915527,83.870002746582,82.449996948242,83.669998168945,ok,1551225600,1896337
39,83.300003051758,83.959999084473,82.559997558594,82.860000610352,ok,1551312000,1832286
40,82.980003356934,84.269996643066,82.199996948242,83.709999084473,ok,1551398400,902644
41,80.480003356934,83.440002441406,79.830001831055,83.01000213623,ok,1551657600,1260639
42,79.660003662109,80.699996948242,79.430000305176,80.699996948242,ok,1551744000,2123477
43,76.629997253418,79.629997253418,76.529998779297,79.629997253418,ok,1551830400,3413239
44,76.330001831055,77.51000213623,76.019996643066,77.019996643066,ok,1551916800,2734181
45,76.410003662109,76.940002441406,75.529998779297,75.809997558594,ok,1552003200,1426229
46,77.949996948242,78.050003051758,76.080001831055,76.519996643066,ok,1552262400,1336164
47,78.419998168945,79.120002746582,78.099998474121,78.099998474121,ok,1552348800,1387639
48,79.790000915527,80.26000213623,78.680000305176,79.040000915527,ok,1552435200,1050025
49,79.51000213623,80.26000213623,79.069999694824,79.620002746582,ok,1552521600,1288391
50,80.180000305176,80.589996337891,79.48999786377,79.48999786377,ok,1552608000,2009349
51,80.389999389648,81.300003051758,80.199996948242,80.48999786377,ok,1552867200,830051
52,81.069999694824,81.699996948242,80.379997253418,80.48999786377,ok,1552953600,871151
53,79.269996643066,80.889999389648,79.26000213623,80.889999389648,ok,1553040000,1103170
54,80.360000610352,80.419998168945,79.0,79.0,ok,1553126400,919597
55,78.769996643066,80.379997253418,78.669998168945,80.139999389648,ok,1553212800,978843
56,77.099998474121,78.769996643066,76.870002746582,78.769996643066,ok,1553472000,1670390
57,76.559997558594,77.930000305176,76.050003051758,77.559997558594,ok,1553558400,1667194
58,76.5,76.870002746582,75.650001525879,76.360000610352,ok,1553644800,1339206
59,77.889999389648,77.930000305176,76.690002441406,77.050003051758,ok,1553731200,1111504
60,79.519996643066,79.639999389648,78.01000213623,78.309997558594,ok,1553817600,1249773
61,79.089996337891,80.25,79.0,80.040000915527,ok,1554076800,1413020
62,74.48999786377,77.050003051758,74.410003662109,76.879997253418,ok,1554163200,2275821
63,75.050003051758,76.26000213623,74.129997253418,75.069999694824,ok,1554249600,1977275
64,75.970001220703,76.120002746582,74.279998779297,75.269996643066,ok,1554336000,1523076
65,77.269996643066,78.169998168945,76.160003662109,76.370002746582,ok,1554422400,1383867
66,78.120002746582,78.389999389648,76.5,77.099998474121,ok,1554681600,1717291
67,77.430000305176,78.040000915527,76.5,77.720001220703,ok,1554768000,957123
68,74.0,75.449996948242,72.150001525879,75.349998474121,ok,1554854400,3073590
69,74.180000305176,75.269996643066,73.459999084473,74.51000213623,ok,1554940800,1603634
70,74.73999786377,76.23999786377,74.480003356934,74.580001831055,ok,1555027200,1552838
71,76.110000610352,76.160003662109,74.599998474121,75.059997558594,ok,1555286400,871014
72,75.349998474121,76.900001525879,74.430000305176,76.290000915527,ok,1555372800,1547475
73,72.300003051758,75.790000915527,71.629997253418,75.589996337891,ok,1555459200,1587268
74,72.449996948242,72.779998779297,71.279998779297,72.300003051758,ok,1555545600,1431868
75,71.059997558594,72.970001220703,70.550003051758,72.430000305176,ok,1555891200,1270401
76,73.430000305176,73.98999786377,70.910003662109,71.199996948242,ok,1555977600,1908779
77,74.089996337891,74.660003662109,73.339996337891,73.610000610352,ok,1556064000,1207715
78,73.720001220703,73.860000610352,72.629997253418,73.830001831055,ok,1556150400,1006672
79,74.050003051758,74.849998474121,73.550003051758,74.089996337891,ok,1556236800,814986
80,74.51000213623,74.779998779297,73.75,74.029998779297,ok,1556496000,719001
81,74.76000213623,75.059997558594,73.610000610352,74.800003051758,ok,1556582400,1052484
82,73.389999389648,75.25,73.040000915527,75.129997253418,ok,1556668800,2035529
83,77.059997558594,78.769996643066,75.300003051758,75.519996643066,ok,1556755200,3064470
84,79.139999389648,79.589996337891,77.639999389648,77.980003356934,ok,1556841600,2090508
85,78.309997558594,78.559997558594,75.620002746582,78.129997253418,ok,1557100800,1204584
86,77.459999084473,79.059997558594,76.769996643066,77.610000610352,ok,1557187200,1727871
87,78.720001220703,79.559997558594,76.5,77.839996337891,ok,1557273600,1826556
88,79.180000305176,79.790000915527,77.169998168945,77.730003356934,ok,1557360000,1773996
89,77.470001220703,79.51000213623,76.129997253418,78.900001525879,ok,1557446400,1336129
90,75.680000305176,76.269996643066,74.669998168945,76.040000915527,ok,1557705600,1087011
91,76.690002441406,78.919998168945,75.470001220703,75.940002441406,ok,1557792000,1605069
92,77.860000610352,77.959999084473,75.180000305176,76.290000915527,ok,1557878400,1333401
93,77.589996337891,78.75,77.360000610352,77.839996337891,ok,1557964800,1382012
94,77.730003356934,78.830001831055,76.430000305176,76.839996337891,ok,1558051200,1199624
95,79.230003356934,79.669998168945,77.050003051758,77.080001831055,ok,1558310400,1605870
96,80.569999694824,81.26000213623,79.470001220703,79.779998779297,ok,1558396800,1910878
97,81.800003051758,82.080001831055,80.160003662109,80.470001220703,ok,1558483200,1672009
98,80.440002441406,81.669998168945,79.949996948242,81.160003662109,ok,1558569600,1187380
99,80.680000305176,81.290000915527,79.940002441406,80.440002441406,ok,1558656000,809272
100,80.889999389648,81.690002441406,80.569999694824,80.569999694824,ok,1559001600,1900313
101,78.349998474121,80.580001831055,78.190002441406,80.529998779297,ok,1559088000,2047121
102,78.319999694824,78.930000305176,77.459999084473,78.349998474121,ok,1559174400,802785
103,77.860000610352,78.349998474121,77.069999694824,77.550003051758,ok,1559260800,841877
104,80.370002746582,81.069999694824,78.120002746582,78.120002746582,ok,1559520000,1357544
105,82.209999084473,82.879997253418,81.0,81.290000915527,ok,1559606400,1891527
106,81.650001525879,83.190002441406,81.019996643066,82.860000610352,ok,1559692800,1145377
107,81.75,82.459999084473,81.540000915527,81.550003051758,ok,1559779200,1412912
108,83.480003356934,83.669998168945,81.959999084473,82.330001831055,ok,1559865600,1232210
109,84.769996643066,85.480003356934,83.580001831055,83.629997253418,ok,1560124800,1418037
110,84.720001220703,85.269996643066,84.449996948242,85.0,ok,1560211200,1253902
111,85.379997253418,85.410003662109,84.269996643066,84.669998168945,ok,1560297600,1135964
112,86.440002441406,86.680000305176,85.309997558594,85.599998474121,ok,1560384000,1022718
113,85.050003051758,86.98999786377,84.839996337891,86.699996948242,ok,1560470400,1003820
114,85.339996337891,85.610000610352,84.389999389648,85.459999084473,ok,1560729600,1058794
115,85.449996948242,87.099998474121,85.139999389648,85.940002441406,ok,1560816000,915502
116,86.059997558594,86.790000915527,85.529998779297,85.73999786377,ok,1560902400,1377258
117,85.559997558594,86.970001220703,84.360000610352,86.970001220703,ok,1560988800,1880400
118,84.459999084473,85.48999786377,84.25,85.379997253418,ok,1561075200,2403089
119,83.519996643066,85.139999389648,82.889999389648,84.599998474121,ok,1561334400,2042913
120,84.279998779297,85.150001525879,83.120002746582,83.870002746582,ok,1561420800,1699429
121,83.779998779297,84.839996337891,83.25,84.349998474121,ok,1561507200,1067551
122,85.629997253418,86.529998779297,83.900001525879,84.389999389648,ok,1561593600,1137530
123,85.26000213623,86.26000213623,85.059997558594,85.830001831055,ok,1561680000,1565448
124,85.589996337891,85.910003662109,84.650001525879,85.779998779297,ok,1561939200,1193747
125,85.459999084473,86.050003051758,84.519996643066,85.589996337891,ok,1562025600,1043740
126,87.589996337891,88.779998779297,86.080001831055,86.110000610352,ok,1562112000,1066475
127,87.970001220703,88.860000610352,86.580001831055,87.400001525879,ok,1562284800,710361
128,87.830001831055,88.059997558594,86.540000915527,87.620002746582,ok,1562544000,968666
129,88.230003356934,88.75,87.169998168945,87.419998168945,ok,1562630400,1121450
130,89.300003051758,89.769996643066,88.099998474121,88.830001831055,ok,1562716800,1542551
131,90.529998779297,94.199996948242,89.790000915527,91.76000213623,ok,1562803200,2191230
132,89.849998474121,91.300003051758,88.870002746582,90.400001525879,ok,1562889600,1495038
133,89.930000305176,90.400001525879,88.949996948242,90.01000213623,ok,1563148800,810009
134,89.0,89.900001525879,88.75,89.870002746582,ok,1563235200,942771
135,85.459999084473,88.519996643066,84.620002746582,88.389999389648,ok,1563321600,2198418
136,86.76000213623,87.0,84.550003051758,85.480003356934,ok,1563408000,1190890
137,85.519996643066,86.639999389648,85.089996337891,86.639999389648,ok,1563494400,928305
138,85.050003051758,86.180000305176,84.930000305176,85.849998474121,ok,1563753600,840307
139,85.809997558594,86.160003662109,84.769996643066,85.269996643066,ok,1563840000,812492
140,86.889999389648,87.040000915527,85.599998474121,86.01000213623,ok,1563926400,757378
141,85.930000305176,87.620002746582,85.540000915527,87.230003356934,ok,1564012800,595909
142,86.120002746582,86.690002441406,85.580001831055,86.26000213623,ok,1564099200,723390
143,87.230003356934,87.26000213623,86.099998474121,86.110000610352,ok,1564358400,803038
144,88.720001220703,89.01000213623,85.480003356934,86.5,ok,1564444800,1414279
145,87.150001525879,88.730003356934,85.529998779297,88.720001220703,ok,1564531200,1503231
146,91.699996948242,94.75,90.580001831055,90.879997253418,ok,1564617600,3230284
147,90.440002441406,92.889999389648,88.699996948242,91.949996948242,ok,1564704000,1252666
148,88.699996948242,90.860000610352,87.819999694824,89.580001831055,ok,1564963200,1392152
149,84.110000610352,90.98999786377,82.650001525879,89.300003051758,ok,1565049600,4485044
150,85.849998474121,86.040000915527,81.800003051758,83.779998779297,ok,1565136000,1998923
151,87.889999389648,88.389999389648,85.480003356934,85.800003051758,ok,1565222400,1445988
152,87.449996948242,88.169998168945,86.540000915527,87.940002441406,ok,1565308800,898836
153,87.379997253418,87.870002746582,86.550003051758,87.370002746582,ok,1565568000,906730
154,89.26000213623,89.959999084473,86.949996948242,87.610000610352,ok,1565654400,1411514
155,86.339996337891,88.480003356934,86.139999389648,88.480003356934,ok,1565740800,1368803
156,85.970001220703,86.879997253418,85.339996337891,86.430000305176,ok,1565827200,1100013
157,87.339996337891,87.900001525879,86.0,86.150001525879,ok,1565913600,820633
158,87.75,88.970001220703,87.629997253418,88.209999084473,ok,1566172800,903951
159,86.300003051758,88.610000610352,86.220001220703,88.040000915527,ok,1566259200,1017766
160,86.319999694824,87.580001831055,86.230003356934,86.440002441406,ok,1566345600,1033242
161,85.550003051758,87.120002746582,85.330001831055,86.559997558594,ok,1566432000,1008277
162,83.540000915527,86.400001525879,83.089996337891,85.459999084473,ok,1566518400,1177843
163,85.900001525879,85.919998168945,84.099998474121,84.410003662109,ok,1566777600,1183862
164,81.279998779297,86.580001831055,81.199996948242,85.940002441406,ok,1566864000,1848260
165,81.01000213623,82.029998779297,80.410003662109,81.029998779297,ok,1566950400,1927453
