,c,h,l,o,s,t,v
0,309.95999145508,320.70999145508,307.0299987793,315.94000244141,ok,1546387200,590090
1,302.29000854492,311.73999023438,293.66000366211,307.25,ok,1546473600,665345
2,313.44000244141,321.48001098633,304.98001098633,305.30999755859,ok,1546560000,624313
3,314.79998779297,315.5,305.55999755859,313.5,ok,1546819200,710612
4,318.42001342773,323.10000610352,312.2200012207,318.45001220703,ok,1546905600,570860
5,336.39999389648,342.9700012207,322.10000610352,324.73999023438,ok,1546992000,623971
6,335.13000488281,340.86999511719,322.76998901367,334.10000610352,ok,1547078400,531139
7,323.79998779297,334.20001220703,320.51998901367,332.76998901367,ok,1547164800,545064
8,315.25,322.0,314.05999755859,321.89999389648,ok,1547424000,343558
9,325.60998535156,327.57000732422,316.61999511719,316.61999511719,ok,1547510400,358240
10,324.13000488281,332.92999267578,323.29000854492,326.05999755859,ok,1547596800,476913
11,330.32000732422,332.94000244141,324.05999755859,324.05999755859,ok,1547683200,305591
12,333.73999023438,337.16000366211,326.5,335.20001220703,ok,1547769600,459825
13,336.13000488281,339.67001342773,330.85000610352,333.54998779297,ok,1548115200,669122
14,336.98001098633,344.9700012207,332.75,339.14001464844,ok,1548201600,376092
15,348.5,349.33999633789,334.95001220703,337.5,ok,1548288000,734215
16,349.36999511719,353.92001342773,346.45999145508,349.98999023438,ok,1548374400,415137
17,336.89999389648,350.0,333.76000976562,348.89999389648,ok,1548633600,388755
18,330.38000488281,339.54998779297,326.48001098633,338.38000488281,ok,1548720000,374337
19,339.58999633789,339.91000366211,327.38000488281,331.10998535156,ok,1548806400,414173
20,351.07000732422,362.67001342773,342.35000610352,359.54000854492,ok,1548892800,1073714
21,351.07998657227,351.45001220703,340.92001342773,348.79000854492,ok,1548979200,496624
