,c,h,l,o,s,t,v
0,224.57000732422,226.16999816895,219.0,219.91000366211,ok,1546387200,2784109
1,215.69999694824,223.63000488281,215.14999389648,220.88000488281,ok,1546473600,3663514
2,226.19000244141,227.64999389648,217.47999572754,219.83999633789,ok,1546560000,4043376
3,229.25999450684,232.60000610352,227.28999328613,229.94999694824,ok,1546819200,3638526
4,232.67999267578,233.77000427246,228.33000183105,232.64999389648,ok,1546905600,3685900
5,235.42999267578,238.58999633789,232.0,234.00999450684,ok,1546992000,3594435
6,237.77000427246,238.03999328613,231.71000671387,233.77000427246,ok,1547078400,2704960
7,237.55000305176,239.32000732422,235.22999572754,235.71000671387,ok,1547164800,3179485
8,234.55999755859,236.25,231.96000671387,235.33000183105,ok,1547424000,2607012
9,242.36000061035,243.92999267578,237.25999450684,237.89999389648,ok,1547510400,3656486
10,241.94999694824,244.0,239.67999267578,243.60000610352,ok,1547596800,2885155
11,244.39999389648,245.03999328613,238.7799987793,240.13000488281,ok,1547683200,2836201
12,247.50999450684,250.67999267578,244.44999694824,247.44999694824,ok,1547769600,3711300
13,243.85000610352,245.61000061035,241.19000244141,245.13000488281,ok,1548115200,4155486
14,245.13999938965,248.16000366211,240.60000610352,244.91000366211,ok,1548201600,2031718
15,242.55999755859,245.97999572754,241.17999267578,245.61999511719,ok,1548288000,3642950
16,244.94999694824,247.10000610352,243.42999267578,244.99000549316,ok,1548374400,3821429
17,241.85000610352,243.2200012207,239.35000610352,241.0,ok,1548633600,2110409
18,238.27000427246,242.86999511719,237.27000427246,241.80999755859,ok,1548720000,1937089
19,242.66999816895,243.0,238.86999511719,240.16000366211,ok,1548806400,2483107
20,247.82000732422,249.0,243.0,243.0,ok,1548892800,5007179
21,247.38000488281,251.0299987793,246.10000610352,247.82000732422,ok,1548979200,3033305
