,c,h,l,o,s,t,v
0,130.13999938965,130.7799987793,128.61000061035,129.16000366211,ok,1546387200,2190104
1,126.20999908447,129.30000305176,126.05999755859,128.50999450684,ok,1546473600,3854018
2,131.24000549316,131.38999938965,127.54000091553,128.38999938965,ok,1546560000,2161258
3,130.5299987793,132.14999389648,129.5,130.99000549316,ok,1546819200,3455834
4,131.30000305176,132.42999267578,129.05999755859,131.47999572754,ok,1546905600,2275635
5,131.41999816895,131.86000061035,129.4700012207,131.86000061035,ok,1546992000,1844526
6,132.46000671387,132.58000183105,130.50999450684,130.52000427246,ok,1547078400,2051891
7,131.64999389648,132.0,130.66999816895,131.80000305176,ok,1547164800,1185704
8,130.89999389648,131.64999389648,130.0,130.16000366211,ok,1547424000,1787819
9,132.33000183105,133.2200012207,130.94999694824,130.94999694824,ok,1547510400,3286146
10,132.75999450684,133.55000305176,131.83999633789,132.66000366211,ok,1547596800,2080991
11,132.94000244141,133.75,132.05000305176,132.13000488281,ok,1547683200,2194832
12,135.17999267578,135.38000488281,133.03999328613,134.25,ok,1547769600,2281016
13,133.16999816895,134.52000427246,132.03999328613,133.99000549316,ok,1548115200,2908933
14,134.41999816895,134.63000488281,132.64999389648,133.61999511719,ok,1548201600,1923032
15,134.75,135.7200012207,133.86999511719,134.66000366211,ok,1548288000,1903188
16,136.41000366211,136.74000549316,135.25999450684,136.02000427246,ok,1548374400,1710183
17,135.5,135.72999572754,134.28999328613,134.96000671387,ok,1548633600,1930622
18,134.0,135.88000488281,133.75999450684,135.36999511719,ok,1548720000,1726504
19,139.41000366211,140.78999328613,135.00999450684,137.0,ok,1548806400,3734452
20,139.83999633789,141.14999389648,138.11999511719,138.83000183105,ok,1548892800,5836557
21,141.61999511719,141.69000244141,139.71000671387,139.71000671387,ok,1548979200,2940936
