,c,h,l,o,s,t,v
0,128.96000671387,129.63999938965,124.65000152588,125.38999938965,ok,1546387200,1517461
1,121.84999847412,127.5,121.12000274658,126.48999786377,ok,1546473600,2564725
2,128.2799987793,129.36999511719,121.80999755859,124.37000274658,ok,1546560000,2480600
3,132.7200012207,133.39999389648,128.14999389648,128.27000427246,ok,1546819200,1634570
4,133.86999511719,135.69999694824,132.25,134.25999450684,ok,1546905600,1324802
5,136.77000427246,137.7799987793,133.41000366211,134.7200012207,ok,1546992000,1770496
6,136.71000671387,137.5299987793,134.85000610352,135.21000671387,ok,1547078400,1517630
7,136.74000549316,137.5,135.25,135.7799987793,ok,1547164800,903150
8,134.75,136.17999267578,134.11999511719,135.36999511719,ok,1547424000,906326
9,135.88000488281,137.44999694824,131.88000488281,131.88000488281,ok,1547510400,1573952
10,135.30000305176,137.5,134.80000305176,136.17999267578,ok,1547596800,1425769
11,136.5,137.89999389648,134.25,134.63000488281,ok,1547683200,2127856
12,141.72999572754,141.83999633789,135.46000671387,138.28999328613,ok,1547769600,2684475
13,139.05999755859,141.52000427246,138.11999511719,140.2799987793,ok,1548115200,2015485
14,137.49000549316,141.13000488281,136.55999755859,139.46000671387,ok,1548201600,1637955
15,136.05000305176,137.5,135.24000549316,136.02000427246,ok,1548288000,2117948
16,142.08000183105,142.47999572754,137.75,138.11000061035,ok,1548374400,1958348
17,140.77000427246,141.08999633789,138.74000549316,140.64999389648,ok,1548633600,1314649
18,140.16000366211,141.77000427246,139.00999450684,140.91999816895,ok,1548720000,806642
19,146.0,146.05999755859,140.61000061035,141.67999267578,ok,1548806400,1295768
20,147.19999694824,148.57000732422,145.86000061035,146.19999694824,ok,1548892800,1416343
21,149.07000732422,149.55999755859,146.89999389648,147.7799987793,ok,1548979200,1647404
22,151.58999633789,152.64999389648,149.0,149.05999755859,ok,1549238400,1717471
23,152.41999816895,153.69000244141,151.66999816895,151.72999572754,ok,1549324800,1591408
24,152.2799987793,153.13999938965,150.78999328613,152.16000366211,ok,1549411200,1325779
25,150.55999755859,151.92999267578,149.13000488281,151.0,ok,1549497600,1859557
26,154.30999755859,154.41000366211,149.11999511719,149.11999511719,ok,1549584000,1407936
27,154.57000732422,156.27000427246,153.80000305176,155.0,ok,1549843200,1432168
28,159.53999328613,159.61000061035,155.88999938965,156.39999389648,ok,1549929600,1738924
29,160.0299987793,161.10000610352,159.21000671387,159.9700012207,ok,1550016000,1898021
30,159.94000244141,161.05000305176,158.0,158.83999633789,ok,1550102400,1470416
31,160.35000610352,161.50999450684,159.38999938965,161.50999450684,ok,1550188800,1699110
32,160.67999267578,160.9700012207,159.0,160.42999267578,ok,1550534400,1758595
33,159.80000305176,161.49000549316,158.47999572754,160.55000305176,ok,1550620800,1175476
34,159.83000183105,160.67999267578,158.85000610352,159.63999938965,ok,1550707200,1050602
35,161.50999450684,161.7799987793,160.19000244141,160.86999511719,ok,1550793600,948765
36,163.94000244141,166.28999328613,163.49000549316,163.53999328613,ok,1551052800,1976531
37,163.30999755859,164.28999328613,161.71000671387,163.7799987793,ok,1551139200,1576231
38,164.2799987793,164.32000732422,160.66000366211,162.58999633789,ok,1551225600,1530928
39,163.00999450684,164.66999816895,162.58999633789,164.07000732422,ok,1551312000,2233265
40,159.77000427246,169.05000305176,158.39999389648,167.77000427246,ok,1551398400,3836682
41,157.78999328613,161.83999633789,153.25,161.0,ok,1551657600,4197521
42,154.71000671387,158.19999694824,154.16000366211,158.19999694824,ok,1551744000,2193566
43,153.50999450684,155.96000671387,152.03999328613,154.75999450684,ok,1551830400,1803535
44,152.77000427246,153.9700012207,150.88000488281,152.89999389648,ok,1551916800,3167608
45,152.36999511719,152.5,149.5,150.28999328613,ok,1552003200,1692091
46,154.03999328613,155.2799987793,151.86000061035,152.38999938965,ok,1552262400,2074984
47,154.80999755859,155.38999938965,152.88000488281,154.36000061035,ok,1552348800,1418569
48,153.38000488281,157.08999633789,153.21000671387,155.33999633789,ok,1552435200,2143561
49,153.14999389648,154.25999450684,151.92999267578,153.05000305176,ok,1552521600,2233797
50,153.2799987793,154.67999267578,152.46000671387,152.69999694824,ok,1552608000,3513600
51,153.85000610352,155.32000732422,152.33000183105,153.28999328613,ok,1552867200,1925263
52,155.10000610352,156.11999511719,153.66000366211,154.61999511719,ok,1552953600,2172943
53,154.30999755859,156.27000427246,152.36000061035,156.0,ok,1553040000,1805747
54,158.82000732422,159.0299987793,154.27000427246,154.27000427246,ok,1553126400,1550309
55,154.2200012207,158.82000732422,153.94000244141,158.0,ok,1553212800,1858292
56,154.69000244141,155.55000305176,152.42999267578,153.5299987793,ok,1553472000,1768895
57,155.91000366211,157.38999938965,154.86000061035,155.49000549316,ok,1553558400,1511361
58,153.10000610352,156.10000610352,151.14999389648,155.64999389648,ok,1553644800,1595422
59,153.0299987793,154.5299987793,151.19999694824,153.74000549316,ok,1553731200,1483545
60,155.82000732422,155.94000244141,153.86000061035,154.69000244141,ok,1553817600,1833363
61,163.82000732422,163.9700012207,157.28999328613,158.2200012207,ok,1554076800,3886226
62,164.35000610352,164.85000610352,163.0299987793,163.5299987793,ok,1554163200,1904146
63,166.64999389648,168.55999755859,165.0,165.55000305176,ok,1554249600,2655627
64,165.05000305176,168.0,163.2200012207,166.69000244141,ok,1554336000,2234564
65,166.33000183105,167.14999389648,165.13999938965,166.03999328613,ok,1554422400,1259071
66,166.74000549316,166.92999267578,163.13000488281,165.82000732422,ok,1554681600,1699076
67,167.05999755859,167.36999511719,165.55999755859,166.14999389648,ok,1554768000,1214016
68,170.46000671387,170.91000366211,167.16999816895,167.30000305176,ok,1554854400,1643518
69,171.88000488281,172.11000061035,170.0299987793,171.32000732422,ok,1554940800,1601332
70,171.86999511719,173.44000244141,170.64999389648,173.02000427246,ok,1555027200,1404547
71,172.77000427246,173.2200012207,170.99000549316,172.00999450684,ok,1555286400,984567
