,c,h,l,o,s,t,v
0,71.889999389648,73.059997558594,71.430000305176,72.660003662109,ok,1546387200,1060511
1,70.540000915527,71.98999786377,70.440002441406,71.639999389648,ok,1546473600,970615
2,72.319999694824,72.379997253418,71.089996337891,71.300003051758,ok,1546560000,1159270
3,72.110000610352,73.169998168945,71.949996948242,71.959999084473,ok,1546819200,859794
4,72.430000305176,73.050003051758,71.459999084473,72.839996337891,ok,1546905600,895699
5,73.279998779297,73.419998168945,72.720001220703,72.849998474121,ok,1546992000,1355796
6,73.690002441406,73.730003356934,72.699996948242,72.930000305176,ok,1547078400,595496
7,72.699996948242,73.349998474121,72.430000305176,73.269996643066,ok,1547164800,998063
8,72.660003662109,72.910003662109,72.279998779297,72.389999389648,ok,1547424000,1350310
9,72.910003662109,73.080001831055,72.370002746582,72.650001525879,ok,1547510400,921699
10,73.720001220703,73.900001525879,72.650001525879,73.0,ok,1547596800,1175958
11,73.910003662109,74.110000610352,73.169998168945,73.330001831055,ok,1547683200,798139
12,74.410003662109,74.550003051758,74.01000213623,74.139999389648,ok,1547769600,1124055
13,73.379997253418,74.720001220703,72.879997253418,74.230003356934,ok,1548115200,1108320
14,73.699996948242,73.900001525879,72.870002746582,73.550003051758,ok,1548201600,772151
15,73.51000213623,73.800003051758,73.220001220703,73.620002746582,ok,1548288000,1192242
16,73.5,74.220001220703,73.209999084473,73.959999084473,ok,1548374400,1080720
17,72.980003356934,74.0,72.400001525879,73.120002746582,ok,1548633600,815028
18,71.919998168945,72.919998168945,71.550003051758,72.919998168945,ok,1548720000,1455694
19,72.889999389648,73.110000610352,71.76000213623,72.110000610352,ok,1548806400,1225329
20,74.709999084473,74.849998474121,73.0,73.0,ok,1548892800,1820493
21,76.879997253418,76.930000305176,73.900001525879,75.0,ok,1548979200,2295510
