,c,h,l,o,s,t,v
0,202.11999511719,207.16000366211,200.53999328613,205.32000732422,ok,1546387200,1126789
1,184.7799987793,200.77000427246,183.61999511719,200.0299987793,ok,1546473600,2414312
2,186.71000671387,190.38999938965,177.92999267578,181.67999267578,ok,1546560000,2518182
3,189.91999816895,190.77000427246,184.5,187.41000366211,ok,1546819200,1311217
4,192.94999694824,194.99000549316,187.58999633789,191.35000610352,ok,1546905600,1001499
5,200.32000732422,207.0,194.25999450684,194.25999450684,ok,1546992000,1666326
6,202.63999938965,205.99000549316,194.11999511719,198.99000549316,ok,1547078400,1247535
7,198.25,201.60000610352,195.63000488281,201.60000610352,ok,1547164800,1084899
8,193.94000244141,198.33999633789,193.22999572754,196.53999328613,ok,1547424000,1817137
9,195.05000305176,197.5,191.92999267578,194.89999389648,ok,1547510400,1927699
10,206.78999328613,208.50999450684,195.38000488281,197.07000732422,ok,1547596800,2213773
11,212.66999816895,215.85000610352,206.7799987793,206.86999511719,ok,1547683200,1798722
12,220.08999633789,223.60000610352,212.88999938965,216.0,ok,1547769600,2433424
13,216.16000366211,221.64999389648,213.89999389648,220.67999267578,ok,1548115200,1107900
14,217.2200012207,221.21000671387,215.13999938965,217.0,ok,1548201600,1111049
15,220.66999816895,224.08000183105,218.25,218.25,ok,1548288000,970082
16,227.2200012207,228.9700012207,221.47999572754,222.61000061035,ok,1548374400,1344123
17,221.49000549316,225.91000366211,220.14999389648,224.5,ok,1548633600,1421370
18,222.0299987793,223.83999633789,216.52000427246,222.16000366211,ok,1548720000,1927981
19,232.83000183105,234.44000244141,207.99000549316,208.74000549316,ok,1548806400,4375596
20,248.94999694824,249.24000549316,231.75999450684,233.57000732422,ok,1548892800,3182956
21,244.0,248.75,239.0,248.08000183105,ok,1548979200,1569897
