,c,h,l,o,s,t,v
0,98.050003051758,99.050003051758,95.160003662109,95.839996337891,ok,1546387200,1359749
1,100.20999908447,103.87999725342,99.120002746582,100.15000152588,ok,1546473600,3296547
2,106.0,107.30000305176,101.80000305176,101.87999725342,ok,1546560000,2349942
3,107.94000244141,108.98000335693,104.69999694824,105.65000152588,ok,1546819200,1983675
4,108.61000061035,110.48999786377,105.19999694824,108.65000152588,ok,1546905600,1766466
5,109.95999908447,110.73999786377,108.31999969482,108.98999786377,ok,1546992000,1553265
6,110.93000030518,111.48999786377,108.44999694824,109.15000152588,ok,1547078400,1467699
7,111.12999725342,111.5299987793,108.75,110.68000030518,ok,1547164800,1339548
8,107.58000183105,110.33000183105,107.5299987793,110.01999664307,ok,1547424000,1681793
9,111.73000335693,111.76999664307,107.76000213623,108.16999816895,ok,1547510400,1949308
10,111.69999694824,113.98999786377,110.80999755859,111.88999938965,ok,1547596800,2158053
11,114.62000274658,115.65000152588,111.09999847412,111.62000274658,ok,1547683200,1926632
12,117.05000305176,117.37000274658,113.54000091553,115.69999694824,ok,1547769600,2528349
13,114.29000091553,115.31999969482,112.13999938965,115.2799987793,ok,1548115200,2841642
14,117.0,117.98000335693,114.83000183105,115.13999938965,ok,1548201600,2480505
15,117.91000366211,117.98000335693,116.37999725342,117.25,ok,1548288000,1557372
16,121.44000244141,121.58999633789,118.37000274658,118.98000335693,ok,1548374400,1501610
17,119.20999908447,120.0,117.0,119.87000274658,ok,1548633600,2012087
18,119.61000061035,119.98999786377,117.12000274658,119.31999969482,ok,1548720000,2276474
19,121.31999969482,121.63999938965,117.66000366211,119.62000274658,ok,1548806400,1427945
20,122.95999908447,123.20999908447,120.44000244141,121.41000366211,ok,1548892800,1678082
21,126.2799987793,126.51000213623,123.15000152588,124.44000244141,ok,1548979200,2470357
