,c,h,l,o,s,t,v
0,33.479999542236,33.790000915527,32.0,32.040000915527,ok,1546387200,11106343
1,31.540000915527,33.25,31.479999542236,32.729999542236,ok,1546473600,21580708
2,33.700000762939,33.849998474121,32.209999084473,32.259998321533,ok,1546560000,15631771
3,34.299999237061,34.799999237061,33.630001068115,33.799999237061,ok,1546819200,13868845
4,32.909999847412,34.720001220703,32.669998168945,34.720001220703,ok,1546905600,12485267
5,34.299999237061,34.840000152588,33.290000915527,33.319999694824,ok,1546992000,11757089
6,34.759998321533,34.819999694824,33.889999389648,34.080001831055,ok,1547078400,7573577
7,34.779998779297,35.310001373291,34.189998626709,34.419998168945,ok,1547164800,6449679
8,33.860000610352,34.299999237061,33.409999847412,34.189998626709,ok,1547424000,9552417
9,33.75,34.330001831055,33.400001525879,34.090000152588,ok,1547510400,6593914
10,33.639999389648,34.270000457764,33.560001373291,33.919998168945,ok,1547596800,6778947
11,34.540000915527,34.709999084473,33.25,33.5,ok,1547683200,10260695
12,35.709999084473,36.319999694824,34.630001068115,34.959999084473,ok,1547769600,11332673
13,34.439998626709,35.369998931885,34.119998931885,35.319999694824,ok,1548115200,10047367
14,34.310001373291,34.939998626709,33.700000762939,34.709999084473,ok,1548201600,9560203
15,37.819999694824,37.909999847412,36.009998321533,36.180000305176,ok,1548288000,21529912
16,39.189998626709,39.479999542236,38.310001373291,38.529998779297,ok,1548374400,17553660
17,38.700000762939,38.950000762939,37.520000457764,37.619998931885,ok,1548633600,12459608
18,38.200000762939,39.349998474121,37.840000152588,39.270000457764,ok,1548720000,8754569
19,39.599998474121,40.0,38.490001678467,38.610000610352,ok,1548806400,12546186
20,39.080001831055,39.75,38.720001220703,39.279998779297,ok,1548892800,11588866
21,39.310001373291,39.970001220703,39.080001831055,39.080001831055,ok,1548979200,11091030
