,c,h,l,o,s,t,v
0,191.89999389648,193.19999694824,188.94999694824,192.52000427246,ok,1546387200,3009062
1,188.97999572754,194.17999267578,188.66999816895,192.14999389648,ok,1546473600,3973882
2,195.44000244141,196.50999450684,190.83999633789,191.46000671387,ok,1546560000,4193438
3,198.07000732422,199.36000061035,194.0,194.75999450684,ok,1546819200,3032475
4,200.61000061035,201.11999511719,196.67999267578,199.19999694824,ok,1546905600,3290259
5,200.36999511719,202.89999389648,199.63000488281,202.36000061035,ok,1546992000,2869689
6,202.67999267578,203.52000427246,199.4700012207,200.36999511719,ok,1547078400,3131263
7,200.55999755859,200.99000549316,198.0,200.63999938965,ok,1547164800,3379651
8,196.7799987793,200.0,196.66000366211,199.49000549316,ok,1547424000,3378576
9,199.38000488281,199.99000549316,196.03999328613,196.30000305176,ok,1547510400,2859832
10,198.88999938965,200.44000244141,197.58999633789,199.30000305176,ok,1547596800,3302367
11,201.91999816895,202.5299987793,197.97999572754,198.38000488281,ok,1547683200,2440196
12,203.88000488281,204.33000183105,201.03999328613,203.33000183105,ok,1547769600,3094991
13,201.97999572754,203.47999572754,200.7799987793,202.61999511719,ok,1548115200,3173062
14,201.55999755859,203.94999694824,200.13000488281,201.99000549316,ok,1548201600,1917610
15,200.9700012207,202.39999389648,199.74000549316,201.61000061035,ok,1548288000,2390814
16,198.77000427246,202.22999572754,196.88000488281,201.94999694824,ok,1548374400,4381610
17,191.94999694824,194.9700012207,190.00999450684,194.9700012207,ok,1548633600,4186441
18,192.11000061035,193.66999816895,190.80000305176,192.17999267578,ok,1548720000,3182050
19,184.86000061035,189.75,179.64999389648,188.88999938965,ok,1548806400,8089072
20,187.11000061035,187.60000610352,183.91000366211,184.7799987793,ok,1548892800,4397923
21,187.07000732422,187.83000183105,185.55999755859,186.50999450684,ok,1548979200,2488879
