,c,h,l,o,s,t,v
0,107.95999908447,108.7799987793,102.79000091553,103.44000244141,ok,1546387200,1603513
1,105.09999847412,107.55000305176,104.87000274658,106.87999725342,ok,1546473600,1065324
2,110.73000335693,111.19999694824,107.63999938965,107.84999847412,ok,1546560000,1031093
3,111.23999786377,112.33999633789,108.76999664307,110.0,ok,1546819200,944161
4,111.94000244141,112.83999633789,109.54000091553,112.83000183105,ok,1546905600,806767
5,113.09999847412,113.73000335693,111.15000152588,112.48999786377,ok,1546992000,808007
6,113.44000244141,114.04000091553,111.79000091553,112.08999633789,ok,1547078400,747935
7,113.44000244141,114.0,110.59999847412,112.25,ok,1547164800,728587
8,114.04000091553,114.98999786377,111.51000213623,111.83000183105,ok,1547424000,1076009
9,115.18000030518,115.25,112.5299987793,113.65000152588,ok,1547510400,671563
10,118.26000213623,119.26000213623,115.63999938965,116.40000152588,ok,1547596800,1044043
11,118.58999633789,119.55000305176,115.55999755859,117.06999969482,ok,1547683200,872486
12,121.11000061035,121.98000335693,118.73999786377,120.25,ok,1547769600,928099
13,119.2799987793,120.19999694824,118.37999725342,119.88999938965,ok,1548115200,1198575
14,118.80999755859,120.37999725342,117.16999816895,120.05999755859,ok,1548201600,588722
15,119.7799987793,120.91999816895,118.30000305176,118.36000061035,ok,1548288000,882935
16,121.12000274658,122.25,120.7799987793,121.41000366211,ok,1548374400,793355
17,121.79000091553,121.87000274658,119.7799987793,120.40000152588,ok,1548633600,1042045
18,121.37999725342,122.48999786377,120.83000183105,121.59999847412,ok,1548720000,786213
19,120.18000030518,121.73000335693,117.08999633789,121.73000335693,ok,1548806400,1553206
20,126.59999847412,127.16999816895,121.55000305176,121.55000305176,ok,1548892800,1985030
21,126.88999938965,128.00999450684,126.08999633789,127.23999786377,ok,1548979200,1689177
22,127.08999633789,127.58000183105,126.59999847412,127.05999755859,ok,1549238400,895994
23,125.66999816895,127.38999938965,124.69999694824,127.16000366211,ok,1549324800,938571
24,126.69000244141,127.58000183105,124.68000030518,124.68000030518,ok,1549411200,872260
25,125.2200012207,127.08000183105,122.83999633789,125.91999816895,ok,1549497600,852149
26,125.56999969482,125.61000061035,122.01999664307,124.12000274658,ok,1549584000,1167539
27,125.94999694824,126.87999725342,124.91999816895,126.11000061035,ok,1549843200,974663
28,128.83000183105,129.83999633789,127.23999786377,127.23999786377,ok,1549929600,1169843
