,c,h,l,o,s,t,v
0,156.74000549316,157.11000061035,153.92999267578,157.11000061035,ok,1546387200,2030598
1,157.67999267578,160.03999328613,156.42999267578,156.61000061035,ok,1546473600,2467352
2,158.30999755859,160.07000732422,157.69000244141,158.11000061035,ok,1546560000,2529958
3,159.28999328613,160.61999511719,158.02000427246,158.47999572754,ok,1546819200,1708043
4,161.08999633789,161.13000488281,158.58000183105,159.7799987793,ok,1546905600,2502666
5,159.67999267578,161.91000366211,158.35000610352,161.88000488281,ok,1546992000,1797270
6,161.86000061035,161.99000549316,158.61999511719,159.4700012207,ok,1547078400,1986590
7,161.39999389648,162.25999450684,159.89999389648,161.05000305176,ok,1547164800,1878799
8,161.39999389648,162.55999755859,160.85000610352,161.03999328613,ok,1547424000,1435420
9,163.05000305176,163.32000732422,160.63000488281,161.22999572754,ok,1547510400,1597062
10,163.7799987793,164.30999755859,162.83000183105,163.44999694824,ok,1547596800,1495177
11,164.38000488281,164.92999267578,163.05999755859,163.7799987793,ok,1547683200,1322754
12,164.66999816895,165.25,163.38000488281,165.25,ok,1547769600,1762988
13,164.67999267578,165.41000366211,163.16999816895,164.52000427246,ok,1548115200,1503935
14,165.78999328613,165.80000305176,164.33999633789,164.50999450684,ok,1548201600,1700185
15,165.64999389648,165.83999633789,164.11000061035,164.80999755859,ok,1548288000,1275899
16,167.41000366211,168.13000488281,165.78999328613,166.5,ok,1548374400,1482088
17,168.05000305176,168.05000305176,165.66999816895,166.94000244141,ok,1548633600,1180464
18,169.44000244141,169.52000427246,167.55000305176,167.67999267578,ok,1548720000,1849756
19,170.4700012207,171.5,169.00999450684,169.13000488281,ok,1548806400,2159546
20,172.83999633789,173.94999694824,169.25,169.78999328613,ok,1548892800,4046133
21,170.42999267578,173.14999389648,169.53999328613,173.14999389648,ok,1548979200,3446167
22,170.94000244141,170.94999694824,168.88000488281,170.19999694824,ok,1549238400,2846761
23,172.42999267578,172.5299987793,169.57000732422,170.83000183105,ok,1549324800,1671140
24,170.27000427246,172.36000061035,170.10000610352,171.32000732422,ok,1549411200,1423287
25,172.00999450684,172.39999389648,169.83000183105,170.33000183105,ok,1549497600,1113626
26,172.42999267578,172.99000549316,171.05000305176,171.91000366211,ok,1549584000,1294644
27,172.99000549316,173.66000366211,172.14999389648,172.86000061035,ok,1549843200,1211049
28,172.58999633789,173.75,172.07000732422,173.08000183105,ok,1549929600,1471829
29,173.69999694824,173.83999633789,172.08999633789,172.42999267578,ok,1550016000,1195947
30,175.78999328613,176.07000732422,173.07000732422,173.61000061035,ok,1550102400,1832493
31,177.82000732422,178.14999389648,175.9700012207,177.2799987793,ok,1550188800,2744366
32,177.60000610352,178.32000732422,176.7200012207,177.9700012207,ok,1550534400,1961650
33,176.69000244141,177.33000183105,175.5299987793,177.33000183105,ok,1550620800,1612038
34,176.50999450684,176.75,174.58000183105,176.32000732422,ok,1550707200,1407566
35,176.63000488281,177.44999694824,175.19000244141,177.14999389648,ok,1550793600,1312596
36,174.22999572754,177.5299987793,174.07000732422,177.24000549316,ok,1551052800,1946457
37,174.02000427246,175.32000732422,173.41999816895,174.83999633789,ok,1551139200,1853725
38,173.19999694824,176.77000427246,171.71000671387,174.30000305176,ok,1551225600,1632188
39,176.14999389648,178.69000244141,172.38999938965,172.52000427246,ok,1551312000,2888508
40,177.91999816895,178.19000244141,174.27000427246,176.19999694824,ok,1551398400,2048002
41,179.69000244141,179.75999450684,176.83999633789,179.0,ok,1551657600,1678042
42,181.05999755859,181.91000366211,179.42999267578,179.42999267578,ok,1551744000,1991458
43,181.64999389648,182.2799987793,180.88000488281,181.07000732422,ok,1551830400,1226045
44,181.75,182.9700012207,180.80999755859,182.00999450684,ok,1551916800,1375879
45,181.61000061035,182.72999572754,180.44000244141,181.0,ok,1552003200,1275957
46,185.16000366211,185.30000305176,182.05000305176,182.30999755859,ok,1552262400,1586706
47,185.75,186.7799987793,185.08999633789,185.5299987793,ok,1552348800,1618289
48,187.22999572754,187.55000305176,185.69999694824,185.69999694824,ok,1552435200,1512656
