,c,h,l,o,s,t,v
0,1539.1300048828,1553.3599853516,1460.9300537109,1465.1999511719,ok,1546387200,7983103
1,1500.2800292969,1538.0,1497.1099853516,1520.0100097656,ok,1546473600,6975572
2,1575.3900146484,1594.0,1518.3100585938,1530.0,ok,1546560000,9182575
3,1629.5100097656,1634.5600585938,1589.1800537109,1602.3100585938,ok,1546819200,7993213
4,1656.5799560547,1676.6099853516,1616.6099853516,1664.6899414062,ok,1546905600,8881428
5,1659.4200439453,1667.8000488281,1641.4000244141,1652.9799804688,ok,1546992000,6348801
6,1656.2199707031,1663.25,1621.6199951172,1641.0100097656,ok,1547078400,6507693
7,1640.5600585938,1660.2900390625,1636.2199707031,1640.5500488281,ok,1547164800,4686222
8,1617.2099609375,1648.1999511719,1595.1500244141,1615.0,ok,1547424000,6005888
9,1674.5600585938,1675.1600341797,1626.0100097656,1632.0,ok,1547510400,5998510
10,1683.7800292969,1705.0,1675.8800048828,1684.2199707031,ok,1547596800,6366864
11,1693.2199707031,1700.1700439453,1677.5,1680.0,ok,1547683200,4208875
12,1696.1999511719,1716.1999511719,1691.5400390625,1712.0,ok,1547769600,6020503
13,1632.1700439453,1681.8699951172,1610.1999511719,1681.0,ok,1548115200,6416796
14,1640.0200195312,1657.4300537109,1612.0,1656.0,ok,1548201600,5225212
15,1654.9300537109,1657.2600097656,1631.7800292969,1641.0699462891,ok,1548288000,4089943
16,1670.5699462891,1683.4799804688,1661.6099853516,1670.5,ok,1548374400,4959679
17,1637.8900146484,1645.0,1614.0899658203,1643.5899658203,ok,1548633600,4837711
18,1593.8800048828,1632.3800048828,1590.7199707031,1631.2700195312,ok,1548720000,4632782
19,1670.4300537109,1676.9499511719,1619.6800537109,1623.0,ok,1548806400,5783822
20,1718.7299804688,1736.4100341797,1679.0799560547,1692.8499755859,ok,1548892800,10910338
21,1626.2299804688,1673.0600585938,1622.0100097656,1638.8800048828,ok,1548979200,11506213
