,c,h,l,o,s,t,v
0,210.55000305176,213.41999816895,202.35000610352,205.0,ok,1546387200,652074
1,199.60000610352,207.9700012207,199.21000671387,205.38999938965,ok,1546473600,800600
2,202.4700012207,204.83999633789,200.67999267578,204.28999328613,ok,1546560000,1185138
3,209.91999816895,213.44000244141,205.61999511719,209.14999389648,ok,1546819200,1320817
4,214.2799987793,215.11999511719,210.38000488281,213.66999816895,ok,1546905600,763905
5,216.94999694824,218.94999694824,214.0299987793,215.21000671387,ok,1546992000,571950
6,217.96000671387,219.13000488281,214.10000610352,215.32000732422,ok,1547078400,408311
7,218.10000610352,218.94000244141,214.00999450684,215.96000671387,ok,1547164800,406047
8,215.58000183105,217.89999389648,214.49000549316,216.08999633789,ok,1547424000,422234
9,222.85000610352,223.5,216.44000244141,216.44000244141,ok,1547510400,706735
10,221.24000549316,227.25,220.92999267578,222.88000488281,ok,1547596800,527022
11,221.0299987793,222.14999389648,219.63999938965,219.78999328613,ok,1547683200,686765
12,232.08000183105,233.16000366211,225.0,229.19000244141,ok,1547769600,1465995
13,222.99000549316,230.24000549316,221.66999816895,230.0,ok,1548115200,823862
14,222.28999328613,227.22999572754,220.00999450684,224.97999572754,ok,1548201600,449980
15,226.44999694824,226.89999389648,222.5299987793,222.5299987793,ok,1548288000,407250
16,227.25999450684,228.80000305176,226.00999450684,227.97999572754,ok,1548374400,746941
17,215.32000732422,223.50999450684,211.33999633789,223.5,ok,1548633600,1161552
18,206.41999816895,216.00999450684,205.39999389648,215.14999389648,ok,1548720000,1016882
19,210.24000549316,210.72999572754,204.94000244141,209.0,ok,1548806400,834236
20,214.7799987793,216.07000732422,210.25,210.5,ok,1548892800,614246
21,220.5,222.80999755859,215.27000427246,215.33000183105,ok,1548979200,853316
