,c,h,l,o,s,t,v
0,143.00999450684,143.67999267578,137.13999938965,140.19000244141,ok,1546387200,710986
1,137.63999938965,142.38000488281,137.44000244141,141.16000366211,ok,1546473600,725779
2,143.66000366211,144.69999694824,138.46000671387,139.49000549316,ok,1546560000,632407
3,147.32000732422,148.58999633789,143.35000610352,144.0,ok,1546819200,486186
4,148.05000305176,150.71000671387,146.58000183105,148.5299987793,ok,1546905600,533635
5,150.63999938965,151.91999816895,148.25999450684,148.75999450684,ok,1546992000,379053
6,152.60000610352,152.91999816895,150.55000305176,151.00999450684,ok,1547078400,439907
7,154.75,154.83000183105,151.00999450684,151.82000732422,ok,1547164800,594382
8,153.60000610352,154.07000732422,151.63000488281,153.33999633789,ok,1547424000,380812
9,156.16000366211,156.46000671387,153.66999816895,153.86000061035,ok,1547510400,441469
10,157.13000488281,157.41000366211,155.50999450684,156.27000427246,ok,1547596800,379436
11,158.30999755859,158.63000488281,155.5299987793,156.24000549316,ok,1547683200,381685
12,161.71000671387,162.24000549316,158.60000610352,159.55000305176,ok,1547769600,511225
13,161.0299987793,163.16999816895,157.41000366211,161.13000488281,ok,1548115200,479728
14,158.63000488281,162.91000366211,157.64999389648,161.57000732422,ok,1548201600,348967
15,158.10000610352,159.24000549316,157.00999450684,158.58999633789,ok,1548288000,445844
16,161.64999389648,162.0,159.86999511719,160.25,ok,1548374400,340092
17,160.69999694824,161.25999450684,158.86999511719,160.25,ok,1548633600,219468
18,158.86000061035,160.82000732422,158.27000427246,159.96000671387,ok,1548720000,229365
19,162.99000549316,163.47999572754,159.03999328613,160.25,ok,1548806400,321746
20,164.35000610352,165.03999328613,161.30999755859,162.66999816895,ok,1548892800,567362
21,167.55000305176,168.05999755859,161.24000549316,164.44000244141,ok,1548979200,505620
22,169.05000305176,169.58000183105,166.57000732422,167.53999328613,ok,1549238400,328396
23,170.2200012207,170.61000061035,168.88000488281,169.5,ok,1549324800,212606
24,170.7799987793,171.30999755859,166.00999450684,169.69000244141,ok,1549411200,435418
25,169.55000305176,170.7200012207,168.80999755859,169.16999816895,ok,1549497600,353826
