,c,h,l,o,s,t,v
0,255.02000427246,258.92999267578,250.88000488281,258.41000366211,ok,1546387200,2180275
1,248.41999816895,256.88000488281,248.08999633789,256.51000976562,ok,1546473600,2156578
2,249.91000366211,253.63999938965,249.16000366211,250.00999450684,ok,1546560000,1787334
3,250.35000610352,253.11999511719,249.25,249.91999816895,ok,1546819200,1485363
4,249.46000671387,256.35000610352,241.17999267578,252.86000061035,ok,1546905600,3164842
5,251.35000610352,255.0,250.78999328613,250.94999694824,ok,1546992000,1458034
6,252.27000427246,254.03999328613,250.4700012207,251.49000549316,ok,1547078400,1705520
7,256.64001464844,256.94000244141,251.25999450684,251.7799987793,ok,1547164800,1432412
8,255.11999511719,257.60000610352,254.41000366211,255.99000549316,ok,1547424000,1569620
9,260.35000610352,261.26000976562,253.69000244141,255.0,ok,1547510400,1457421
10,261.92001342773,263.0,259.67999267578,260.39999389648,ok,1547596800,1282962
11,261.89001464844,263.76998901367,260.88000488281,261.80999755859,ok,1547683200,1199576
12,266.11999511719,266.85000610352,262.39999389648,264.26998901367,ok,1547769600,1581191
13,264.57000732422,267.79000854492,262.38000488281,265.61999511719,ok,1548115200,1344233
14,268.10000610352,268.42999267578,264.2200012207,265.5299987793,ok,1548201600,1307705
15,265.60000610352,269.32998657227,264.45001220703,268.51000976562,ok,1548288000,1746908
16,272.67999267578,272.98001098633,267.63000488281,268.26000976562,ok,1548374400,2004888
17,270.01000976562,271.54000854492,268.54000854492,270.91000366211,ok,1548633600,1316636
18,272.70999145508,273.42999267578,267.60000610352,269.85998535156,ok,1548720000,1442097
19,297.55999755859,305.98999023438,290.5,291.94000244141,ok,1548806400,4477954
20,303.0,304.38000488281,297.11999511719,297.70999145508,ok,1548892800,3410536
21,303.29000854492,304.73999023438,299.82000732422,301.26000976562,ok,1548979200,2444227
