,c,h,l,o,s,t,v
0,141.7092,142.2292,140.4192,141.2492,ok,1546387200,961600
1,139.5842,141.7742,139.3342,141.0142,ok,1546473600,1027400
2,142.211,142.4209,139.461,140.8009,ok,1546560000,1882800
3,141.8961,143.7961,141.1561,141.5561,ok,1546819200,926500
4,142.575,142.715,139.535,141.865,ok,1546905600,1277200
5,142.7816,145.1916,142.4416,143.1816,ok,1546992000,1428300
6,145.2411,145.5311,142.0111,142.7011,ok,1547078400,931700
7,144.8673,144.9073,142.7673,144.1873,ok,1547164800,963200
8,145.2214,145.5014,143.9414,143.9414,ok,1547424000,808700
9,147.2579,147.2879,144.7779,145.2079,ok,1547510400,832700
10,148.5467,149.0367,146.3067,147.3867,ok,1547596800,923000
11,150.0323,150.4223,147.8923,147.8923,ok,1547683200,800100
12,151.9114,152.2014,150.1714,150.5614,ok,1547769600,839800
13,151.2129,152.7729,150.1929,151.5829,ok,1548115200,759100
14,151.5671,152.2571,149.9971,151.5071,ok,1548201600,724200
15,151.4195,152.1095,150.4995,151.3595,ok,1548288000,998300
16,151.8917,153.2317,151.2117,152.1217,ok,1548374400,706300
17,151.1834,151.4534,149.6834,150.9734,ok,1548633600,836000
18,149.9339,151.244,149.1839,150.804,ok,1548720000,978500
19,152.0,152.25,149.95,150.16,ok,1548806400,2153700
20,154.1009,155.7509,151.0409,151.6309,ok,1548892800,1879100
