,c,h,l,o,s,t,v
0,159.58999633789,160.77000427246,155.91000366211,157.38999938965,ok,1546387200,956897
1,155.30999755859,159.19000244141,154.28999328613,159.13999938965,ok,1546473600,1114775
2,161.61000061035,161.91000366211,157.38999938965,158.07000732422,ok,1546560000,1082153
3,159.92999267578,163.41999816895,159.80999755859,161.55999755859,ok,1546819200,1349516
4,158.08999633789,160.63999938965,156.55999755859,158.35000610352,ok,1546905600,2100354
5,156.78999328613,158.25,154.9700012207,157.39999389648,ok,1546992000,2292374
6,157.19999694824,157.35000610352,155.33999633789,156.55000305176,ok,1547078400,1502315
7,156.78999328613,157.50999450684,155.55999755859,156.80999755859,ok,1547164800,1047289
8,155.11999511719,156.30999755859,154.14999389648,155.75999450684,ok,1547424000,1047942
9,155.08000183105,155.39999389648,153.63000488281,154.36999511719,ok,1547510400,845671
10,154.61999511719,155.7799987793,154.0,155.07000732422,ok,1547596800,1151602
11,155.97999572754,156.0,154.10000610352,154.19000244141,ok,1547683200,1899102
12,158.61999511719,159.35000610352,156.25999450684,157.00999450684,ok,1547769600,1447326
13,157.71000671387,158.49000549316,156.80999755859,157.86999511719,ok,1548115200,982878
14,156.14999389648,158.39999389648,155.03999328613,157.72999572754,ok,1548201600,1358754
15,156.5,156.80999755859,154.7799987793,155.4700012207,ok,1548288000,1007753
16,160.91000366211,161.89999389648,158.0,160.0,ok,1548374400,2059950
17,159.88999938965,161.08999633789,158.72999572754,160.66999816895,ok,1548633600,1364445
18,163.24000549316,163.41999816895,160.41999816895,160.41999816895,ok,1548720000,1354551
19,163.97999572754,165.0,161.9700012207,163.72999572754,ok,1548806400,1037836
20,164.38999938965,165.52000427246,161.05999755859,161.77000427246,ok,1548892800,1305638
21,165.88999938965,166.86000061035,163.80999755859,165.0,ok,1548979200,1102088
22,166.88000488281,166.88999938965,164.9700012207,165.75,ok,1549238400,754577
23,167.91999816895,168.16000366211,166.67999267578,167.5299987793,ok,1549324800,1140460
24,169.91000366211,169.92999267578,167.0,168.00999450684,ok,1549411200,1533464
25,166.2200012207,169.83999633789,164.99000549316,169.60000610352,ok,1549497600,1157405
26,165.89999389648,165.89999389648,163.5299987793,165.16000366211,ok,1549584000,855424
27,167.53999328613,167.69000244141,165.85000610352,166.24000549316,ok,1549843200,1206539
28,171.32000732422,171.4700012207,168.61999511719,169.25999450684,ok,1549929600,1462425
29,171.9700012207,173.39999389648,171.44000244141,172.0,ok,1550016000,1095187
30,171.61999511719,172.11999511719,169.88999938965,170.91999816895,ok,1550102400,882542
31,174.08000183105,174.33999633789,172.99000549316,173.46000671387,ok,1550188800,1326703
32,175.11000061035,175.94000244141,173.0,173.2799987793,ok,1550534400,1074614
33,177.63999938965,178.58000183105,174.61999511719,175.30000305176,ok,1550620800,1789109
34,178.66999816895,178.82000732422,177.5299987793,177.5299987793,ok,1550707200,1243737
35,180.11999511719,180.7200012207,179.24000549316,179.82000732422,ok,1550793600,1401407
