,c,h,l,o,s,t,v
0,79.790000915527,80.279998779297,79.230003356934,79.680000305176,ok,1546387200,1390382
1,75.069999694824,78.410003662109,74.949996948242,78.23999786377,ok,1546473600,3681100
2,77.540000915527,77.790000915527,76.0,76.319999694824,ok,1546560000,3347683
3,78.120002746582,78.830001831055,77.459999084473,77.459999084473,ok,1546819200,1181289
4,79.139999389648,79.160003662109,77.790000915527,78.669998168945,ok,1546905600,1831842
5,80.480003356934,80.569999694824,79.519996643066,80.160003662109,ok,1546992000,1112083
6,81.819999694824,81.889999389648,80.129997253418,80.370002746582,ok,1547078400,1184663
7,81.5,81.529998779297,80.839996337891,81.209999084473,ok,1547164800,691987
8,81.019996643066,81.389999389648,80.190002441406,80.849998474121,ok,1547424000,925014
9,81.110000610352,81.730003356934,80.870002746582,81.349998474121,ok,1547510400,834164
10,81.349998474121,81.949996948242,80.889999389648,80.98999786377,ok,1547596800,871318
11,81.830001831055,82.180000305176,80.830001831055,80.959999084473,ok,1547683200,791007
12,82.48999786377,83.160003662109,81.809997558594,82.01000213623,ok,1547769600,1863334
13,81.169998168945,82.190002441406,80.75,81.790000915527,ok,1548115200,1725204
14,83.449996948242,83.629997253418,79.849998474121,80.440002441406,ok,1548201600,2814554
15,85.220001220703,85.330001831055,82.919998168945,83.819999694824,ok,1548288000,2241972
16,86.300003051758,87.150001525879,85.720001220703,86.040000915527,ok,1548374400,1816449
17,85.75,85.919998168945,84.940002441406,85.580001831055,ok,1548633600,1207978
18,86.069999694824,86.720001220703,85.830001831055,86.349998474121,ok,1548720000,1188336
19,88.209999084473,88.220001220703,86.220001220703,86.699996948242,ok,1548806400,1586463
20,87.919998168945,88.360000610352,87.430000305176,87.959999084473,ok,1548892800,1298127
21,88.0,88.839996337891,87.470001220703,87.98999786377,ok,1548979200,1202446
22,88.51000213623,88.519996643066,87.519996643066,87.930000305176,ok,1549238400,1168107
23,89.819999694824,89.819999694824,88.629997253418,88.699996948242,ok,1549324800,1292718
24,89.809997558594,90.569999694824,89.559997558594,89.660003662109,ok,1549411200,1113519
25,89.860000610352,90.269996643066,89.0,89.23999786377,ok,1549497600,927107
26,90.269996643066,90.269996643066,89.190002441406,89.190002441406,ok,1549584000,959250
27,90.080001831055,90.830001831055,89.930000305176,90.470001220703,ok,1549843200,829179
28,91.580001831055,91.769996643066,90.290000915527,90.529998779297,ok,1549929600,1083718
29,91.860000610352,92.279998779297,91.25,91.720001220703,ok,1550016000,797876
30,91.150001525879,91.680000305176,91.080001831055,91.639999389648,ok,1550102400,1198445
31,92.690002441406,92.839996337891,91.73999786377,91.919998168945,ok,1550188800,1227789
32,92.470001220703,92.830001831055,91.819999694824,92.430000305176,ok,1550534400,936025
33,93.480003356934,93.769996643066,92.550003051758,92.650001525879,ok,1550620800,1144980
34,93.330001831055,93.779998779297,93.0,93.300003051758,ok,1550707200,1173912
35,94.339996337891,94.769996643066,93.639999389648,93.879997253418,ok,1550793600,948280
36,95.129997253418,95.379997253418,94.690002441406,94.779998779297,ok,1551052800,1128723
37,94.209999084473,95.309997558594,93.98999786377,94.730003356934,ok,1551139200,1318179
38,94.199996948242,94.309997558594,93.199996948242,93.75,ok,1551225600,691691
39,93.970001220703,94.360000610352,93.769996643066,94.029998779297,ok,1551312000,1044042
40,95.110000610352,95.360000610352,94.050003051758,94.660003662109,ok,1551398400,1047687
41,94.470001220703,95.540000915527,93.669998168945,95.410003662109,ok,1551657600,837087
42,94.769996643066,95.290000915527,94.529998779297,94.940002441406,ok,1551744000,853453
43,94.050003051758,94.879997253418,93.959999084473,94.879997253418,ok,1551830400,635181
44,93.379997253418,93.879997253418,92.559997558594,93.839996337891,ok,1551916800,792750
45,92.860000610352,93.169998168945,92.360000610352,92.709999084473,ok,1552003200,936891
46,93.970001220703,94.199996948242,93.050003051758,93.099998474121,ok,1552262400,595980
47,94.0,94.589996337891,93.690002441406,94.099998474121,ok,1552348800,626727
48,94.440002441406,95.199996948242,94.069999694824,94.5,ok,1552435200,867199
49,94.319999694824,94.720001220703,94.0,94.629997253418,ok,1552521600,1023679
50,95.419998168945,95.849998474121,94.379997253418,94.730003356934,ok,1552608000,1834898
51,95.430000305176,95.669998168945,95.040000915527,95.25,ok,1552867200,817184
52,95.709999084473,96.230003356934,95.370002746582,95.629997253418,ok,1552953600,1258739
53,95.209999084473,95.870002746582,94.440002441406,95.790000915527,ok,1553040000,1235954
54,96.559997558594,97.0,94.910003662109,95.110000610352,ok,1553126400,747052
55,94.540000915527,96.150001525879,94.48999786377,95.800003051758,ok,1553212800,894218
56,94.180000305176,94.930000305176,93.849998474121,94.389999389648,ok,1553472000,692061
57,94.5,95.029998779297,94.029998779297,95.019996643066,ok,1553558400,594986
58,93.720001220703,94.800003051758,93.209999084473,94.720001220703,ok,1553644800,1121757
59,94.019996643066,94.51000213623,93.26000213623,94.410003662109,ok,1553731200,1046719
60,94.440002441406,94.76000213623,94.0,94.669998168945,ok,1553817600,1234820
61,97.809997558594,97.919998168945,95.330001831055,95.669998168945,ok,1554076800,1784161
62,99.76000213623,99.879997253418,98.0,98.0,ok,1554163200,2139891
63,100.91999816895,101.2799987793,100.0,100.0,ok,1554249600,1771329
64,101.70999908447,102.54000091553,100.79000091553,100.91999816895,ok,1554336000,1463911
65,102.69999694824,102.70999908447,101.88999938965,102.06999969482,ok,1554422400,1007584
66,102.79000091553,102.80999755859,101.68000030518,102.5299987793,ok,1554681600,759378
67,101.43000030518,102.43000030518,101.26000213623,102.26000213623,ok,1554768000,798526
68,101.87000274658,101.88999938965,101.18000030518,101.58999633789,ok,1554854400,606352
69,102.91999816895,102.9700012207,101.33000183105,102.0,ok,1554940800,686822
70,103.79000091553,103.83999633789,103.01999664307,103.01999664307,ok,1555027200,541295
71,103.88999938965,104.19999694824,103.12999725342,103.79000091553,ok,1555286400,868963
72,103.58000183105,104.51999664307,103.38999938965,104.09999847412,ok,1555372800,1043200
73,104.0,105.0,103.73999786377,104.2799987793,ok,1555459200,1111661
74,104.56999969482,104.66999816895,103.94000244141,104.20999908447,ok,1555545600,935144
75,103.91000366211,104.51999664307,103.75,104.06999969482,ok,1555891200,741944
76,105.37999725342,105.51000213623,103.90000152588,104.08000183105,ok,1555977600,1250324
77,102.51999664307,103.73000335693,94.5,95.099998474121,ok,1556064000,3578138
78,100.62999725342,102.30999755859,99.949996948242,102.30999755859,ok,1556150400,1558734
79,99.970001220703,100.51999664307,99.319999694824,100.51999664307,ok,1556236800,2012036
