,c,h,l,o,s,t,v
0,111.37000274658,114.2799987793,110.66000366211,114.2799987793,ok,1546387200,544707
1,112.29000091553,114.08999633789,111.11000061035,111.34999847412,ok,1546473600,809748
2,113.44000244141,114.83999633789,112.84999847412,113.08999633789,ok,1546560000,685930
3,114.13999938965,115.36000061035,113.48999786377,113.48999786377,ok,1546819200,636971
4,116.79000091553,117.16999816895,114.66999816895,114.66999816895,ok,1546905600,973962
5,117.30000305176,117.56999969482,115.80000305176,117.09999847412,ok,1546992000,788373
6,119.56999969482,119.73999786377,116.54000091553,117.19999694824,ok,1547078400,620699
7,120.33999633789,120.48999786377,118.5,119.44999694824,ok,1547164800,701961
8,119.19000244141,120.19000244141,118.90000152588,119.94999694824,ok,1547424000,685084
9,120.93000030518,121.01999664307,119.37000274658,119.37000274658,ok,1547510400,357567
10,121.90000152588,122.25,120.36000061035,120.56999969482,ok,1547596800,726892
11,122.75,122.81999969482,121.48000335693,121.54000091553,ok,1547683200,1019845
12,124.26000213623,124.55000305176,123.19000244141,123.34999847412,ok,1547769600,772399
13,124.37999725342,124.48999786377,123.26000213623,123.94999694824,ok,1548115200,764579
14,123.80000305176,124.75,123.25,124.31999969482,ok,1548201600,737683
15,123.25,123.91000366211,122.7799987793,123.66999816895,ok,1548288000,428960
16,125.41000366211,125.4700012207,123.38999938965,123.79000091553,ok,1548374400,508855
17,126.26999664307,126.30000305176,124.84999847412,124.84999847412,ok,1548633600,653736
18,128.08000183105,128.14999389648,125.87999725342,126.20999908447,ok,1548720000,693844
19,129.36000061035,129.58999633789,127.94000244141,128.30999755859,ok,1548806400,697709
20,131.71000671387,131.88000488281,127.94000244141,129.08000183105,ok,1548892800,869677
21,130.63999938965,132.19999694824,127.9700012207,131.75999450684,ok,1548979200,811197
22,130.94000244141,130.94000244141,129.36000061035,130.38000488281,ok,1549238400,841312
23,129.75,131.80000305176,129.0,131.74000549316,ok,1549324800,885259
24,129.00999450684,129.63999938965,128.25,129.5299987793,ok,1549411200,762630
