,c,h,l,o,s,t,v
0,169.19999694824,174.03999328613,168.33999633789,172.57000732422,ok,1546387200,657819
1,170.0,172.75999450684,169.14999389648,169.14999389648,ok,1546473600,636489
2,171.19999694824,172.22999572754,170.14999389648,170.57000732422,ok,1546560000,574932
3,170.7200012207,173.38000488281,170.33999633789,171.4700012207,ok,1546819200,544684
4,174.25999450684,174.33000183105,170.80999755859,171.38000488281,ok,1546905600,746067
5,175.75999450684,175.89999389648,172.42999267578,174.69999694824,ok,1546992000,746695
6,177.99000549316,178.16000366211,174.69000244141,175.53999328613,ok,1547078400,569252
7,178.58999633789,178.7200012207,176.88999938965,178.00999450684,ok,1547164800,499432
8,178.17999267578,179.24000549316,177.35000610352,178.16000366211,ok,1547424000,344778
9,179.78999328613,180.66999816895,178.41000366211,178.41000366211,ok,1547510400,422022
10,182.16000366211,182.38000488281,178.2799987793,179.80000305176,ok,1547596800,633708
11,183.33999633789,183.75,181.94000244141,182.13999938965,ok,1547683200,430113
12,184.08999633789,184.27000427246,182.00999450684,183.86999511719,ok,1547769600,481738
13,184.0299987793,184.58999633789,182.17999267578,183.99000549316,ok,1548115200,453879
14,184.94000244141,185.05000305176,183.53999328613,184.16999816895,ok,1548201600,512391
15,184.94999694824,185.35000610352,183.0,184.77000427246,ok,1548288000,429144
16,186.64999389648,186.94000244141,185.36000061035,185.55999755859,ok,1548374400,572482
17,188.83999633789,188.96000671387,185.50999450684,186.25999450684,ok,1548633600,693050
18,190.72999572754,190.77000427246,187.94000244141,188.92999267578,ok,1548720000,553163
19,191.22999572754,191.91999816895,189.42999267578,189.72999572754,ok,1548806400,593263
20,192.91999816895,193.36000061035,189.0299987793,190.58999633789,ok,1548892800,890414
21,190.19999694824,193.82000732422,188.5,193.35000610352,ok,1548979200,796553
