,c,h,l,o,s,t,v
0,253.50999450684,254.69999694824,246.49000549316,248.85000610352,ok,1546387200,3034553
1,230.96000671387,246.53999328613,230.33000183105,244.55999755859,ok,1546473600,6857960
2,233.22999572754,236.44999694824,231.66999816895,234.28999328613,ok,1546560000,5424767
3,237.97999572754,240.24000549316,230.75999450684,233.64999389648,ok,1546819200,5343306
4,236.07000732422,241.89999389648,233.36999511719,240.11000061035,ok,1546905600,3679521
5,246.2799987793,246.67999267578,237.85000610352,238.41999816895,ok,1546992000,5297113
6,249.52000427246,250.55999755859,244.36000061035,245.57000732422,ok,1547078400,2959355
7,250.57000732422,252.91999816895,249.32000732422,249.42999267578,ok,1547164800,2015827
8,250.86999511719,251.58000183105,245.89999389648,248.11000061035,ok,1547424000,2549960
9,256.48999023438,262.2200012207,252.00999450684,252.75999450684,ok,1547510400,3924685
10,251.69999694824,257.35000610352,251.36000061035,257.20001220703,ok,1547596800,2448374
11,255.33000183105,257.35000610352,248.7200012207,250.05999755859,ok,1547683200,3515360
12,260.82000732422,261.94000244141,257.0,259.13000488281,ok,1547769600,3463448
13,258.29000854492,259.45999145508,254.89999389648,258.0,ok,1548115200,3715581
14,257.51998901367,260.91000366211,253.64999389648,259.54000854492,ok,1548201600,3177100
15,263.54998779297,266.75,260.0,261.08999633789,ok,1548288000,3599910
16,267.94000244141,268.30999755859,260.91000366211,265.17001342773,ok,1548374400,3034760
17,267.61999511719,268.85000610352,258.64999389648,261.55999755859,ok,1548633600,3132006
18,266.32000732422,267.60000610352,263.82998657227,267.35000610352,ok,1548720000,2787032
19,270.82000732422,273.75,267.36999511719,270.0,ok,1548806400,2872654
20,268.25,271.0,266.35000610352,270.55999755859,ok,1548892800,2106274
21,266.80999755859,269.60000610352,264.89001464844,269.14999389648,ok,1548979200,2287755
22,272.11999511719,272.14001464844,264.95001220703,267.5,ok,1549238400,2076093
23,270.0,274.63000488281,269.91000366211,271.95999145508,ok,1549324800,2262128
24,276.20999145508,280.0,272.75,273.26998901367,ok,1549411200,2706413
25,269.08999633789,274.57000732422,266.29998779297,272.85998535156,ok,1549497600,2864739
26,274.05999755859,274.29000854492,267.05999755859,267.32998657227,ok,1549584000,2390288
27,275.7200012207,276.0,273.2799987793,274.39999389648,ok,1549843200,1801188
28,279.39001464844,280.39001464844,277.05999755859,278.64999389648,ok,1549929600,1980916
29,281.32000732422,282.16000366211,277.9700012207,280.0,ok,1550016000,1919218
30,281.5,282.83999633789,278.95001220703,280.60000610352,ok,1550102400,1601504
31,281.92999267578,284.08999633789,278.79000854492,284.08999633789,ok,1550188800,1735175
32,281.66000366211,282.82998657227,280.14999389648,281.14999389648,ok,1550534400,1515175
33,283.42001342773,286.61999511719,282.2799987793,283.25,ok,1550620800,1614951
34,280.94000244141,283.35000610352,278.92999267578,283.23999023438,ok,1550707200,1325617
35,276.5,280.0,274.66000366211,279.95001220703,ok,1550793600,2722814
36,278.60000610352,280.82998657227,278.48001098633,280.7799987793,ok,1551052800,1924460
37,275.0,278.01000976562,274.45001220703,277.92999267578,ok,1551139200,2721216
38,271.48999023438,275.10000610352,269.57998657227,273.2200012207,ok,1551225600,2914640
39,275.35998535156,275.70999145508,268.63000488281,269.9700012207,ok,1551312000,3146053
40,272.75,278.16000366211,271.13000488281,277.73001098633,ok,1551398400,1903785
41,274.89001464844,276.57998657227,270.85998535156,275.0,ok,1551657600,1738161
42,277.01000976562,280.44000244141,274.5299987793,275.5,ok,1551744000,2169908
43,271.35000610352,276.92999267578,270.48001098633,276.66000366211,ok,1551830400,1997385
44,265.51000976562,270.32998657227,264.07998657227,270.17999267578,ok,1551916800,2541082
45,264.19000244141,264.76000976562,259.20001220703,261.55999755859,ok,1552003200,2216990
