,c,h,l,o,s,t,v
0,89.98999786377,90.150001525879,87.889999389648,88.639999389648,ok,1546387200,558788
1,87.069999694824,89.709999084473,86.900001525879,89.629997253418,ok,1546473600,827652
2,90.449996948242,90.919998168945,87.75,88.269996643066,ok,1546560000,824069
3,90.879997253418,91.879997253418,89.599998474121,90.400001525879,ok,1546819200,408787
4,91.809997558594,92.389999389648,91.089996337891,91.400001525879,ok,1546905600,446207
5,91.730003356934,92.25,90.940002441406,91.480003356934,ok,1546992000,620964
6,93.620002746582,93.680000305176,91.51000213623,91.51000213623,ok,1547078400,625610
7,94.610000610352,94.699996948242,92.550003051758,93.110000610352,ok,1547164800,426519
8,93.970001220703,94.660003662109,93.400001525879,93.949996948242,ok,1547424000,685002
9,93.73999786377,94.040000915527,93.300003051758,94.0,ok,1547510400,595298
10,93.330001831055,94.319999694824,93.230003356934,93.540000915527,ok,1547596800,792890
11,94.819999694824,94.940002441406,92.769996643066,93.059997558594,ok,1547683200,917789
12,96.569999694824,97.019996643066,94.930000305176,95.150001525879,ok,1547769600,555804
13,96.51000213623,96.959999084473,95.51000213623,96.5,ok,1548115200,498770
14,95.480003356934,97.290000915527,94.98999786377,97.209999084473,ok,1548201600,559241
15,95.980003356934,96.620002746582,95.160003662109,95.669998168945,ok,1548288000,478495
16,97.199996948242,97.400001525879,96.620002746582,96.800003051758,ok,1548374400,432332
17,97.839996337891,97.860000610352,96.400001525879,96.779998779297,ok,1548633600,589768
18,98.75,99.569999694824,98.099998474121,98.099998474121,ok,1548720000,962839
19,102.19999694824,103.56999969482,99.269996643066,100.55000305176,ok,1548806400,1171065
20,104.44999694824,104.58000183105,101.23999786377,102.23000335693,ok,1548892800,1854048
21,104.4700012207,105.83000183105,104.06999969482,104.19000244141,ok,1548979200,937779
22,103.66999816895,104.51999664307,102.41000366211,103.93000030518,ok,1549238400,615797
23,104.76999664307,104.80999755859,103.76999664307,103.94999694824,ok,1549324800,940127
24,104.09999847412,104.98000335693,103.98000335693,104.33000183105,ok,1549411200,465514
25,103.0299987793,103.66999816895,101.98000335693,103.30000305176,ok,1549497600,602591
26,102.81999969482,103.41000366211,101.80000305176,102.69999694824,ok,1549584000,399971
27,102.0,103.12000274658,101.61000061035,102.9700012207,ok,1549843200,530391
28,104.08000183105,104.2200012207,102.19000244141,102.36000061035,ok,1549929600,482200
29,104.41000366211,105.12999725342,104.25,104.5,ok,1550016000,480570
30,103.94999694824,104.70999908447,103.79000091553,104.01000213623,ok,1550102400,391943
31,104.90000152588,105.08000183105,104.36000061035,104.83000183105,ok,1550188800,477056
32,104.98000335693,105.69000244141,104.40000152588,104.48999786377,ok,1550534400,709785
33,106.43000030518,106.7200012207,104.76000213623,105.12999725342,ok,1550620800,619554
34,105.61000061035,106.19999694824,105.12000274658,106.15000152588,ok,1550707200,927927
35,106.94000244141,107.12000274658,105.93000030518,106.09999847412,ok,1550793600,432713
36,107.94000244141,108.63999938965,107.23999786377,107.48999786377,ok,1551052800,608502
37,106.84999847412,108.41000366211,106.80999755859,108.04000091553,ok,1551139200,595066
38,107.7799987793,107.83000183105,106.2799987793,106.56999969482,ok,1551225600,424981
39,108.04000091553,108.51999664307,107.33000183105,107.58000183105,ok,1551312000,1101267
40,109.70999908447,109.76000213623,108.15000152588,108.87999725342,ok,1551398400,1208015
41,109.38999938965,110.4700012207,108.06999969482,109.98000335693,ok,1551657600,932491
42,108.83999633789,109.41999816895,108.58000183105,108.94999694824,ok,1551744000,814595
43,107.98000335693,108.98999786377,107.81999969482,108.98999786377,ok,1551830400,700126
44,107.79000091553,108.0,106.48000335693,107.2200012207,ok,1551916800,624937
45,108.40000152588,108.61000061035,106.75,107.20999908447,ok,1552003200,719774
46,109.15000152588,109.38999938965,108.23000335693,108.69000244141,ok,1552262400,779566
47,110.55999755859,110.80000305176,109.23999786377,109.54000091553,ok,1552348800,779333
48,109.9700012207,111.16999816895,109.90000152588,110.9700012207,ok,1552435200,658138
49,110.12000274658,110.26999664307,108.94999694824,109.69000244141,ok,1552521600,716914
50,110.20999908447,110.83999633789,109.51000213623,109.75,ok,1552608000,1250045
51,111.59999847412,111.65000152588,109.94000244141,110.20999908447,ok,1552867200,685957
52,112.26999664307,112.55000305176,111.63999938965,112.0,ok,1552953600,712128
53,109.98000335693,112.0299987793,109.5,111.58000183105,ok,1553040000,845751
54,111.23999786377,111.63999938965,109.41999816895,109.87999725342,ok,1553126400,409767
55,108.98999786377,110.88999938965,108.9700012207,110.81999969482,ok,1553212800,515258
56,109.37999725342,109.59999847412,108.40000152588,108.83999633789,ok,1553472000,329630
57,110.86000061035,111.01000213623,109.70999908447,109.98999786377,ok,1553558400,476927
58,111.09999847412,111.55999755859,110.40000152588,110.93000030518,ok,1553644800,363965
59,113.01999664307,113.08999633789,111.25,111.4700012207,ok,1553731200,473583
60,113.0,113.7799987793,112.62999725342,113.48999786377,ok,1553817600,549974
61,113.69000244141,114.30999755859,112.98000335693,113.73000335693,ok,1554076800,511261
62,113.08999633789,114.19999694824,112.61000061035,113.73000335693,ok,1554163200,477114
63,113.26999664307,114.04000091553,112.94999694824,113.86000061035,ok,1554249600,413563
64,113.58999633789,113.79000091553,112.75,113.23000335693,ok,1554336000,477772
65,114.04000091553,114.37000274658,113.2799987793,113.65000152588,ok,1554422400,331893
66,113.91000366211,114.19999694824,112.33999633789,113.23999786377,ok,1554681600,431769
67,112.62000274658,113.43000030518,112.5,113.33999633789,ok,1554768000,471177
68,113.76000213623,114.0299987793,112.26999664307,112.73999786377,ok,1554854400,415553
69,114.34999847412,114.51000213623,113.66000366211,114.08000183105,ok,1554940800,272480
70,116.30999755859,116.44000244141,114.55000305176,114.88999938965,ok,1555027200,561514
