,c,h,l,o,s,t,v
0,838.47998046875,844.55999755859,829.01000976562,831.66998291016,ok,1546387200,333377
1,845.58001708984,850.85998535156,834.28997802734,838.92999267578,ok,1546473600,361643
2,835.63000488281,856.70001220703,832.61999511719,851.39001464844,ok,1546560000,383844
3,822.32000732422,835.63000488281,816.5,834.67999267578,ok,1546819200,495494
4,811.36999511719,830.0,798.40997314453,830.0,ok,1546905600,474660
5,820.35998535156,832.61999511719,813.72998046875,817.60998535156,ok,1546992000,324113
6,827.34002685547,828.54998779297,811.0,815.01000976562,ok,1547078400,305974
7,822.88000488281,829.03002929688,817.20001220703,822.84002685547,ok,1547164800,296938
8,826.97998046875,829.36999511719,813.27001953125,823.02001953125,ok,1547424000,357270
9,829.58001708984,831.35998535156,819.5,826.51000976562,ok,1547510400,287195
10,832.96002197266,835.07000732422,819.84997558594,831.73999023438,ok,1547596800,297671
11,842.30999755859,849.0,830.46002197266,832.58001708984,ok,1547683200,245851
12,844.32000732422,855.45001220703,834.83001708984,844.73999023438,ok,1547769600,299691
13,829.20001220703,848.28002929688,824.53002929688,843.98999023438,ok,1548115200,344939
14,834.54998779297,838.23999023438,824.52001953125,832.48999023438,ok,1548201600,253662
15,814.78997802734,836.78997802734,811.03002929688,831.75,ok,1548288000,341495
16,814.64001464844,822.04998779297,805.73999023438,818.39001464844,ok,1548374400,319713
17,819.01000976562,821.40997314453,803.28002929688,812.09002685547,ok,1548633600,274420
18,830.65997314453,831.90002441406,814.5,818.94000244141,ok,1548720000,258306
19,843.16998291016,847.13000488281,828.85998535156,828.91998291016,ok,1548806400,228597
20,847.34002685547,848.44000244141,832.61999511719,844.66998291016,ok,1548892800,494711
21,849.90997314453,854.46997070312,838.52001953125,848.0,ok,1548979200,253943
22,869.44000244141,869.90997314453,848.39001464844,852.29998779297,ok,1549238400,243032
23,869.41998291016,878.02001953125,863.59002685547,873.73999023438,ok,1549324800,281378
24,868.08001708984,873.97998046875,863.97998046875,870.85998535156,ok,1549411200,238830
25,878.77001953125,879.95001220703,860.0,874.88000488281,ok,1549497600,316141
26,874.08001708984,889.88000488281,868.75,873.15997314453,ok,1549584000,278804
27,887.90997314453,888.86999511719,871.33001708984,875.38000488281,ok,1549843200,276708
28,890.90002441406,899.98999023438,887.91998291016,888.54998779297,ok,1549929600,362748
29,891.35998535156,894.53997802734,882.86999511719,890.44000244141,ok,1550016000,289517
30,904.96002197266,908.77001953125,885.51000976562,888.03997802734,ok,1550102400,381988
31,919.75,922.28002929688,909.0,910.83001708984,ok,1550188800,293014
32,916.67999267578,926.75,910.01000976562,920.0,ok,1550534400,293176
33,921.14001464844,925.0,908.91998291016,917.0,ok,1550620800,271188
34,906.33001708984,921.96002197266,905.39001464844,921.96002197266,ok,1550707200,244553
35,911.65997314453,914.23999023438,901.03997802734,910.65002441406,ok,1550793600,240249
36,889.59997558594,914.83001708984,886.95001220703,913.40002441406,ok,1551052800,364329
37,935.0,964.39001464844,932.39001464844,959.89001464844,ok,1551139200,781446
38,911.92999267578,925.84997558594,900.0,900.0,ok,1551225600,430636
39,938.96997070312,938.96997070312,910.15997314453,910.15997314453,ok,1551312000,667888
40,929.32000732422,946.0,919.58001708984,945.39001464844,ok,1551398400,465676
41,932.95001220703,939.0,916.84997558594,934.40997314453,ok,1551657600,298271
42,939.83001708984,948.0,930.41998291016,935.0,ok,1551744000,288713
43,935.34997558594,952.98999023438,934.78002929688,944.21997070312,ok,1551830400,298981
