,c,h,l,o,s,t,v
0,323.80999755859,323.95001220703,313.70999145508,316.19000244141,ok,1546387200,3292204
1,310.89999389648,319.73999023438,309.39999389648,319.48999023438,ok,1546473600,5705567
2,327.07998657227,328.44000244141,316.07998657227,316.69000244141,ok,1546560000,4448759
3,328.10998535156,330.69000244141,323.35000610352,330.51998901367,ok,1546819200,4030280
4,340.5299987793,341.25,332.64999389648,334.10998535156,ok,1546905600,4736472
5,343.82998657227,347.20001220703,340.86999511719,342.95999145508,ok,1546992000,4213870
6,352.60998535156,353.4700012207,343.0,346.51000976562,ok,1547078400,5358117
7,352.89999389648,354.35998535156,348.08999633789,348.55999755859,ok,1547164800,3158852
8,350.35998535156,352.80999755859,347.01000976562,348.20001220703,ok,1547424000,2476367
9,352.23999023438,353.30999755859,347.98001098633,352.0,ok,1547510400,2940908
10,352.05999755859,355.0,351.55999755859,352.5,ok,1547596800,2731082
11,359.08999633789,363.82998657227,350.73001098633,350.75,ok,1547683200,4270365
12,364.73001098633,367.32000732422,361.32000732422,363.88000488281,ok,1547769600,4256505
13,357.89999389648,364.19000244141,354.23001098633,362.85998535156,ok,1548115200,4336541
14,358.60998535156,362.20001220703,353.67001342773,361.91000366211,ok,1548201600,2924874
15,358.26998901367,363.17999267578,356.89999389648,358.91000366211,ok,1548288000,2801392
16,364.20001220703,366.94000244141,360.32998657227,362.48999023438,ok,1548374400,3190425
17,362.9700012207,363.17001342773,357.5,360.64999389648,ok,1548633600,3128884
18,364.91000366211,367.7799987793,362.41000366211,363.07000732422,ok,1548720000,3202652
19,387.7200012207,391.9700012207,380.5,387.39999389648,ok,1548806400,12705305
20,385.61999511719,388.98999023438,382.07998657227,387.16000366211,ok,1548892800,6878455
21,387.42999267578,392.79998779297,384.73001098633,386.10998535156,ok,1548979200,5625749
22,397.0,397.07000732422,388.11999511719,388.9700012207,ok,1549238400,4256562
23,410.17999267578,410.75,399.54998779297,400.75,ok,1549324800,7230380
24,411.10998535156,413.88000488281,405.66000366211,411.51000976562,ok,1549411200,5356025
25,405.17001342773,410.35000610352,402.29000854492,407.92999267578,ok,1549497600,5211412
26,404.91000366211,404.95999145508,397.79998779297,400.0,ok,1549584000,4570946
27,403.95001220703,409.82998657227,402.69000244141,408.10000610352,ok,1549843200,3046932
28,410.7200012207,411.20999145508,405.39001464844,407.0,ok,1549929600,3263321
29,410.57998657227,412.7200012207,407.67001342773,412.51998901367,ok,1550016000,3078692
30,409.82000732422,412.2200012207,407.79998779297,408.92999267578,ok,1550102400,2724260
31,417.9700012207,418.04998779297,411.42999267578,412.48001098633,ok,1550188800,4017338
32,416.26000976562,417.94000244141,414.54000854492,415.5,ok,1550534400,3051459
33,421.54998779297,421.83999633789,417.10998535156,417.14001464844,ok,1550620800,3990102
34,417.57998657227,422.41000366211,415.67999267578,421.57998657227,ok,1550707200,2880474
35,424.04998779297,424.4700012207,419.14001464844,419.70001220703,ok,1550793600,3132298
36,426.86999511719,429.92001342773,426.51998901367,427.48999023438,ok,1551052800,3276050
37,426.76998901367,429.0,424.25,426.0,ok,1551139200,2503684
38,435.44000244141,436.32998657227,427.14999389648,427.17001342773,ok,1551225600,4603847
39,439.95999145508,441.42001342773,437.07998657227,438.70001220703,ok,1551312000,5063147
40,440.61999511719,446.01000976562,440.19000244141,446.01000976562,ok,1551398400,5124178
41,432.69000244141,444.5,426.63000488281,443.2200012207,ok,1551657600,5971042
42,430.11999511719,433.85000610352,428.64001464844,431.04000854492,ok,1551744000,2844273
43,424.45999145508,432.0,422.07998657227,429.70001220703,ok,1551830400,4159385
44,422.55999755859,427.70001220703,416.44000244141,423.35998535156,ok,1551916800,4893598
