,c,h,l,o,s,t,v
0,220.08000183105,223.00999450684,218.2200012207,221.9700012207,ok,1546387200,1176777
1,211.19999694824,218.75,210.7200012207,218.08999633789,ok,1546473600,1889961
2,216.99000549316,218.58999633789,213.30000305176,213.30000305176,ok,1546560000,1974950
3,218.63999938965,222.74000549316,216.33999633789,216.82000732422,ok,1546819200,1660542
4,222.69999694824,223.00999450684,219.85000610352,220.2200012207,ok,1546905600,1132035
5,227.44999694824,229.00999450684,223.82000732422,224.25999450684,ok,1546992000,1185908
6,229.44999694824,229.69000244141,225.33999633789,226.33000183105,ok,1547078400,841094
7,228.86999511719,229.5299987793,226.58000183105,228.38000488281,ok,1547164800,937367
8,226.38000488281,229.17999267578,226.35000610352,227.39999389648,ok,1547424000,946600
9,230.7799987793,231.13999938965,227.00999450684,227.00999450684,ok,1547510400,845676
10,231.27000427246,232.9700012207,230.14999389648,231.60000610352,ok,1547596800,775966
11,236.11000061035,237.11000061035,232.0,235.08999633789,ok,1547683200,1651400
12,242.08000183105,242.25,236.30000305176,237.30999755859,ok,1547769600,1351408
13,239.19000244141,241.71000671387,237.55000305176,240.7200012207,ok,1548115200,1060626
14,239.13999938965,240.91999816895,236.0299987793,239.05000305176,ok,1548201600,723428
15,240.7200012207,241.02000427246,237.58999633789,238.63999938965,ok,1548288000,818805
16,243.05999755859,244.7799987793,240.91999816895,242.0,ok,1548374400,1232675
17,241.83999633789,242.19999694824,239.69999694824,241.11999511719,ok,1548633600,740893
18,242.44999694824,244.7799987793,241.72999572754,241.88000488281,ok,1548720000,994158
19,245.47999572754,246.39999389648,241.80999755859,242.94999694824,ok,1548806400,858748
20,249.46000671387,249.86999511719,243.38000488281,244.75999450684,ok,1548892800,1555130
21,247.41999816895,250.11000061035,245.5,249.27000427246,ok,1548979200,1002174
22,247.16000366211,248.0,244.16999816895,246.99000549316,ok,1549238400,981987
23,242.41000366211,254.0,241.38999938965,248.0,ok,1549324800,2125021
24,243.07000732422,245.44000244141,241.88000488281,242.24000549316,ok,1549411200,1250878
25,241.55999755859,243.2200012207,239.94999694824,241.25,ok,1549497600,961065
26,242.21000671387,242.25999450684,237.75,240.66999816895,ok,1549584000,981908
27,242.7799987793,244.80999755859,241.75,242.9700012207,ok,1549843200,766356
28,246.25999450684,246.52000427246,242.36999511719,243.71000671387,ok,1549929600,1095547
29,245.05000305176,247.72999572754,244.72999572754,247.25,ok,1550016000,874601
30,244.50999450684,245.94999694824,243.0,244.30000305176,ok,1550102400,867124
31,248.33999633789,248.38999938965,245.0,246.91000366211,ok,1550188800,1477561
32,248.03999328613,248.60000610352,246.99000549316,247.64999389648,ok,1550534400,730290
33,249.05999755859,249.19000244141,246.91999816895,247.67999267578,ok,1550620800,861302
34,247.69000244141,249.05000305176,246.38999938965,249.05000305176,ok,1550707200,696989
35,249.66000366211,249.85000610352,247.86999511719,248.17999267578,ok,1550793600,671561
36,250.2799987793,252.0,249.99000549316,250.58000183105,ok,1551052800,1043698
37,249.11000061035,250.58999633789,248.07000732422,250.2200012207,ok,1551139200,786795
38,250.28999328613,250.32000732422,247.78999328613,247.94999694824,ok,1551225600,704599
39,248.78999328613,251.83000183105,248.61999511719,250.21000671387,ok,1551312000,1214936
40,254.36999511719,254.4700012207,249.89999389648,250.5299987793,ok,1551398400,978621
41,252.86000061035,255.61999511719,249.86000061035,255.44000244141,ok,1551657600,822377
42,252.22999572754,252.86999511719,250.13000488281,252.85000610352,ok,1551744000,574134
43,248.58000183105,252.69000244141,247.42999267578,252.50999450684,ok,1551830400,845251
44,246.66999816895,248.2799987793,245.4700012207,247.94000244141,ok,1551916800,719167
45,246.7200012207,247.00999450684,243.58000183105,245.61999511719,ok,1552003200,804858
46,249.94000244141,249.9700012207,247.72999572754,247.89999389648,ok,1552262400,639514
47,250.58000183105,252.35000610352,250.05999755859,250.80000305176,ok,1552348800,825306
48,253.63000488281,254.94000244141,251.28999328613,251.78999328613,ok,1552435200,801480
49,252.25999450684,253.74000549316,251.32000732422,253.74000549316,ok,1552521600,875157
50,253.91999816895,257.16000366211,252.55999755859,252.80999755859,ok,1552608000,2015212
51,244.66999816895,249.25,242.03999328613,249.25,ok,1552867200,1953432
52,247.57000732422,247.64999389648,242.61999511719,244.69000244141,ok,1552953600,1360444
53,243.14999389648,247.63000488281,242.19000244141,247.63000488281,ok,1553040000,1346429
54,245.41999816895,245.67999267578,242.60000610352,242.94999694824,ok,1553126400,1112377
55,240.11999511719,244.74000549316,240.03999328613,244.42999267578,ok,1553212800,1094249
56,241.25,241.52000427246,238.21000671387,240.72999572754,ok,1553472000,1143920
57,247.0,248.0299987793,243.33999633789,243.33999633789,ok,1553558400,1380882
58,245.60000610352,247.89999389648,244.16000366211,247.2200012207,ok,1553644800,1075925
59,247.0,247.38999938965,244.66999816895,246.11999511719,ok,1553731200,990019
60,249.72999572754,249.99000549316,247.19000244141,248.25999450684,ok,1553817600,1483562
61,251.38999938965,252.75,250.19000244141,250.88000488281,ok,1554076800,1121986
62,250.74000549316,252.02000427246,250.41000366211,251.41000366211,ok,1554163200,981854
63,249.38999938965,251.55000305176,248.36000061035,251.5299987793,ok,1554249600,1374059
64,251.58999633789,251.88000488281,248.41999816895,249.88000488281,ok,1554336000,1155697
65,251.2799987793,253.64999389648,250.94000244141,252.52000427246,ok,1554422400,1475013
66,250.99000549316,251.83000183105,249.11000061035,251.57000732422,ok,1554681600,1245056
67,249.77000427246,250.4700012207,247.64999389648,249.33000183105,ok,1554768000,1341120
68,252.22999572754,253.83000183105,249.38999938965,249.94000244141,ok,1554854400,835092
69,251.72999572754,253.33999633789,251.24000549316,253.21000671387,ok,1554940800,959443
70,246.71000671387,253.60000610352,246.36999511719,252.61000061035,ok,1555027200,1338350
71,246.19999694824,247.69000244141,245.19000244141,246.78999328613,ok,1555286400,1102275
72,240.02000427246,249.07000732422,239.63999938965,247.5,ok,1555372800,1559350
73,225.86999511719,240.71000671387,221.50999450684,240.71000671387,ok,1555459200,4695280
74,227.88999938965,230.88000488281,223.63000488281,226.0,ok,1555545600,2542740
75,225.03999328613,229.5299987793,224.61000061035,227.11999511719,ok,1555891200,1489639
76,228.03999328613,231.24000549316,224.2799987793,225.05999755859,ok,1555977600,2557261
77,232.5,233.2799987793,226.08999633789,227.86999511719,ok,1556064000,1768790
78,237.42999267578,238.36000061035,230.69999694824,231.77000427246,ok,1556150400,1816947
79,238.11999511719,239.0,236.05999755859,238.50999450684,ok,1556236800,806910
