,c,h,l,o,s,t,v
0,304.69000244141,307.13000488281,296.54000854492,296.83999633789,ok,1546387200,1336591
1,307.0,316.69000244141,305.92001342773,306.76000976562,ok,1546473600,2148636
2,318.32998657227,323.63000488281,309.89999389648,311.79998779297,ok,1546560000,1532580
3,322.39999389648,327.26000976562,317.41000366211,319.2799987793,ok,1546819200,1316546
4,324.44000244141,325.89999389648,320.4700012207,324.5299987793,ok,1546905600,1008127
5,326.63000488281,330.70001220703,324.45999145508,325.76000976562,ok,1546992000,1223612
6,331.19000244141,331.36999511719,324.20001220703,325.61999511719,ok,1547078400,845819
7,333.20999145508,333.57000732422,327.82998657227,329.39999389648,ok,1547164800,1317801
8,330.42001342773,331.51998901367,327.7200012207,331.2799987793,ok,1547424000,952545
9,337.54000854492,337.9700012207,328.92999267578,330.67001342773,ok,1547510400,982237
10,332.0299987793,339.9700012207,330.05999755859,337.42999267578,ok,1547596800,1232104
11,338.33999633789,339.95999145508,330.32000732422,331.23999023438,ok,1547683200,1004705
12,337.42001342773,340.54998779297,334.70999145508,340.32998657227,ok,1547769600,1270788
13,338.95999145508,340.70001220703,333.66000366211,335.04998779297,ok,1548115200,1448447
14,337.2200012207,344.0,333.29000854492,340.45999145508,ok,1548201600,1046831
15,332.86999511719,337.20999145508,331.9700012207,336.91000366211,ok,1548288000,1090897
16,336.76998901367,337.35998535156,333.51000976562,334.88000488281,ok,1548374400,999729
17,330.01000976562,335.88000488281,326.83999633789,335.19000244141,ok,1548633600,1230516
18,334.48001098633,335.07998657227,326.01000976562,327.14001464844,ok,1548720000,1645734
19,327.85998535156,331.0,321.42001342773,326.20001220703,ok,1548806400,2387943
20,333.7799987793,334.29998779297,325.05999755859,328.23999023438,ok,1548892800,1419245
21,330.91000366211,333.75,326.07000732422,333.75,ok,1548979200,1180886
22,334.07000732422,334.10998535156,326.60998535156,331.36999511719,ok,1549238400,990738
23,336.98999023438,338.86999511719,333.29998779297,334.32998657227,ok,1549324800,1281359
24,333.23999023438,338.41000366211,331.63000488281,337.4700012207,ok,1549411200,934527
25,308.73001098633,325.20001220703,307.0,323.89999389648,ok,1549497600,2786737
26,315.11999511719,316.70999145508,305.45001220703,307.10998535156,ok,1549584000,1633731
27,316.86999511719,317.89999389648,314.54000854492,316.11999511719,ok,1549843200,1360874
28,319.42999267578,320.30999755859,316.95001220703,319.10000610352,ok,1549929600,1082890
29,321.54000854492,323.66000366211,319.23999023438,321.0,ok,1550016000,1136776
30,324.70999145508,325.7799987793,318.57000732422,321.0,ok,1550102400,1245889
31,332.86999511719,333.2799987793,324.70999145508,328.08999633789,ok,1550188800,1435708
32,333.0,335.94000244141,330.82998657227,330.82998657227,ok,1550534400,946754
33,335.16000366211,335.29998779297,331.57000732422,332.36999511719,ok,1550620800,859919
34,321.17001342773,331.48999023438,320.39001464844,329.9700012207,ok,1550707200,1441537
35,325.32998657227,325.39001464844,320.42999267578,321.19000244141,ok,1550793600,1029961
36,327.48001098633,331.98999023438,326.25,327.95001220703,ok,1551052800,838967
37,327.61999511719,329.14999389648,325.13000488281,327.23001098633,ok,1551139200,743065
38,328.89001464844,330.0299987793,325.51000976562,326.5299987793,ok,1551225600,598458
39,328.01000976562,329.7799987793,326.51000976562,327.64001464844,ok,1551312000,752918
40,334.10000610352,335.17001342773,330.14999389648,331.29000854492,ok,1551398400,906327
