,c,h,l,o,s,t,v
0,228.08000183105,231.22999572754,226.72999572754,229.72999572754,ok,1546387200,165788
1,224.30000305176,231.25999450684,223.88999938965,228.17999267578,ok,1546473600,180229
2,226.2799987793,228.33999633789,224.11000061035,224.5,ok,1546560000,446776
3,233.66999816895,234.82000732422,227.25999450684,227.52000427246,ok,1546819200,354344
4,235.5299987793,236.91000366211,232.47999572754,235.0,ok,1546905600,235813
5,237.36999511719,241.39999389648,236.61000061035,236.61000061035,ok,1546992000,266057
6,240.86999511719,242.14999389648,235.67999267578,235.88000488281,ok,1547078400,227015
7,241.41999816895,242.0,238.19999694824,240.30000305176,ok,1547164800,127811
8,236.36999511719,239.44999694824,236.36999511719,238.5,ok,1547424000,261225
9,237.89999389648,239.2799987793,236.67999267578,236.67999267578,ok,1547510400,282192
10,236.55999755859,240.5299987793,236.32000732422,238.75,ok,1547596800,216097
11,237.83999633789,239.64999389648,235.44000244141,236.22999572754,ok,1547683200,248192
12,239.64999389648,242.55000305176,237.88999938965,239.80999755859,ok,1547769600,321116
13,235.52000427246,240.89999389648,234.28999328613,238.86999511719,ok,1548115200,167158
14,237.08999633789,237.71000671387,233.17999267578,236.30999755859,ok,1548201600,162784
15,237.07000732422,239.0299987793,236.28999328613,237.0,ok,1548288000,146736
16,240.30999755859,240.67999267578,236.5299987793,238.55000305176,ok,1548374400,206874
17,238.07000732422,238.21000671387,235.52000427246,237.86000061035,ok,1548633600,124836
18,239.30000305176,241.89999389648,238.00999450684,238.03999328613,ok,1548720000,190398
19,244.97999572754,245.10000610352,238.47999572754,240.0,ok,1548806400,198164
20,249.86999511719,250.11000061035,243.74000549316,244.55999755859,ok,1548892800,222446
21,251.11999511719,252.61999511719,248.08000183105,249.75,ok,1548979200,264387
22,250.69999694824,251.38000488281,247.89999389648,251.38000488281,ok,1549238400,186860
23,250.14999389648,253.19999694824,249.72999572754,250.85000610352,ok,1549324800,174493
24,252.69999694824,253.36000061035,248.42999267578,250.13999938965,ok,1549411200,206804
25,248.0299987793,252.63999938965,246.69999694824,251.50999450684,ok,1549497600,227513
26,248.85000610352,249.02000427246,245.58999633789,246.44000244141,ok,1549584000,278097
27,252.92999267578,254.85000610352,250.05000305176,250.30000305176,ok,1549843200,468542
28,258.10000610352,259.35000610352,253.11000061035,254.41000366211,ok,1549929600,368927
29,261.79000854492,262.38000488281,256.25,258.60000610352,ok,1550016000,277437
30,261.42001342773,265.73999023438,260.36999511719,261.48001098633,ok,1550102400,226253
31,270.33999633789,270.48999023438,262.38000488281,262.98999023438,ok,1550188800,268873
32,270.05999755859,270.33999633789,266.95001220703,269.32998657227,ok,1550534400,274858
33,272.73999023438,273.04998779297,269.23001098633,270.23001098633,ok,1550620800,202905
34,274.33999633789,275.79998779297,271.25,273.2799987793,ok,1550707200,233333
35,274.26000976562,275.70999145508,271.70001220703,275.35000610352,ok,1550793600,247546
36,275.2200012207,277.35998535156,274.0,276.01998901367,ok,1551052800,261536
37,272.86999511719,275.70999145508,271.82998657227,273.48001098633,ok,1551139200,202318
38,273.98999023438,275.5,271.13000488281,272.30999755859,ok,1551225600,225578
39,270.89999389648,275.57998657227,268.95999145508,273.70999145508,ok,1551312000,409546
40,317.41000366211,323.94000244141,302.0,302.0,ok,1551398400,952382
41,312.79000854492,316.35000610352,309.32998657227,315.5,ok,1551657600,479610
42,312.32000732422,316.51998901367,311.0,313.7200012207,ok,1551744000,300433
43,308.73001098633,312.76000976562,307.26000976562,311.57998657227,ok,1551830400,274483
44,302.60000610352,306.80999755859,301.86999511719,306.80999755859,ok,1551916800,338030
45,303.85998535156,305.20999145508,299.54998779297,300.41000366211,ok,1552003200,430548
46,308.26998901367,309.35998535156,304.57998657227,305.17999267578,ok,1552262400,381106
47,308.86999511719,310.91000366211,306.32998657227,308.95001220703,ok,1552348800,205177
48,309.42001342773,313.07000732422,308.4700012207,310.54998779297,ok,1552435200,240021
49,311.86999511719,312.98001098633,307.79000854492,309.51998901367,ok,1552521600,237311
50,310.32998657227,313.10998535156,309.07000732422,312.23999023438,ok,1552608000,297337
51,313.67001342773,313.79998779297,308.44000244141,310.17001342773,ok,1552867200,384725
52,314.11999511719,317.51998901367,312.61999511719,315.0,ok,1552953600,228570
53,310.7200012207,314.73999023438,310.7200012207,313.82000732422,ok,1553040000,222021
54,315.57000732422,315.73999023438,308.44000244141,308.70001220703,ok,1553126400,119963
55,305.58999633789,314.95001220703,305.39999389648,314.07000732422,ok,1553212800,188315
56,307.19000244141,308.95001220703,302.32000732422,305.0299987793,ok,1553472000,196820
57,307.69000244141,310.86999511719,306.79998779297,309.44000244141,ok,1553558400,211874
58,302.42001342773,308.01998901367,299.54000854492,307.11999511719,ok,1553644800,179881
59,303.75,304.32000732422,297.08999633789,302.73999023438,ok,1553731200,109052
60,305.67999267578,307.39999389648,304.64999389648,306.01000976562,ok,1553817600,280703
61,307.39999389648,310.5,305.11999511719,308.44000244141,ok,1554076800,199306
62,309.14001464844,311.54000854492,305.2799987793,307.70001220703,ok,1554163200,193509
63,305.88000488281,311.73001098633,304.85000610352,311.61999511719,ok,1554249600,227574
64,305.79998779297,307.08999633789,302.30999755859,306.48999023438,ok,1554336000,123407
65,308.60998535156,310.51000976562,305.98999023438,305.98999023438,ok,1554422400,156058
66,309.83999633789,310.14999389648,305.01998901367,307.33999633789,ok,1554681600,94967
67,305.92001342773,308.44000244141,304.95001220703,307.86999511719,ok,1554768000,201114
68,307.60000610352,308.05999755859,305.0299987793,306.83999633789,ok,1554854400,318121
69,305.98001098633,308.44000244141,305.42999267578,307.86999511719,ok,1554940800,156968
70,308.5299987793,310.67001342773,305.42001342773,308.05999755859,ok,1555027200,329663
71,306.73999023438,309.94000244141,306.39001464844,308.57998657227,ok,1555286400,264403
72,301.44000244141,309.82998657227,300.64999389648,308.16000366211,ok,1555372800,226317
73,291.82998657227,301.95999145508,287.89001464844,301.95999145508,ok,1555459200,364406
74,294.13000488281,295.60000610352,288.39001464844,293.36999511719,ok,1555545600,262702
75,293.48999023438,297.42999267578,292.4700012207,293.48999023438,ok,1555891200,156022
76,295.14001464844,295.98001098633,289.0299987793,293.0,ok,1555977600,275480
77,293.7799987793,295.75,291.39999389648,294.85000610352,ok,1556064000,194775
78,298.89999389648,299.32000732422,291.73001098633,293.35998535156,ok,1556150400,183615
79,301.79998779297,301.89999389648,296.85998535156,298.75,ok,1556236800,227356
80,299.23999023438,302.44000244141,298.9700012207,301.64999389648,ok,1556496000,81230
81,300.92999267578,301.63000488281,295.94000244141,298.67001342773,ok,1556582400,118216
82,297.07998657227,301.35000610352,296.57998657227,301.35000610352,ok,1556668800,114058
83,302.20001220703,302.94000244141,293.98001098633,296.86999511719,ok,1556755200,154101
84,308.35998535156,309.33999633789,302.26998901367,303.92999267578,ok,1556841600,161673
85,306.29998779297,308.17001342773,301.45001220703,303.64001464844,ok,1557100800,228027
86,297.69000244141,304.7200012207,296.32998657227,303.7799987793,ok,1557187200,133108
87,296.51000976562,299.45001220703,295.0,297.92999267578,ok,1557273600,343503
88,309.2799987793,319.98999023438,306.0,306.0,ok,1557360000,411073
89,311.10000610352,312.85998535156,301.08999633789,307.0,ok,1557446400,395362
