,c,h,l,o,s,t,v
0,1721.6999511719,1736.7700195312,1690.8399658203,1691.25,ok,1546387200,312646
1,1663.1199951172,1712.6800537109,1657.9799804688,1704.6500244141,ok,1546473600,445239
2,1717.5500488281,1737.0799560547,1678.6199951172,1686.1199951172,ok,1546560000,540992
3,1711.8199462891,1731.4000244141,1703.5999755859,1721.7399902344,ok,1546819200,334802
4,1686.9200439453,1755.9899902344,1681.1500244141,1730.0400390625,ok,1546905600,652453
5,1649.4899902344,1682.8800048828,1637.0200195312,1642.3499755859,ok,1546992000,786286
6,1677.3299560547,1685.9799804688,1640.0,1640.0,ok,1547078400,459684
7,1665.8900146484,1678.0500488281,1654.9300537109,1670.5899658203,ok,1547164800,331242
8,1692.8800048828,1708.8299560547,1645.0,1647.5600585938,ok,1547424000,439269
9,1698.3100585938,1704.1800537109,1681.5600585938,1695.0,ok,1547510400,436078
10,1680.5699462891,1698.2199707031,1676.5400390625,1693.4200439453,ok,1547596800,503742
11,1724.5100097656,1737.9000244141,1676.5400390625,1681.7299804688,ok,1547683200,363223
12,1760.2600097656,1776.8399658203,1737.5,1747.0200195312,ok,1547769600,552561
13,1708.9799804688,1759.6700439453,1691.4799804688,1743.1800537109,ok,1548115200,757985
14,1744.3100585938,1746.5799560547,1715.1099853516,1717.25,ok,1548201600,437850
15,1795.6700439453,1805.1800537109,1748.8800048828,1748.9799804688,ok,1548288000,695786
16,1802.1999511719,1834.0799560547,1799.0100097656,1811.9899902344,ok,1548374400,491397
17,1813.5999755859,1835.0,1780.1800537109,1787.6199951172,ok,1548633600,387780
18,1808.8000488281,1820.4000244141,1794.1999511719,1816.6199951172,ok,1548720000,212398
19,1818.6999511719,1835.4699707031,1805.5799560547,1825.3299560547,ok,1548806400,300494
20,1832.8100585938,1851.1700439453,1820.3699951172,1820.3699951172,ok,1548892800,314887
21,1836.9599609375,1862.0699462891,1821.1400146484,1824.0500488281,ok,1548979200,278230
22,1860.9899902344,1862.2600097656,1837.9399414062,1840.3900146484,ok,1549238400,319520
23,1902.2600097656,1916.2199707031,1879.9300537109,1887.5300292969,ok,1549324800,487946
24,1906.9300537109,1910.0,1874.7800292969,1895.9399414062,ok,1549411200,242989
25,1877.0600585938,1900.6500244141,1862.0100097656,1892.0999755859,ok,1549497600,362600
26,1871.0899658203,1899.9899902344,1862.0100097656,1892.3699951172,ok,1549584000,276038
27,1865.0,1880.6899414062,1856.9899902344,1873.1300048828,ok,1549843200,327682
28,1895.2900390625,1900.0,1861.7099609375,1876.8299560547,ok,1549929600,262261
29,1919.9699707031,1924.0,1898.7700195312,1899.2900390625,ok,1550016000,277289
30,1902.3299560547,1922.6300048828,1901.0,1909.8800048828,ok,1550102400,208983
31,1933.5699462891,1934.6500244141,1898.5699462891,1925.3299560547,ok,1550188800,331771
32,1935.5,1951.8599853516,1909.1800537109,1927.5600585938,ok,1550534400,338449
33,1926.1700439453,1944.9899902344,1920.0,1936.5100097656,ok,1550620800,322184
34,1906.3100585938,1932.6400146484,1900.2900390625,1924.6500244141,ok,1550707200,414076
35,1910.5200195312,1923.9100341797,1897.2099609375,1920.3800048828,ok,1550793600,385784
36,1890.0300292969,1934.8299560547,1885.8299560547,1928.6300048828,ok,1551052800,454087
37,1915.7299804688,1919.8299560547,1885.8299560547,1885.8299560547,ok,1551139200,366049
38,1906.0,1952.25,1897.0100097656,1906.0,ok,1551225600,750594
39,1697.0400390625,1763.8900146484,1692.0,1754.0,ok,1551312000,1989814
40,1714.0799560547,1726.3299560547,1698.0,1708.1999511719,ok,1551398400,1248135
41,1707.8199462891,1730.0,1690.0400390625,1723.6600341797,ok,1551657600,1043402
42,1745.9300537109,1748.7199707031,1709.3699951172,1715.0,ok,1551744000,619566
43,1751.6199951172,1765.8199462891,1745.2900390625,1748.3699951172,ok,1551830400,621408
44,1725.0100097656,1756.7099609375,1719.2800292969,1746.5,ok,1551916800,598894
45,1715.8199462891,1719.5100097656,1692.9300537109,1708.0400390625,ok,1552003200,773255
46,1709.9000244141,1723.9899902344,1693.3199462891,1721.6899414062,ok,1552262400,681222
47,1736.0,1740.3800048828,1689.4399414062,1709.7199707031,ok,1552348800,699263
48,1760.7099609375,1769.8399658203,1739.6099853516,1740.4399414062,ok,1552435200,680931
49,1743.8800048828,1782.1700439453,1738.7299804688,1768.8299560547,ok,1552521600,520761
50,1752.1700439453,1758.0699462891,1744.2199707031,1751.7900390625,ok,1552608000,760090
51,1756.3299560547,1765.5999755859,1752.8100585938,1757.7099609375,ok,1552867200,402981
52,1764.0300292969,1787.3000488281,1740.1400146484,1751.0500488281,ok,1552953600,499111
53,1774.4300537109,1780.9899902344,1751.1300048828,1766.7800292969,ok,1553040000,389235
54,1774.3599853516,1784.6500244141,1761.0100097656,1765.8000488281,ok,1553126400,400085
55,1721.5899658203,1761.1800537109,1711.0899658203,1754.0400390625,ok,1553212800,656313
56,1752.3900146484,1759.8800048828,1712.7099609375,1714.0100097656,ok,1553472000,559733
57,1768.8699951172,1783.8599853516,1759.2199707031,1761.1999511719,ok,1553558400,462426
58,1752.1099853516,1786.9599609375,1746.2099609375,1768.9799804688,ok,1553644800,355496
59,1728.8900146484,1765.5799560547,1727.2399902344,1759.9899902344,ok,1553731200,417347
60,1744.9100341797,1756.5300292969,1733.4300537109,1736.5999755859,ok,1553817600,440130
61,1759.2299804688,1771.9699707031,1748.0999755859,1755.0799560547,ok,1554076800,502352
62,1763.5500488281,1771.5699462891,1751.2399902344,1766.0300292969,ok,1554163200,492628
63,1774.9300537109,1796.1400146484,1769.0100097656,1778.4699707031,ok,1554249600,486380
64,1780.5999755859,1791.1800537109,1767.5,1775.3100585938,ok,1554336000,373214
65,1769.4499511719,1788.0300292969,1768.3800048828,1788.0300292969,ok,1554422400,365789
66,1788.7199707031,1793.0899658203,1766.4000244141,1767.9200439453,ok,1554681600,324020
67,1794.4699707031,1796.8800048828,1767.6500244141,1776.75,ok,1554768000,378469
68,1806.0,1808.9799804688,1772.0100097656,1793.8499755859,ok,1554854400,392692
69,1818.5899658203,1823.4000244141,1806.1500244141,1810.0,ok,1554940800,421165
70,1833.0699462891,1848.0,1827.1400146484,1827.8699951172,ok,1555027200,413827
71,1846.2299804688,1848.1400146484,1825.9499511719,1834.0,ok,1555286400,386674
72,1841.6999511719,1863.3000488281,1839.1300048828,1851.8000488281,ok,1555372800,416493
73,1839.7900390625,1856.2299804688,1837.6099853516,1848.6300048828,ok,1555459200,324210
74,1844.3100585938,1854.2299804688,1839.8399658203,1847.6400146484,ok,1555545600,344632
75,1844.1700439453,1853.1999511719,1831.0400390625,1833.9300537109,ok,1555891200,315864
76,1887.7299804688,1895.2800292969,1847.3399658203,1849.2299804688,ok,1555977600,549301
77,1867.2800292969,1893.9799804688,1863.5999755859,1887.1400146484,ok,1556064000,506643
78,1866.2600097656,1884.8100585938,1856.9300537109,1870.6500244141,ok,1556150400,384397
79,1868.0,1883.5,1850.0100097656,1868.0999755859,ok,1556236800,541080
80,1876.3199462891,1885.0,1865.6199951172,1869.8100585938,ok,1556496000,432974
81,1854.9899902344,1889.0999755859,1852.1999511719,1872.0,ok,1556582400,422418
82,1829.5200195312,1865.4899902344,1828.1899414062,1857.5699462891,ok,1556668800,407485
83,1808.0,1830.4300537109,1800.1800537109,1824.6600341797,ok,1556755200,529046
84,1824.0699462891,1829.9599609375,1814.25,1816.1700439453,ok,1556841600,496096
85,1800.5100097656,1811.6999511719,1782.0300292969,1798.9599609375,ok,1557100800,540145
86,1785.0,1800.5799560547,1771.2099609375,1781.4499511719,ok,1557187200,477187
87,1751.6300048828,1771.6199951172,1746.0,1765.0100097656,ok,1557273600,464587
88,1736.0300292969,1751.0999755859,1715.0100097656,1729.4300537109,ok,1557360000,627853
89,1829.8499755859,1859.9899902344,1765.6199951172,1825.0,ok,1557446400,1168406
