,c,h,l,o,s,t,v
0,389.42001342773,391.16000366211,385.10000610352,386.2799987793,ok,1546387200,926981
1,377.98001098633,386.54998779297,377.2799987793,385.0299987793,ok,1546473600,781082
2,391.82000732422,392.92999267578,381.98999023438,385.17001342773,ok,1546560000,647807
3,392.91000366211,398.17999267578,389.42001342773,390.94000244141,ok,1546819200,714596
4,397.91000366211,400.85000610352,393.60000610352,397.76000976562,ok,1546905600,642949
5,400.19000244141,403.14999389648,395.29998779297,399.5,ok,1546992000,640547
6,399.5,400.92001342773,395.20999145508,399.11999511719,ok,1547078400,487124
7,397.91000366211,399.61999511719,389.67001342773,395.01000976562,ok,1547164800,706493
8,396.42001342773,399.94000244141,391.10998535156,392.86999511719,ok,1547424000,919688
9,400.70999145508,401.11999511719,393.39999389648,396.54998779297,ok,1547510400,846997
10,413.04000854492,421.82998657227,401.42999267578,402.08999633789,ok,1547596800,1331488
11,412.51998901367,416.94000244141,403.69000244141,411.0,ok,1547683200,917150
12,419.45001220703,420.55999755859,413.58999633789,417.07998657227,ok,1547769600,1031832
13,413.60000610352,419.20001220703,411.08999633789,416.41000366211,ok,1548115200,905609
14,408.48001098633,414.57000732422,403.76000976562,413.0299987793,ok,1548201600,660154
15,406.55999755859,411.32998657227,401.79998779297,407.91000366211,ok,1548288000,838386
16,409.95001220703,414.07000732422,409.14999389648,411.2200012207,ok,1548374400,572987
17,405.35998535156,407.88000488281,402.39999389648,405.85000610352,ok,1548633600,640436
18,407.61999511719,412.0,406.29000854492,411.5,ok,1548720000,602780
19,408.32998657227,410.94000244141,401.82000732422,409.20001220703,ok,1548806400,869856
20,415.07998657227,415.95999145508,406.2200012207,406.2200012207,ok,1548892800,750070
21,416.80999755859,417.57998657227,412.11999511719,417.44000244141,ok,1548979200,585852
22,417.98001098633,418.73999023438,413.17001342773,416.5,ok,1549238400,534750
23,417.55999755859,419.14001464844,414.04998779297,418.11999511719,ok,1549324800,523368
24,416.39001464844,420.7799987793,415.07000732422,418.44000244141,ok,1549411200,424661
25,415.01000976562,417.88000488281,410.01000976562,414.35000610352,ok,1549497600,469360
26,411.76000976562,414.04998779297,406.13000488281,412.14999389648,ok,1549584000,567035
27,412.70001220703,414.86999511719,411.0,413.75,ok,1549843200,595642
28,425.51000976562,425.75,415.42999267578,416.19000244141,ok,1549929600,617426
29,427.45001220703,433.75,426.10000610352,426.70001220703,ok,1550016000,803494
30,423.38000488281,425.26998901367,417.95001220703,424.41000366211,ok,1550102400,542539
31,431.95001220703,432.63000488281,425.19000244141,425.19000244141,ok,1550188800,600252
32,431.07000732422,433.0,428.17001342773,428.42999267578,ok,1550534400,438014
33,437.2200012207,437.48999023438,429.76998901367,431.7799987793,ok,1550620800,563283
34,435.01998901367,437.58999633789,432.85000610352,436.60000610352,ok,1550707200,451887
35,436.7200012207,436.95001220703,433.45001220703,435.51998901367,ok,1550793600,400264
36,438.92999267578,444.79998779297,438.04000854492,439.2799987793,ok,1551052800,516304
37,440.5299987793,443.0,435.69000244141,437.67001342773,ok,1551139200,472041
38,442.01000976562,444.70001220703,438.88000488281,440.17001342773,ok,1551225600,461092
39,443.2200012207,444.7200012207,440.39001464844,442.01000976562,ok,1551312000,512124
40,443.76998901367,451.92001342773,442.10000610352,447.55999755859,ok,1551398400,657238
41,437.32998657227,447.0,434.05999755859,445.89001464844,ok,1551657600,686154
42,432.51998901367,435.70999145508,431.14999389648,434.25,ok,1551744000,433502
43,429.85998535156,434.0,429.38000488281,432.51998901367,ok,1551830400,272773
44,423.19000244141,434.98001098633,420.54000854492,434.44000244141,ok,1551916800,467435
45,421.30999755859,421.89001464844,417.20999145508,420.57000732422,ok,1552003200,587066
46,428.10000610352,429.39001464844,422.92001342773,424.01000976562,ok,1552262400,593087
47,427.83999633789,431.01998901367,426.88000488281,429.63000488281,ok,1552348800,504680
48,431.83999633789,433.39999389648,426.5,430.32998657227,ok,1552435200,606702
49,433.63000488281,435.45999145508,431.10998535156,435.45999145508,ok,1552521600,501687
50,433.54998779297,438.82000732422,432.92999267578,433.82998657227,ok,1552608000,1756866
51,440.48001098633,440.75,435.94000244141,436.0,ok,1552867200,550707
