,c,h,l,o,s,t,v
0,109.15000152588,111.69999694824,107.94000244141,111.69999694824,ok,1546387200,815040
1,109.61000061035,111.33000183105,108.80999755859,108.98999786377,ok,1546473600,708413
2,111.51000213623,112.41999816895,110.04000091553,110.63999938965,ok,1546560000,600894
3,112.20999908447,112.98000335693,111.33000183105,111.81999969482,ok,1546819200,760861
4,115.5299987793,115.56999969482,112.48999786377,112.66999816895,ok,1546905600,1241919
5,117.44000244141,117.69999694824,115.56999969482,117.15000152588,ok,1546992000,879816
6,119.2200012207,119.51999664307,116.90000152588,117.08999633789,ok,1547078400,654659
7,119.15000152588,119.30999755859,118.19999694824,118.80000305176,ok,1547164800,431857
8,118.12999725342,119.29000091553,117.7200012207,118.70999908447,ok,1547424000,476057
9,119.06999969482,119.30000305176,118.05000305176,118.16999816895,ok,1547510400,422826
10,119.83000183105,119.88999938965,118.41999816895,119.23000335693,ok,1547596800,545092
11,120.41999816895,120.88999938965,119.34999847412,119.76999664307,ok,1547683200,608935
12,121.51999664307,121.59999847412,119.87999725342,120.66999816895,ok,1547769600,822027
13,121.20999908447,121.63999938965,119.9700012207,121.44999694824,ok,1548115200,855991
14,120.7799987793,121.44999694824,119.90000152588,120.7200012207,ok,1548201600,621360
15,121.06999969482,121.26999664307,119.23999786377,120.09999847412,ok,1548288000,518892
16,123.48000335693,123.55000305176,121.51999664307,121.9700012207,ok,1548374400,722084
17,124.87000274658,125.30000305176,122.44999694824,123.2799987793,ok,1548633600,607152
18,126.38999938965,126.44000244141,124.12999725342,124.66999816895,ok,1548720000,590856
19,130.46000671387,130.50999450684,126.19999694824,127.5,ok,1548806400,1110985
20,131.86999511719,132.07000732422,129.03999328613,130.33999633789,ok,1548892800,880436
21,131.17999267578,132.08000183105,129.35000610352,132.08000183105,ok,1548979200,1128245
22,132.46000671387,132.46000671387,130.25,131.03999328613,ok,1549238400,1031723
23,132.05000305176,132.50999450684,131.32000732422,132.50999450684,ok,1549324800,1198129
24,131.60000610352,132.27000427246,130.66000366211,132.21000671387,ok,1549411200,711160
25,132.61000061035,132.66999816895,130.03999328613,131.03999328613,ok,1549497600,823191
26,132.39999389648,132.63000488281,131.41999816895,131.80999755859,ok,1549584000,505019
27,133.32000732422,133.46000671387,132.19000244141,132.58000183105,ok,1549843200,507127
28,132.69000244141,133.7200012207,132.30000305176,133.2799987793,ok,1549929600,592490
29,133.71000671387,134.0299987793,132.38000488281,132.53999328613,ok,1550016000,461229
30,133.11000061035,133.91000366211,132.64999389648,133.52000427246,ok,1550102400,516984
31,133.61999511719,134.24000549316,133.13000488281,134.13000488281,ok,1550188800,661597
32,134.61000061035,134.91999816895,133.24000549316,133.53999328613,ok,1550534400,408212
33,133.86999511719,134.35000610352,132.80999755859,134.35000610352,ok,1550620800,425169
34,134.55999755859,134.72999572754,132.07000732422,133.33000183105,ok,1550707200,401160
35,135.66999816895,135.99000549316,134.22999572754,135.0,ok,1550793600,453195
36,134.72999572754,136.2200012207,134.55000305176,136.10000610352,ok,1551052800,457891
37,134.00999450684,135.22999572754,133.88999938965,135.22999572754,ok,1551139200,475370
38,132.39999389648,133.53999328613,131.30999755859,133.24000549316,ok,1551225600,700984
39,132.69000244141,134.86999511719,132.05999755859,132.5,ok,1551312000,883332
40,131.83000183105,133.25999450684,131.22999572754,132.88999938965,ok,1551398400,995702
41,132.30000305176,132.88999938965,131.35000610352,132.21000671387,ok,1551657600,877838
42,133.28999328613,133.7799987793,132.08000183105,132.08000183105,ok,1551744000,888787
43,132.5,134.07000732422,132.49000549316,133.86000061035,ok,1551830400,519680
44,132.46000671387,133.69999694824,131.94000244141,132.36000061035,ok,1551916800,1242475
45,132.42999267578,133.53999328613,131.60000610352,132.13000488281,ok,1552003200,725274
46,133.19999694824,133.46000671387,132.19999694824,132.86000061035,ok,1552262400,720354
47,135.0,135.36000061035,133.41999816895,133.58000183105,ok,1552348800,586008
48,135.03999328613,135.49000549316,134.11999511719,134.11999511719,ok,1552435200,590184
49,135.27000427246,135.49000549316,134.44000244141,134.86000061035,ok,1552521600,442444
50,132.74000549316,135.25999450684,132.44000244141,134.99000549316,ok,1552608000,1458475
51,132.88999938965,133.80999755859,132.25999450684,133.05999755859,ok,1552867200,714604
