,c,h,l,o,s,t,v
0,126.37999725342,127.87999725342,123.0,124.0299987793,ok,1546387200,4783227
1,121.51000213623,125.5,120.44000244141,125.30999755859,ok,1546473600,6166080
2,128.14999389648,128.58999633789,123.69999694824,124.16999816895,ok,1546560000,5456893
3,128.22999572754,129.60000610352,126.69999694824,128.58999633789,ok,1546819200,4653643
4,129.77000427246,131.5,128.22999572754,129.89999389648,ok,1546905600,4202624
5,130.27000427246,132.2200012207,129.91000366211,131.08999633789,ok,1546992000,4865583
6,132.96000671387,133.11999511719,127.25,128.61000061035,ok,1547078400,3418501
7,132.10000610352,132.32000732422,130.05000305176,131.08000183105,ok,1547164800,2908649
8,131.80000305176,132.38999938965,129.13000488281,130.30999755859,ok,1547424000,4482291
9,130.69000244141,133.11000061035,129.55999755859,132.11000061035,ok,1547510400,3224080
10,131.66000366211,132.52000427246,130.24000549316,130.75999450684,ok,1547596800,3636946
11,134.53999328613,135.89999389648,129.16000366211,130.4700012207,ok,1547683200,6878543
12,136.60000610352,137.7200012207,133.66000366211,135.10000610352,ok,1547769600,6122435
13,132.24000549316,134.94000244141,131.16999816895,134.92999267578,ok,1548115200,5188724
14,131.82000732422,133.49000549316,130.14999389648,133.03999328613,ok,1548201600,3123553
15,132.72999572754,132.99000549316,131.19999694824,131.41000366211,ok,1548288000,3943630
16,136.86000061035,136.88999938965,133.88999938965,134.77000427246,ok,1548374400,6429391
17,124.37000274658,127.80000305176,123.15000152588,126.98999786377,ok,1548633600,17421412
18,126.5299987793,128.38999938965,125.61000061035,125.61000061035,ok,1548720000,8550767
19,130.11000061035,131.35000610352,126.30999755859,127.93000030518,ok,1548806400,7181643
20,133.16000366211,133.33999633789,129.03999328613,130.32000732422,ok,1548892800,6643296
21,130.91000366211,133.86000061035,130.11000061035,133.0299987793,ok,1548979200,5646683
22,130.88000488281,131.30999755859,130.10000610352,130.88000488281,ok,1549238400,4541720
23,132.0,132.10000610352,130.60000610352,130.63000488281,ok,1549324800,3614480
24,130.53999328613,132.10000610352,130.36000061035,131.27000427246,ok,1549411200,3098186
25,128.7799987793,130.44000244141,127.36000061035,129.28999328613,ok,1549497600,3682114
26,128.60000610352,128.60000610352,126.55000305176,127.48000335693,ok,1549584000,3135042
27,128.92999267578,130.07000732422,128.69000244141,128.94999694824,ok,1549843200,2648527
28,132.66999816895,133.55999755859,130.0,130.25999450684,ok,1549929600,4505567
29,133.10000610352,134.30999755859,132.44999694824,134.19999694824,ok,1550016000,3189564
30,132.61999511719,133.25,131.27000427246,131.7799987793,ok,1550102400,2877504
31,136.19999694824,136.25,133.67999267578,134.10000610352,ok,1550188800,5217523
32,135.80000305176,136.97999572754,135.0,135.35000610352,ok,1550534400,3881321
33,140.30999755859,140.69000244141,136.33999633789,136.38999938965,ok,1550620800,6199038
34,138.88000488281,140.97999572754,138.41000366211,139.75,ok,1550707200,4051065
35,138.67999267578,139.69000244141,137.92999267578,138.7799987793,ok,1550793600,3485007
36,141.41000366211,142.55000305176,140.17999267578,140.99000549316,ok,1551052800,4444059
37,137.97999572754,139.0299987793,135.27000427246,136.5299987793,ok,1551139200,7275601
38,139.58000183105,139.63999938965,137.13999938965,137.86000061035,ok,1551225600,3441015
