,c,h,l,o,s,t,v
0,28.0,28.180000305176,27.739999771118,28.159999847412,ok,1546387200,4027269
1,28.159999847412,28.39999961853,27.959999084473,28.040000915527,ok,1546473600,7861599
2,28.680000305176,28.709999084473,28.139999389648,28.139999389648,ok,1546560000,6656161
3,28.790000915527,29.200000762939,28.629999160767,28.89999961853,ok,1546819200,7845362
4,29.340000152588,29.35000038147,28.819999694824,28.870000839233,ok,1546905600,4658124
5,28.979999542236,29.430000305176,28.920000076294,29.270000457764,ok,1546992000,4719600
6,29.510000228882,29.549999237061,28.979999542236,29.040000915527,ok,1547078400,3436683
7,29.379999160767,29.5,29.219999313354,29.479999542236,ok,1547164800,3755126
8,29.200000762939,29.309999465942,28.950000762939,29.239999771118,ok,1547424000,5985637
9,29.290000915527,29.719999313354,29.200000762939,29.299999237061,ok,1547510400,5085290
10,29.520000457764,29.530000686646,29.209999084473,29.209999084473,ok,1547596800,4743782
11,29.540000915527,29.670000076294,29.39999961853,29.479999542236,ok,1547683200,3699634
12,29.440000534058,29.819999694824,29.430000305176,29.780000686646,ok,1547769600,6719809
13,29.610000610352,29.610000610352,29.079999923706,29.489999771118,ok,1548115200,7518674
14,29.870000839233,29.89999961853,29.620000839233,29.620000839233,ok,1548201600,4802178
15,30.120000839233,30.170000076294,29.620000839233,29.799999237061,ok,1548288000,6317645
16,29.790000915527,30.200000762939,29.729999542236,30.049999237061,ok,1548374400,5605437
17,29.860000610352,30.020000457764,29.610000610352,29.790000915527,ok,1548633600,6318358
18,30.030000686646,30.069999694824,29.860000610352,29.989999771118,ok,1548720000,4339038
19,30.209999084473,30.389999389648,29.89999961853,29.89999961853,ok,1548806400,3671999
20,30.920000076294,30.989999771118,30.040000915527,30.200000762939,ok,1548892800,6464631
21,30.809999465942,30.959999084473,30.549999237061,30.860000610352,ok,1548979200,4046425
22,30.930000305176,30.940000534058,30.389999389648,30.620000839233,ok,1549238400,5069113
23,30.829999923706,30.959999084473,30.739999771118,30.819999694824,ok,1549324800,6156793
24,30.60000038147,30.819999694824,30.5,30.719999313354,ok,1549411200,4231333
25,30.809999465942,30.860000610352,30.469999313354,30.629999160767,ok,1549497600,4006455
26,30.85000038147,30.879999160767,30.469999313354,30.809999465942,ok,1549584000,4929259
27,30.790000915527,30.940000534058,30.479999542236,30.829999923706,ok,1549843200,4539588
28,30.840000152588,31.010000228882,30.64999961853,30.860000610352,ok,1549929600,4621315
29,30.760000228882,30.889999389648,30.620000839233,30.760000228882,ok,1550016000,3379729
30,30.829999923706,30.979999542236,30.670000076294,30.780000686646,ok,1550102400,3626640
31,30.889999389648,31.040000915527,30.739999771118,30.950000762939,ok,1550188800,3797446
32,31.209999084473,31.229999542236,30.879999160767,30.930000305176,ok,1550534400,4638035
33,30.979999542236,31.059999465942,30.770000457764,30.950000762939,ok,1550620800,4870314
34,31.219999313354,31.260000228882,30.680000305176,30.799999237061,ok,1550707200,2875655
35,31.39999961853,31.420000076294,31.079999923706,31.280000686646,ok,1550793600,3042371
36,31.010000228882,31.409999847412,30.879999160767,31.389999389648,ok,1551052800,3382358
37,30.930000305176,31.270000457764,30.909999847412,31.270000457764,ok,1551139200,4009001
38,31.159999847412,31.180000305176,30.719999313354,30.909999847412,ok,1551225600,6019748
39,30.139999389648,30.219999313354,29.200000762939,30.190000534058,ok,1551312000,11266663
40,30.170000076294,30.280000686646,29.819999694824,30.10000038147,ok,1551398400,5962336
41,30.340000152588,30.360000610352,29.889999389648,30.170000076294,ok,1551657600,4788282
42,30.170000076294,30.360000610352,30.059999465942,30.290000915527,ok,1551744000,4568824
43,30.10000038147,30.25,29.940000534058,30.209999084473,ok,1551830400,4117967
44,30.030000686646,30.309999465942,29.920000076294,30.159999847412,ok,1551916800,5644214
45,30.030000686646,30.120000839233,29.75,30.079999923706,ok,1552003200,3960475
46,30.430000305176,30.430000305176,30.0,30.030000686646,ok,1552262400,4084801
47,30.680000305176,30.729999542236,30.329999923706,30.430000305176,ok,1552348800,3943988
48,30.409999847412,30.760000228882,30.39999961853,30.709999084473,ok,1552435200,6378403
49,30.409999847412,30.610000610352,30.260000228882,30.420000076294,ok,1552521600,5730152
50,30.809999465942,30.809999465942,30.35000038147,30.420000076294,ok,1552608000,9949230
51,30.579999923706,30.829999923706,30.379999160767,30.799999237061,ok,1552867200,5015219
52,30.270000457764,30.569999694824,30.209999084473,30.479999542236,ok,1552953600,3641322
53,30.260000228882,30.530000686646,30.219999313354,30.370000839233,ok,1553040000,3466382
54,30.620000839233,30.75,30.180000305176,30.239999771118,ok,1553126400,2916502
55,30.719999313354,30.920000076294,30.64999961853,30.719999313354,ok,1553212800,3836619
56,30.799999237061,30.879999160767,30.569999694824,30.659999847412,ok,1553472000,2888528
57,30.930000305176,31.069999694824,30.770000457764,30.799999237061,ok,1553558400,2445498
58,30.540000915527,31.0,30.489999771118,30.969999313354,ok,1553644800,3800206
59,30.329999923706,30.64999961853,30.139999389648,30.549999237061,ok,1553731200,4122658
60,30.700000762939,30.780000686646,30.239999771118,30.360000610352,ok,1553817600,4084488
61,30.700000762939,30.75,30.440000534058,30.690000534058,ok,1554076800,3133463
62,30.780000686646,30.860000610352,30.569999694824,30.809999465942,ok,1554163200,3940554
63,30.700000762939,30.889999389648,30.450000762939,30.700000762939,ok,1554249600,3371999
64,30.530000686646,30.940000534058,30.420000076294,30.89999961853,ok,1554336000,2680465
65,30.870000839233,30.870000839233,30.510000228882,30.629999160767,ok,1554422400,3856874
66,30.459999084473,30.799999237061,30.389999389648,30.780000686646,ok,1554681600,4356927
67,30.319999694824,30.530000686646,30.180000305176,30.469999313354,ok,1554768000,4005615
68,30.200000762939,30.520000457764,30.079999923706,30.370000839233,ok,1554854400,4637253
69,30.290000915527,30.370000839233,30.10000038147,30.239999771118,ok,1554940800,4812817
70,30.569999694824,30.629999160767,30.020000457764,30.190000534058,ok,1555027200,5162393
71,30.5,30.770000457764,30.39999961853,30.690000534058,ok,1555286400,4584894
72,30.14999961853,30.5,29.979999542236,30.379999160767,ok,1555372800,3432620
73,30.010000228882,30.180000305176,29.959999084473,30.139999389648,ok,1555459200,3000191
74,30.290000915527,30.459999084473,30.110000610352,30.159999847412,ok,1555545600,3892478
75,30.479999542236,30.5,30.209999084473,30.239999771118,ok,1555891200,3154687
76,30.620000839233,30.729999542236,30.39999961853,30.579999923706,ok,1555977600,3940164
77,30.290000915527,30.760000228882,30.280000686646,30.670000076294,ok,1556064000,6149939
78,30.510000228882,30.620000839233,30.020000457764,30.190000534058,ok,1556150400,4768591
79,30.469999313354,30.879999160767,30.459999084473,30.709999084473,ok,1556236800,2843401
80,30.450000762939,30.520000457764,30.299999237061,30.360000610352,ok,1556496000,2378492
81,31.0,31.040000915527,30.389999389648,30.530000686646,ok,1556582400,4436222
82,30.780000686646,31.090000152588,30.75,30.889999389648,ok,1556668800,6036209
83,30.75,31.030000686646,30.700000762939,30.770000457764,ok,1556755200,5859276
84,31.14999961853,31.159999847412,30.809999465942,30.809999465942,ok,1556841600,2679396
85,31.049999237061,31.170000076294,30.940000534058,31.14999961853,ok,1557100800,2891123
86,30.809999465942,31.120000839233,30.700000762939,31.030000686646,ok,1557187200,4483719
87,30.450000762939,30.840000152588,30.409999847412,30.719999313354,ok,1557273600,3748239
88,29.25,30.450000762939,29.139999389648,30.379999160767,ok,1557360000,9883089
89,29.659999847412,29.700000762939,28.760000228882,29.020000457764,ok,1557446400,7522986
90,30.159999847412,30.190000534058,29.479999542236,29.510000228882,ok,1557705600,6339733
91,29.780000686646,30.139999389648,29.629999160767,30.079999923706,ok,1557792000,8550184
92,29.420000076294,29.659999847412,29.379999160767,29.559999465942,ok,1557878400,5835449
93,29.60000038147,29.729999542236,29.319999694824,29.39999961853,ok,1557964800,4546229
94,29.770000457764,29.920000076294,29.459999084473,29.459999084473,ok,1558051200,4612539
95,29.639999389648,30.030000686646,29.549999237061,29.799999237061,ok,1558310400,3895118
96,29.520000457764,29.909999847412,29.5,29.639999389648,ok,1558396800,3804737
97,29.549999237061,29.680000305176,29.360000610352,29.540000915527,ok,1558483200,6442058
98,29.420000076294,29.610000610352,29.170000076294,29.569999694824,ok,1558569600,6392627
99,29.389999389648,29.719999313354,29.370000839233,29.60000038147,ok,1558656000,3848486
100,28.819999694824,29.510000228882,28.819999694824,29.489999771118,ok,1559001600,6517814
101,28.450000762939,28.930000305176,28.409999847412,28.920000076294,ok,1559088000,4157435
102,28.270000457764,28.60000038147,28.200000762939,28.459999084473,ok,1559174400,3999255
103,28.440000534058,28.540000915527,28.200000762939,28.290000915527,ok,1559260800,5326374
104,28.659999847412,28.739999771118,28.280000686646,28.610000610352,ok,1559520000,4841721
105,28.819999694824,28.840000152588,28.14999961853,28.700000762939,ok,1559606400,5360521
106,29.040000915527,29.190000534058,28.799999237061,28.959999084473,ok,1559692800,5904187
107,29.14999961853,29.409999847412,29.059999465942,29.190000534058,ok,1559779200,4823277
108,28.819999694824,29.540000915527,28.790000915527,29.409999847412,ok,1559865600,4008978
109,28.920000076294,28.979999542236,28.579999923706,28.829999923706,ok,1560124800,3184255
110,28.639999389648,28.920000076294,28.530000686646,28.860000610352,ok,1560211200,6415584
111,28.979999542236,29.059999465942,28.670000076294,28.739999771118,ok,1560297600,2896158
112,29.260000228882,29.559999465942,29.159999847412,29.559999465942,ok,1560384000,4925579
