,c,h,l,o,s,t,v
0,23.530000686646,23.559999465942,21.909999847412,22.10000038147,ok,1546387200,8578725
1,23.379999160767,23.729999542236,23.299999237061,23.559999465942,ok,1546473600,5446616
2,23.129999160767,23.909999847412,22.920000076294,23.700000762939,ok,1546560000,11585038
3,24.069999694824,24.479999542236,23.229999542236,23.35000038147,ok,1546819200,9121306
4,24.420000076294,24.75,24.170000076294,24.260000228882,ok,1546905600,7175115
5,23.85000038147,24.690000534058,23.760000228882,24.540000915527,ok,1546992000,6196835
6,24.120000839233,24.200000762939,23.639999389648,23.780000686646,ok,1547078400,5038925
7,24.180000305176,24.280000686646,23.870000839233,24.0,ok,1547164800,4698456
8,24.659999847412,24.780000686646,23.840000152588,23.909999847412,ok,1547424000,6754496
9,24.799999237061,25.170000076294,24.450000762939,24.610000610352,ok,1547510400,5487572
10,25.030000686646,25.489999771118,24.709999084473,24.770000457764,ok,1547596800,7422869
11,25.260000228882,25.360000610352,24.829999923706,24.89999961853,ok,1547683200,4924398
12,25.620000839233,25.889999389648,25.340000152588,25.489999771118,ok,1547769600,7347744
13,25.209999084473,25.5,25.090000152588,25.360000610352,ok,1548115200,6114949
14,24.959999084473,25.620000839233,24.819999694824,25.299999237061,ok,1548201600,4458764
15,25.479999542236,25.520000457764,24.75,24.920000076294,ok,1548288000,9736568
16,25.909999847412,26.120000839233,25.370000839233,25.479999542236,ok,1548374400,7969513
17,25.510000228882,25.719999313354,25.340000152588,25.639999389648,ok,1548633600,5564922
18,25.620000839233,25.799999237061,25.520000457764,25.729999542236,ok,1548720000,3851914
19,25.35000038147,25.870000839233,25.260000228882,25.629999160767,ok,1548806400,5694396
20,24.950000762939,25.489999771118,24.840000152588,25.319999694824,ok,1548892800,5556341
21,25.069999694824,25.239999771118,24.770000457764,25.020000457764,ok,1548979200,3524024
22,24.889999389648,24.979999542236,24.680000305176,24.879999160767,ok,1549238400,3129043
23,24.760000228882,25.069999694824,24.709999084473,24.799999237061,ok,1549324800,4015263
24,24.139999389648,24.64999961853,24.090000152588,24.629999160767,ok,1549411200,5559778
25,23.719999313354,24.14999961853,23.590000152588,24.040000915527,ok,1549497600,5018379
26,23.950000762939,23.950000762939,23.469999313354,23.690000534058,ok,1549584000,3943607
27,24.409999847412,24.489999771118,23.639999389648,23.860000610352,ok,1549843200,4297782
28,24.709999084473,24.89999961853,24.430000305176,24.510000228882,ok,1549929600,5832013
29,24.590000152588,24.829999923706,24.39999961853,24.690000534058,ok,1550016000,6414070
30,24.719999313354,24.909999847412,24.430000305176,24.520000457764,ok,1550102400,4998102
31,25.229999542236,25.25,24.739999771118,24.920000076294,ok,1550188800,7552293
32,25.180000305176,25.459999084473,25.10000038147,25.190000534058,ok,1550534400,4527527
33,24.950000762939,25.25,24.790000915527,25.180000305176,ok,1550620800,6962593
34,24.540000915527,25.110000610352,24.280000686646,24.860000610352,ok,1550707200,10725503
35,24.260000228882,25.190000534058,23.780000686646,24.340000152588,ok,1550793600,8461852
36,24.889999389648,25.25,24.200000762939,24.280000686646,ok,1551052800,10463094
37,25.110000610352,25.450000762939,24.940000534058,25.0,ok,1551139200,8652579
38,24.760000228882,25.260000228882,24.75,25.079999923706,ok,1551225600,6166454
39,24.620000839233,24.889999389648,24.549999237061,24.829999923706,ok,1551312000,7091809
40,25.239999771118,25.239999771118,24.840000152588,24.840000152588,ok,1551398400,5883258
41,25.340000152588,25.440000534058,25.059999465942,25.239999771118,ok,1551657600,7772446
42,25.75,25.770000457764,25.200000762939,25.35000038147,ok,1551744000,5063191
43,25.409999847412,25.719999313354,25.319999694824,25.610000610352,ok,1551830400,4445537
44,25.120000839233,25.540000915527,25.049999237061,25.540000915527,ok,1551916800,4697866
45,24.670000076294,25.010000228882,24.530000686646,24.989999771118,ok,1552003200,6636887
46,24.89999961853,25.0,24.690000534058,24.770000457764,ok,1552262400,4046741
47,25.520000457764,25.520000457764,24.940000534058,25.030000686646,ok,1552348800,4337460
48,25.979999542236,26.040000915527,25.430000305176,25.700000762939,ok,1552435200,6158711
49,26.049999237061,26.389999389648,25.950000762939,26.040000915527,ok,1552521600,4075184
50,25.930000305176,26.069999694824,25.700000762939,25.889999389648,ok,1552608000,7521967
51,25.950000762939,26.290000915527,25.860000610352,26.030000686646,ok,1552867200,5171568
52,25.959999084473,26.340000152588,25.889999389648,26.209999084473,ok,1552953600,6767025
53,26.409999847412,26.659999847412,25.85000038147,25.950000762939,ok,1553040000,7069140
54,26.590000152588,26.680000305176,26.379999160767,26.459999084473,ok,1553126400,3637728
55,25.959999084473,26.489999771118,25.930000305176,26.319999694824,ok,1553212800,4599183
56,26.389999389648,26.530000686646,25.780000686646,25.89999961853,ok,1553472000,4993907
57,26.389999389648,26.760000228882,26.270000457764,26.75,ok,1553558400,3249883
58,26.299999237061,26.430000305176,26.069999694824,26.170000076294,ok,1553644800,4047584
59,26.360000610352,26.469999313354,26.190000534058,26.190000534058,ok,1553731200,4978224
60,26.10000038147,26.559999465942,26.010000228882,26.540000915527,ok,1553817600,4464900
61,25.870000839233,26.430000305176,25.840000152588,26.319999694824,ok,1554076800,3845942
62,25.89999961853,26.14999961853,25.64999961853,26.020000457764,ok,1554163200,4053096
63,25.489999771118,26.010000228882,25.440000534058,26.010000228882,ok,1554249600,4531072
64,25.819999694824,25.889999389648,25.520000457764,25.569999694824,ok,1554336000,3222020
65,26.170000076294,26.170000076294,25.639999389648,25.870000839233,ok,1554422400,4753710
66,26.819999694824,26.860000610352,26.239999771118,26.25,ok,1554681600,5093661
67,27.139999389648,27.569999694824,26.819999694824,27.020000457764,ok,1554768000,9108554
68,27.14999961853,27.319999694824,27.0,27.260000228882,ok,1554854400,4437108
69,27.069999694824,27.180000305176,26.719999313354,27.059999465942,ok,1554940800,5245936
