,c,h,l,o,s,t,v
0,1367.37,1368.14,1341.55,1341.55,ok,1577923200,1406600
1,1360.66,1372.5,1345.5439,1347.86,ok,1578009600,1186400
2,1394.21,1396.5,1350.0,1350.0,ok,1578268800,1732300
3,1393.34,1402.99,1390.38,1397.9399,ok,1578355200,1502700
4,1404.3199,1411.58,1390.84,1392.08,ok,1578441600,1528000
5,1419.83,1427.33,1410.27,1420.5699,ok,1578528000,1500900
6,1429.73,1434.929,1418.35,1427.5601,ok,1578614400,1820700
7,1439.23,1440.52,1426.02,1436.13,ok,1578873600,1652300
8,1430.88,1441.8,1428.37,1439.01,ok,1578960000,1558900
9,1439.2,1441.395,1430.21,1430.21,ok,1579046400,1282700
10,1451.7,1451.99,1440.92,1447.4399,ok,1579132800,1173700
11,1480.39,1481.295,1458.22,1462.91,ok,1579219200,2396200
12,1484.4,1491.85,1471.2,1479.12,ok,1579564800,2036700
13,1485.95,1503.214,1484.9301,1491.0,ok,1579651200,1610800
14,1486.65,1495.52,1482.1,1487.64,ok,1579737600,1351200
15,1466.71,1495.495,1465.25,1493.59,ok,1579824000,1784600
16,1433.9,1438.0699,1421.2,1431.0,ok,1580083200,1755200
17,1452.5601,1456.0,1432.47,1443.0,ok,1580169600,1577400
18,1458.63,1465.4301,1446.74,1458.8,ok,1580256000,1077700
19,1455.84,1457.28,1436.4,1439.96,ok,1580342400,1339400
20,1434.23,1470.13,1428.53,1468.9,ok,1580428800,2417200
