,c,h,l,o,s,t,v
0,1054.6800537109,1060.7900390625,1025.2800292969,1027.1999511719,ok,1546387200,1593395
1,1025.4699707031,1066.2600097656,1022.3699951172,1050.6700439453,ok,1546473600,2097957
2,1078.0699462891,1080.0,1036.8599853516,1042.5600585938,ok,1546560000,2301428
3,1075.9200439453,1082.6999511719,1062.6400146484,1080.9699707031,ok,1546819200,2372667
4,1085.3699951172,1093.3499755859,1068.3499755859,1086.0,ok,1546905600,1770654
5,1081.6500244141,1091.6400146484,1074.3699951172,1087.9899902344,ok,1546992000,1349912
6,1078.8299560547,1079.8100585938,1064.6800537109,1074.9399414062,ok,1547078400,1329861
7,1064.4699707031,1073.3699951172,1056.4300537109,1069.9000244141,ok,1547164800,1543238
8,1051.5100097656,1058.4499511719,1048.5500488281,1053.3399658203,ok,1547424000,1424486
9,1086.5100097656,1088.2700195312,1054.4399414062,1058.0100097656,ok,1547510400,1875852
10,1089.5100097656,1102.3599853516,1088.0100097656,1090.0,ok,1547596800,1914041
11,1099.1199951172,1100.6999511719,1083.2600097656,1087.9899902344,ok,1547683200,1244801
12,1107.3000488281,1118.0,1099.2800292969,1108.5899658203,ok,1547769600,2244569
13,1078.6300048828,1098.9699707031,1070.8900146484,1096.0,ok,1548115200,1981594
14,1084.4100341797,1092.9499511719,1067.5699462891,1086.8599853516,ok,1548201600,1259738
15,1084.0,1088.0,1070.0200195312,1082.5100097656,ok,1548288000,1455948
16,1101.5100097656,1103.3599853516,1091.8000488281,1094.2299804688,ok,1548374400,1163788
17,1079.8599853516,1093.3699951172,1074.6099853516,1090.0699462891,ok,1548633600,1466714
18,1070.0600585938,1084.7299804688,1066.0200195312,1081.0400390625,ok,1548720000,985248
19,1097.9899902344,1099.5200195312,1076.6400146484,1077.3599853516,ok,1548806400,1472647
20,1125.8900146484,1127.6700439453,1105.25,1112.2399902344,ok,1548892800,2011572
21,1118.6199951172,1134.4000244141,1114.25,1122.2900390625,ok,1548979200,1655813
