,c,h,l,o,s,t,v
0,41.150001525879,42.189998626709,40.889999389648,42.159999847412,ok,1546387200,2797859
1,41.220001220703,41.650001525879,40.939998626709,41.159999847412,ok,1546473600,2475451
2,41.720001220703,41.759998321533,41.0,41.0,ok,1546560000,1773042
3,41.430000305176,42.299999237061,41.119998931885,42.299999237061,ok,1546819200,1583492
4,42.069999694824,42.099998474121,41.290000915527,41.490001678467,ok,1546905600,1747009
5,41.689998626709,42.180000305176,41.580001831055,42.060001373291,ok,1546992000,1279086
6,42.509998321533,42.560001373291,41.509998321533,41.700000762939,ok,1547078400,1627590
7,41.959999084473,42.540000915527,41.889999389648,42.439998626709,ok,1547164800,1646888
8,41.25,41.799999237061,40.75,41.700000762939,ok,1547424000,2361258
9,42.029998779297,42.069999694824,41.049999237061,41.259998321533,ok,1547510400,2315485
10,42.389999389648,42.540000915527,41.610000610352,42.069999694824,ok,1547596800,1907405
11,42.529998779297,42.599998474121,42.279998779297,42.419998168945,ok,1547683200,1167488
12,42.950000762939,42.979999542236,42.450000762939,42.599998474121,ok,1547769600,2021988
13,43.139999389648,43.439998626709,42.569999694824,43.159999847412,ok,1548115200,1976694
14,43.639999389648,43.650001525879,43.0,43.0,ok,1548201600,1749239
15,43.919998168945,43.970001220703,43.159999847412,43.540000915527,ok,1548288000,1610375
16,43.099998474121,43.970001220703,43.040000915527,43.650001525879,ok,1548374400,1776650
17,42.959999084473,43.349998474121,42.680000305176,43.229999542236,ok,1548633600,1234213
18,43.040000915527,43.360000610352,42.930000305176,43.150001525879,ok,1548720000,938797
19,43.330001831055,43.560001373291,42.509998321533,42.880001068115,ok,1548806400,1770140
20,44.470001220703,44.549999237061,43.200000762939,43.729999542236,ok,1548892800,2652341
21,44.159999847412,44.5,43.569999694824,44.349998474121,ok,1548979200,3437395
22,44.25,44.25,43.119998931885,44.0,ok,1549238400,1240196
23,44.360000610352,44.450000762939,43.950000762939,44.150001525879,ok,1549324800,1101859
24,44.229999542236,44.439998626709,43.950000762939,44.180000305176,ok,1549411200,989201
25,44.740001678467,44.759998321533,44.049999237061,44.080001831055,ok,1549497600,1909366
26,45.0,45.060001373291,44.409999847412,44.75,ok,1549584000,1216654
27,44.919998168945,45.159999847412,44.75,44.970001220703,ok,1549843200,1314843
28,44.950000762939,45.240001678467,44.639999389648,45.159999847412,ok,1549929600,1683969
29,44.900001525879,44.990001678467,44.590000152588,44.950000762939,ok,1550016000,1198865
30,44.880001068115,45.200000762939,44.650001525879,44.990001678467,ok,1550102400,1877432
31,44.979999542236,45.209999084473,44.680000305176,45.209999084473,ok,1550188800,2109993
32,45.150001525879,45.279998779297,44.720001220703,44.880001068115,ok,1550534400,1354951
33,45.169998168945,45.360000610352,44.860000610352,45.130001068115,ok,1550620800,1718906
34,45.630001068115,45.759998321533,44.779998779297,45.130001068115,ok,1550707200,1361882
35,45.680000305176,45.799999237061,44.770000457764,44.770000457764,ok,1550793600,1676118
36,45.340000152588,45.810001373291,45.090000152588,45.75,ok,1551052800,1342351
37,45.459999084473,45.619998931885,45.229999542236,45.520000457764,ok,1551139200,1470011
38,45.450000762939,45.549999237061,45.180000305176,45.450000762939,ok,1551225600,1203265
39,45.869998931885,45.990001678467,45.389999389648,45.5,ok,1551312000,1886662
40,45.869998931885,46.180000305176,45.369998931885,46.0,ok,1551398400,1932638
41,46.279998779297,46.340000152588,45.770000457764,45.849998474121,ok,1551657600,1841649
42,45.900001525879,46.279998779297,45.799999237061,46.25,ok,1551744000,1523088
43,46.020000457764,46.169998168945,45.680000305176,45.970001220703,ok,1551830400,1196837
44,46.189998626709,46.470001220703,46.060001373291,46.099998474121,ok,1551916800,1423611
45,46.25,46.479999542236,45.919998168945,46.240001678467,ok,1552003200,1608971
46,46.689998626709,46.729999542236,46.299999237061,46.400001525879,ok,1552262400,1345144
47,47.150001525879,47.220001220703,46.659999847412,46.779998779297,ok,1552348800,2268327
48,47.139999389648,47.330001831055,47.0,47.080001831055,ok,1552435200,2016392
49,46.930000305176,47.340000152588,46.830001831055,47.169998168945,ok,1552521600,1902425
50,47.400001525879,47.479999542236,46.840000152588,46.840000152588,ok,1552608000,5523418
51,47.099998474121,47.439998626709,46.860000610352,47.319999694824,ok,1552867200,1360634
52,46.459999084473,47.130001068115,46.270000457764,47.069999694824,ok,1552953600,1347069
53,46.580001831055,47.049999237061,46.340000152588,46.590000152588,ok,1553040000,1649278
54,47.119998931885,47.159999847412,46.459999084473,46.529998779297,ok,1553126400,1140836
55,47.549999237061,47.880001068115,47.220001220703,47.270000457764,ok,1553212800,1165549
56,47.590000152588,47.759998321533,47.340000152588,47.630001068115,ok,1553472000,1258889
57,47.860000610352,47.909999847412,47.529998779297,47.599998474121,ok,1553558400,800420
58,47.580001831055,47.880001068115,47.299999237061,47.880001068115,ok,1553644800,1160956
59,46.900001525879,47.770000457764,46.720001220703,47.599998474121,ok,1553731200,1034753
60,47.130001068115,47.169998168945,46.669998168945,46.880001068115,ok,1553817600,1262905
61,46.849998474121,47.139999389648,46.549999237061,47.130001068115,ok,1554076800,1350384
62,46.549999237061,46.930000305176,46.380001068115,46.919998168945,ok,1554163200,1712769
63,46.529998779297,46.650001525879,46.139999389648,46.520000457764,ok,1554249600,1704564
64,46.319999694824,46.650001525879,45.990001678467,46.639999389648,ok,1554336000,1111485
65,46.740001678467,46.759998321533,46.169998168945,46.209999084473,ok,1554422400,986538
66,46.360000610352,46.75,46.229999542236,46.650001525879,ok,1554681600,939884
67,46.439998626709,46.470001220703,46.200000762939,46.369998931885,ok,1554768000,833918
68,46.290000915527,46.900001525879,46.180000305176,46.470001220703,ok,1554854400,837609
69,46.630001068115,46.650001525879,46.299999237061,46.319999694824,ok,1554940800,1152508
70,46.810001373291,46.840000152588,46.139999389648,46.560001373291,ok,1555027200,801730
71,46.729999542236,46.979999542236,46.599998474121,46.840000152588,ok,1555286400,764634
72,46.099998474121,46.900001525879,45.930000305176,46.709999084473,ok,1555372800,801901
73,45.900001525879,46.220001220703,45.880001068115,46.139999389648,ok,1555459200,776632
74,45.979999542236,46.270000457764,45.75,45.880001068115,ok,1555545600,1897953
75,45.939998626709,46.110000610352,45.720001220703,45.950000762939,ok,1555891200,1113025
76,46.240001678467,46.389999389648,45.869998931885,46.099998474121,ok,1555977600,1004999
77,46.680000305176,46.799999237061,46.240001678467,46.330001831055,ok,1556064000,1248353
78,46.869998931885,47.040000915527,46.25,46.459999084473,ok,1556150400,961982
79,46.979999542236,47.409999847412,46.939998626709,47.029998779297,ok,1556236800,1124860
80,46.279998779297,46.560001373291,46.130001068115,46.490001678467,ok,1556496000,802124
81,47.229999542236,47.279998779297,46.209999084473,46.380001068115,ok,1556582400,1409740
82,46.779998779297,47.409999847412,46.580001831055,46.990001678467,ok,1556668800,1248536
83,46.680000305176,47.049999237061,46.459999084473,46.799999237061,ok,1556755200,1400932
84,47.220001220703,47.5,46.599998474121,46.950000762939,ok,1556841600,1270740
85,47.130001068115,47.779998779297,46.959999084473,47.340000152588,ok,1557100800,783070
86,46.880001068115,47.25,46.650001525879,47.0,ok,1557187200,1059782
87,46.159999847412,46.880001068115,46.119998931885,46.860000610352,ok,1557273600,1397057
88,46.279998779297,46.450000762939,46.009998321533,46.119998931885,ok,1557360000,1057544
89,47.180000305176,47.200000762939,46.229999542236,46.279998779297,ok,1557446400,734716
90,47.849998474121,47.909999847412,47.090000152588,47.150001525879,ok,1557705600,1057371
91,47.349998474121,47.919998168945,47.270000457764,47.869998931885,ok,1557792000,989964
92,47.310001373291,47.580001831055,47.240001678467,47.419998168945,ok,1557878400,885838
93,47.770000457764,47.880001068115,46.779998779297,47.200000762939,ok,1557964800,1069035
94,48.099998474121,48.310001373291,47.479999542236,47.610000610352,ok,1558051200,789950
95,48.200000762939,48.490001678467,48.049999237061,48.169998168945,ok,1558310400,928982
96,48.080001831055,48.569999694824,48.009998321533,48.229999542236,ok,1558396800,840590
97,48.470001220703,48.490001678467,47.979999542236,48.159999847412,ok,1558483200,756783
98,48.770000457764,48.799999237061,48.419998168945,48.479999542236,ok,1558569600,983048
99,48.720001220703,49.080001831055,48.659999847412,48.880001068115,ok,1558656000,695607
100,47.650001525879,48.770000457764,47.479999542236,48.770000457764,ok,1559001600,1654552
101,46.889999389648,47.799999237061,46.790000915527,47.759998321533,ok,1559088000,1152115
102,46.889999389648,47.169998168945,46.740001678467,46.979999542236,ok,1559174400,801551
103,47.459999084473,47.590000152588,46.889999389648,46.889999389648,ok,1559260800,1210147
104,48.0,48.090000152588,47.279998779297,47.610000610352,ok,1559520000,1333199
105,47.950000762939,48.080001831055,46.840000152588,48.069999694824,ok,1559606400,987991
106,49.069999694824,49.319999694824,47.979999542236,48.130001068115,ok,1559692800,1207320
107,49.279998779297,49.439998626709,48.950000762939,49.259998321533,ok,1559779200,815622
108,49.0,49.939998626709,48.959999084473,49.590000152588,ok,1559865600,1042883
109,48.779998779297,48.970001220703,48.409999847412,48.900001525879,ok,1560124800,657591
110,48.209999084473,48.880001068115,47.950000762939,48.650001525879,ok,1560211200,1199152
111,49.040000915527,49.080001831055,48.479999542236,48.549999237061,ok,1560297600,780174
112,49.229999542236,49.439998626709,48.810001373291,49.439998626709,ok,1560384000,1152048
113,50.0,50.009998321533,49.330001831055,49.389999389648,ok,1560470400,1126224
114,49.599998474121,50.080001831055,49.319999694824,49.959999084473,ok,1560729600,891562
115,49.189998626709,49.889999389648,48.869998931885,49.889999389648,ok,1560816000,1557566
116,49.650001525879,49.770000457764,48.580001831055,49.060001373291,ok,1560902400,2521125
117,49.979999542236,50.080001831055,49.380001068115,49.919998168945,ok,1560988800,984393
118,49.959999084473,50.150001525879,49.200000762939,49.979999542236,ok,1561075200,1925510
119,49.810001373291,50.139999389648,49.650001525879,50.110000610352,ok,1561334400,878237
120,49.779998779297,50.139999389648,49.689998626709,49.990001678467,ok,1561420800,1370891
121,48.979999542236,50.169998168945,48.919998168945,50.169998168945,ok,1561507200,1460400
122,48.930000305176,49.340000152588,48.770000457764,49.029998779297,ok,1561593600,1137686
123,49.080001831055,49.439998626709,48.819999694824,48.819999694824,ok,1561680000,1361736
124,48.990001678467,49.450000762939,48.479999542236,49.450000762939,ok,1561939200,874423
125,49.689998626709,49.869998931885,49.0,49.130001068115,ok,1562025600,1500425
126,50.180000305176,50.369998931885,49.889999389648,49.889999389648,ok,1562112000,749917
127,49.950000762939,50.220001220703,49.150001525879,49.740001678467,ok,1562284800,810048
128,49.930000305176,50.200000762939,49.590000152588,49.979999542236,ok,1562544000,924136
129,50.110000610352,50.139999389648,49.580001831055,49.869998931885,ok,1562630400,986976
130,50.369998931885,50.599998474121,50.0,50.150001525879,ok,1562716800,982515
131,50.290000915527,50.569999694824,49.930000305176,50.229999542236,ok,1562803200,881210
132,49.849998474121,50.5,49.709999084473,50.290000915527,ok,1562889600,632926
133,50.0,50.080001831055,49.599998474121,49.849998474121,ok,1563148800,725942
