,c,h,l,o,s,t,v
0,190.94999694824,190.99000549316,186.69999694824,187.82000732422,ok,1546387200,2475193
1,183.75999450684,188.2799987793,182.88999938965,188.2799987793,ok,1546473600,3358241
2,191.32000732422,191.97999572754,186.0299987793,186.75,ok,1546560000,2995052
3,190.88000488281,192.30000305176,188.66000366211,191.36000061035,ok,1546819200,2162158
4,191.67999267578,194.11000061035,189.58000183105,193.0,ok,1546905600,2479787
5,192.30000305176,193.94000244141,191.38000488281,193.25,ok,1546992000,2163815
6,193.60000610352,193.80999755859,189.39999389648,190.86999511719,ok,1547078400,1939317
7,192.21000671387,192.69000244141,190.86000061035,191.83999633789,ok,1547164800,2360186
8,192.16999816895,192.83000183105,189.80000305176,190.63999938965,ok,1547424000,1914426
9,188.94000244141,190.67999267578,187.86000061035,188.83999633789,ok,1547510400,2737349
10,189.47999572754,190.44000244141,188.41999816895,188.50999450684,ok,1547596800,2492126
11,191.71000671387,192.89999389648,187.89999389648,188.55999755859,ok,1547683200,1978891
12,195.86000061035,196.39999389648,192.36000061035,194.33999633789,ok,1547769600,2746603
13,192.25999450684,194.49000549316,190.42999267578,194.2200012207,ok,1548115200,2709562
14,192.28999328613,194.0,190.2799987793,192.63000488281,ok,1548201600,1653006
15,192.52000427246,193.16000366211,191.50999450684,192.25999450684,ok,1548288000,1582949
16,195.89999389648,197.16000366211,194.46000671387,194.7200012207,ok,1548374400,2320397
17,193.19999694824,193.44999694824,191.07000732422,193.13999938965,ok,1548633600,3156986
18,196.94999694824,199.88999938965,194.19999694824,195.00999450684,ok,1548720000,4311097
19,199.27000427246,200.11000061035,194.63000488281,198.2200012207,ok,1548806400,2168133
20,200.30000305176,200.88999938965,197.74000549316,198.80000305176,ok,1548892800,3338363
21,199.16000366211,201.77000427246,198.28999328613,201.49000549316,ok,1548979200,2239400
22,200.21000671387,200.25999450684,196.25,199.00999450684,ok,1549238400,1973572
23,201.11999511719,201.13000488281,199.72999572754,200.7200012207,ok,1549324800,2036879
24,202.57000732422,203.08000183105,200.25,201.2200012207,ok,1549411200,1672422
25,199.83999633789,202.39999389648,198.85000610352,201.02000427246,ok,1549497600,1949371
26,199.82000732422,199.85000610352,197.89999389648,199.2200012207,ok,1549584000,1451833
27,200.91000366211,201.19999694824,199.63999938965,200.92999267578,ok,1549843200,1513457
28,206.57000732422,206.78999328613,202.19000244141,202.86999511719,ok,1549929600,2622973
29,209.7200012207,210.39999389648,206.58999633789,207.08999633789,ok,1550016000,2967332
30,204.92999267578,207.11999511719,204.05000305176,206.58999633789,ok,1550102400,2229753
31,208.86000061035,208.9700012207,206.0,206.46000671387,ok,1550188800,2000378
32,208.41000366211,209.14999389648,207.38999938965,207.91000366211,ok,1550534400,1534457
33,208.5299987793,208.9700012207,207.32000732422,208.92999267578,ok,1550620800,1879145
34,207.77000427246,209.11000061035,207.25,208.16000366211,ok,1550707200,1737687
35,209.35000610352,209.66000366211,207.14999389648,207.77000427246,ok,1550793600,1534158
36,210.58000183105,211.35000610352,210.33999633789,210.4700012207,ok,1551052800,2183547
37,209.38000488281,211.58999633789,209.36999511719,210.58000183105,ok,1551139200,1671310
38,209.0299987793,209.69000244141,208.16000366211,209.60000610352,ok,1551225600,1540585
39,207.38999938965,209.05000305176,206.96000671387,209.05000305176,ok,1551312000,2121733
40,207.49000549316,209.75999450684,206.89999389648,208.80999755859,ok,1551398400,1754444
41,206.86000061035,209.97999572754,205.74000549316,208.99000549316,ok,1551657600,1990128
42,203.83999633789,207.25,203.83999633789,205.58000183105,ok,1551744000,2744490
43,202.80000305176,204.78999328613,202.75999450684,204.72999572754,ok,1551830400,1825348
44,199.86000061035,202.55999755859,198.5,202.55999755859,ok,1551916800,3339599
45,200.88999938965,201.16999816895,198.0,198.38000488281,ok,1552003200,1724488
46,207.10000610352,207.16000366211,201.66000366211,201.88000488281,ok,1552262400,2385314
47,205.80000305176,208.38999938965,205.38000488281,207.83999633789,ok,1552348800,2115092
48,206.66000366211,207.30000305176,205.63000488281,206.83000183105,ok,1552435200,2036665
49,207.38000488281,207.44999694824,205.72999572754,206.69999694824,ok,1552521600,1793356
50,208.08000183105,208.66000366211,206.78999328613,208.39999389648,ok,1552608000,4394759
51,208.49000549316,208.60000610352,205.61000061035,208.44000244141,ok,1552867200,1843555
52,209.02000427246,210.53999328613,208.30999755859,209.10000610352,ok,1552953600,2351597
53,208.30000305176,210.50999450684,207.28999328613,209.0,ok,1553040000,1734653
54,209.61000061035,210.16000366211,205.9700012207,206.80000305176,ok,1553126400,2288068
55,204.66000366211,208.49000549316,204.4700012207,208.28999328613,ok,1553212800,2716057
56,203.21000671387,205.4700012207,202.25,203.46000671387,ok,1553472000,2020649
57,207.24000549316,207.63999938965,204.77000427246,205.0,ok,1553558400,1895577
58,207.16000366211,207.94000244141,205.13000488281,207.39999389648,ok,1553644800,2003968
59,208.5299987793,208.74000549316,206.63999938965,208.0,ok,1553731200,1670590
60,207.7799987793,209.5,206.19999694824,209.28999328613,ok,1553817600,2858396
61,211.94000244141,212.38999938965,209.25,209.88999938965,ok,1554076800,2588445
62,212.13000488281,212.69999694824,211.0,212.24000549316,ok,1554163200,1413493
63,213.13000488281,213.92999267578,212.44000244141,212.94999694824,ok,1554249600,1569956
64,215.0299987793,215.27000427246,212.32000732422,213.5,ok,1554336000,1560926
65,215.41000366211,216.49000549316,214.80000305176,215.88000488281,ok,1554422400,1391097
66,215.02000427246,215.07000732422,213.4700012207,214.71000671387,ok,1554681600,1130042
67,211.96000671387,214.57000732422,211.82000732422,214.41999816895,ok,1554768000,1516450
68,212.11000061035,212.71000671387,210.7200012207,212.41999816895,ok,1554854400,1348780
69,213.5299987793,213.71000671387,211.44000244141,211.71000671387,ok,1554940800,1181248
70,217.41999816895,217.49000549316,214.35000610352,215.10000610352,ok,1555027200,1922409
71,215.83000183105,217.36000061035,214.89999389648,216.83999633789,ok,1555286400,1483313
72,216.89999389648,217.66999816895,215.47999572754,216.58999633789,ok,1555372800,1549643
73,217.63999938965,219.33000183105,217.17999267578,217.63000488281,ok,1555459200,1977615
74,218.88000488281,219.66999816895,217.61999511719,217.97999572754,ok,1555545600,1780159
75,218.53999328613,219.39999389648,217.27000427246,217.30000305176,ok,1555891200,1403478
76,219.5,219.55000305176,217.17999267578,218.00999450684,ok,1555977600,1561876
77,219.08000183105,219.75,218.10000610352,219.0,ok,1556064000,2048899
78,190.7200012207,198.96000671387,189.60000610352,197.53999328613,ok,1556150400,14646157
79,191.66999816895,192.25,189.36000061035,190.5299987793,ok,1556236800,4491273
80,190.21000671387,192.19000244141,189.75,191.52000427246,ok,1556496000,3803436
81,189.50999450684,190.86000061035,186.55000305176,190.86000061035,ok,1556582400,4540971
82,186.07000732422,189.71000671387,185.91999816895,189.49000549316,ok,1556668800,3818525
83,184.75,186.5,183.38000488281,184.5,ok,1556755200,5654907
84,185.2200012207,186.69000244141,184.08999633789,185.80999755859,ok,1556841600,4747767
85,183.03999328613,183.11000061035,180.13000488281,182.03999328613,ok,1557100800,6517556
86,179.11999511719,181.89999389648,177.80999755859,181.80999755859,ok,1557187200,5415556
87,178.58999633789,180.5299987793,178.5,179.50999450684,ok,1557273600,2990518
88,175.2799987793,177.39999389648,174.17999267578,177.30000305176,ok,1557360000,5098235
89,175.86000061035,176.33000183105,173.00999450684,175.02000427246,ok,1557446400,5012341
90,174.07000732422,174.58000183105,172.78999328613,173.94000244141,ok,1557705600,5916911
91,175.21000671387,176.9700012207,174.50999450684,174.78999328613,ok,1557792000,4013992
92,174.11999511719,175.64999389648,173.64999389648,174.02000427246,ok,1557878400,3015543
93,171.80999755859,174.38999938965,171.36000061035,174.38999938965,ok,1557964800,4039493
94,169.08999633789,170.25999450684,168.42999267578,170.0,ok,1558051200,4595046
95,166.25,167.96000671387,165.61000061035,167.96000671387,ok,1558310400,4374976
96,167.30000305176,167.41999816895,166.17999267578,167.00999450684,ok,1558396800,4148575
97,169.74000549316,170.75999450684,166.46000671387,167.42999267578,ok,1558483200,4504159
98,165.86999511719,168.30000305176,164.58999633789,167.58000183105,ok,1558569600,3830288
99,166.08999633789,167.41999816895,165.32000732422,166.33999633789,ok,1558656000,2366928
100,163.35000610352,166.99000549316,163.35000610352,166.80000305176,ok,1559001600,4875105
101,161.39999389648,163.80000305176,160.5,163.00999450684,ok,1559088000,3669087
102,160.58000183105,162.27000427246,160.0,161.39999389648,ok,1559174400,2478748
103,159.75,160.74000549316,159.63000488281,159.83000183105,ok,1559260800,3521955
104,160.03999328613,161.5,159.32000732422,159.75,ok,1559520000,3726881
105,164.28999328613,165.08999633789,161.58000183105,161.72999572754,ok,1559606400,3747008
106,163.85000610352,165.83000183105,162.88000488281,165.13999938965,ok,1559692800,3161679
107,164.7200012207,166.35000610352,162.46000671387,164.0,ok,1559779200,3581835
108,166.61000061035,167.08999633789,164.63999938965,165.55999755859,ok,1559865600,2017674
109,168.28999328613,170.2200012207,167.86999511719,168.11000061035,ok,1560124800,2257636
110,168.91000366211,170.36000061035,168.5,169.91000366211,ok,1560211200,2227253
111,169.00999450684,170.14999389648,168.58999633789,169.86999511719,ok,1560297600,2166416
112,168.85000610352,169.89999389648,167.86999511719,169.36000061035,ok,1560384000,2141467
113,166.69000244141,168.25,166.05000305176,168.24000549316,ok,1560470400,2719182
114,166.7799987793,167.42999267578,166.46000671387,167.10000610352,ok,1560729600,1783368
115,171.86000061035,172.27000427246,167.57000732422,167.85000610352,ok,1560816000,3623040
116,170.75,172.80999755859,170.53999328613,171.88000488281,ok,1560902400,2777447
117,173.94000244141,174.2799987793,171.69999694824,172.86999511719,ok,1560988800,3064186
118,173.35000610352,174.55999755859,172.63000488281,173.75,ok,1561075200,4880902
119,173.38000488281,174.33999633789,173.33999633789,173.35000610352,ok,1561334400,2711904
120,172.0299987793,173.38999938965,171.2799987793,173.25,ok,1561420800,2733265
121,171.88000488281,173.24000549316,171.7200012207,172.35000610352,ok,1561507200,1812226
122,171.5,172.78999328613,170.64999389648,172.50999450684,ok,1561593600,1718539
123,173.33999633789,174.36999511719,171.77000427246,171.85000610352,ok,1561680000,3600970
124,174.50999450684,175.7799987793,173.52000427246,175.46000671387,ok,1561939200,2107994
125,174.02000427246,175.10000610352,173.07000732422,175.10000610352,ok,1562025600,1555476
126,174.97999572754,175.03999328613,172.92999267578,174.16999816895,ok,1562112000,1170675
127,172.0,173.2799987793,169.7200012207,173.0,ok,1562284800,1740696
128,169.19000244141,170.47999572754,168.77000427246,169.91999816895,ok,1562544000,2285513
129,165.69999694824,167.44999694824,164.28999328613,166.82000732422,ok,1562630400,4536143
130,165.69999694824,167.30999755859,165.55999755859,166.19000244141,ok,1562716800,2661694
131,169.03999328613,169.08999633789,165.86999511719,166.30000305176,ok,1562803200,2815142
132,173.33999633789,173.36000061035,169.25,170.10000610352,ok,1562889600,3160670
133,172.83999633789,174.25,171.21000671387,173.38000488281,ok,1563148800,2187533
134,176.49000549316,177.25,172.7200012207,172.75,ok,1563235200,3918853
135,174.66999816895,176.49000549316,174.10000610352,176.35000610352,ok,1563321600,2947472
136,173.05999755859,175.13999938965,172.39999389648,174.41999816895,ok,1563408000,2223279
137,172.61000061035,173.99000549316,172.21000671387,173.00999450684,ok,1563494400,2360660
138,174.63999938965,175.21000671387,172.13000488281,172.80999755859,ok,1563753600,2004610
139,177.52000427246,178.02000427246,175.64999389648,176.0,ok,1563840000,2360731
140,179.41999816895,180.28999328613,176.25999450684,176.92999267578,ok,1563926400,3532346
141,178.13000488281,187.7200012207,176.66000366211,187.00999450684,ok,1564012800,7362223
142,173.97999572754,178.38999938965,170.57000732422,177.63000488281,ok,1564099200,4016128
143,176.75999450684,177.61999511719,173.66000366211,173.83000183105,ok,1564358400,2638931
144,177.63000488281,177.80999755859,173.80000305176,175.66000366211,ok,1564444800,1978939
145,174.7200012207,178.02000427246,173.39999389648,177.64999389648,ok,1564531200,3015762
146,173.36000061035,177.66999816895,173.0299987793,174.78999328613,ok,1564617600,2381294
147,170.55000305176,172.91999816895,169.80999755859,172.86000061035,ok,1564704000,2423102
148,164.71000671387,169.02000427246,164.41999816895,168.94999694824,ok,1564963200,2894657
149,163.71000671387,165.47999572754,162.89999389648,164.82000732422,ok,1565049600,3494834
150,163.63999938965,163.94999694824,158.03999328613,162.0,ok,1565136000,5993166
151,164.2200012207,165.49000549316,163.55000305176,164.36999511719,ok,1565222400,3260527
152,163.4700012207,164.75,162.0299987793,164.53999328613,ok,1565308800,1582093
153,162.10000610352,164.7799987793,161.55000305176,163.02000427246,ok,1565568000,1473832
154,164.88000488281,167.88000488281,162.14999389648,162.55999755859,ok,1565654400,3247304
155,158.80999755859,162.86999511719,158.66999816895,162.5,ok,1565740800,4056102
156,156.83999633789,159.69999694824,155.63000488281,158.05999755859,ok,1565827200,4452733
157,161.5,161.91000366211,157.44999694824,157.83999633789,ok,1565913600,3481777
158,162.94999694824,163.94999694824,161.7799987793,163.71000671387,ok,1566172800,3197998
159,161.00999450684,163.11000061035,160.96000671387,163.11000061035,ok,1566259200,2061691
160,161.14999389648,163.64999389648,161.05000305176,162.69000244141,ok,1566345600,1623565
161,160.88000488281,162.92999267578,160.14999389648,162.0,ok,1566432000,1441603
162,155.85000610352,160.35000610352,155.27000427246,160.08000183105,ok,1566518400,4224008
163,156.11999511719,157.4700012207,155.08000183105,157.00999450684,ok,1566777600,2215423
164,155.75,157.47999572754,155.39999389648,157.33000183105,ok,1566864000,2281142
165,157.55000305176,157.7799987793,154.0,155.10000610352,ok,1566950400,2352823
166,160.36000061035,161.0299987793,159.05000305176,159.30000305176,ok,1567036800,3170688
167,161.7200012207,162.14999389648,160.41000366211,161.57000732422,ok,1567123200,1967010
168,158.63999938965,161.63000488281,157.25999450684,161.39999389648,ok,1567468800,1835782
169,160.07000732422,160.63000488281,158.99000549316,159.83000183105,ok,1567555200,1520739
170,164.22999572754,166.41000366211,162.38999938965,162.5,ok,1567641600,2421764
171,163.94000244141,164.88000488281,162.94999694824,164.63999938965,ok,1567728000,1762386
172,165.94000244141,167.85000610352,164.69000244141,165.0,ok,1567987200,3091339
173,168.86000061035,169.10000610352,166.00999450684,166.16000366211,ok,1568073600,3240355
174,168.08000183105,169.88999938965,165.36999511719,169.86000061035,ok,1568160000,3579099
175,170.58000183105,171.85000610352,168.61000061035,169.61999511719,ok,1568246400,2870355
176,171.44000244141,172.47999572754,169.86000061035,170.58999633789,ok,1568332800,2534191
177,169.66999816895,171.21000671387,167.91000366211,171.21000671387,ok,1568592000,2459306
178,168.07000732422,168.57000732422,166.5,167.75999450684,ok,1568678400,2742017
179,167.44000244141,168.05000305176,165.25,167.61000061035,ok,1568764800,2190557
180,167.07000732422,168.80999755859,166.91000366211,167.38999938965,ok,1568851200,1631552
181,166.75999450684,169.16999816895,166.47999572754,167.42999267578,ok,1568937600,3712913
182,166.75999450684,167.42999267578,164.5,165.49000549316,ok,1569196800,2114937
183,164.74000549316,167.55000305176,164.16000366211,167.05000305176,ok,1569283200,3052313
184,164.0,164.97999572754,163.69000244141,164.75999450684,ok,1569369600,2788159
185,163.83000183105,164.41000366211,162.80000305176,164.0,ok,1569456000,2784498
186,164.5299987793,165.63999938965,163.52000427246,164.47999572754,ok,1569542400,2870298
187,164.39999389648,165.55999755859,163.94000244141,165.21000671387,ok,1569801600,2574771
188,158.38000488281,165.21000671387,158.16999816895,165.0,ok,1569888000,3283467
189,155.64999389648,157.2200012207,154.63000488281,157.05999755859,ok,1569974400,3046851
190,155.22999572754,155.46000671387,150.80999755859,155.13999938965,ok,1570060800,3089563
191,155.82000732422,156.05000305176,154.39999389648,155.22999572754,ok,1570147200,2648859
192,153.52000427246,155.35000610352,153.52000427246,155.0,ok,1570406400,2522123
193,150.74000549316,152.80000305176,150.58000183105,152.33000183105,ok,1570492800,2822012
194,150.99000549316,152.44000244141,150.78999328613,152.33999633789,ok,1570579200,3434926
195,152.30999755859,153.08999633789,150.86999511719,150.94999694824,ok,1570665600,3201645
196,158.10000610352,159.60000610352,154.11000061035,154.13000488281,ok,1570752000,4686467
197,160.50999450684,162.38999938965,157.33999633789,158.03999328613,ok,1571011200,3283072
198,162.97999572754,164.02000427246,159.35000610352,159.35000610352,ok,1571097600,3103740
199,162.17999267578,164.19999694824,162.11999511719,163.10000610352,ok,1571184000,1951970
200,163.53999328613,165.49000549316,163.08000183105,163.13999938965,ok,1571270400,1984704
201,163.10000610352,164.27000427246,162.97999572754,163.55999755859,ok,1571356800,2693736
202,165.94000244141,166.14999389648,164.75999450684,165.4700012207,ok,1571616000,2011631
203,167.53999328613,168.91000366211,165.10000610352,166.27000427246,ok,1571702400,2085530
204,168.75999450684,168.75999450684,166.55999755859,167.41000366211,ok,1571788800,2717458
205,161.88999938965,165.25,159.63000488281,165.16000366211,ok,1571875200,5959562
206,166.08999633789,167.63000488281,162.13000488281,162.50999450684,ok,1571961600,3104753
207,169.05999755859,169.71000671387,166.19999694824,166.47999572754,ok,1572220800,3138032
208,168.80999755859,169.94999694824,167.50999450684,168.0299987793,ok,1572307200,2669380
209,168.36999511719,168.57000732422,167.0299987793,168.22999572754,ok,1572393600,1780351
210,164.99000549316,168.55999755859,163.55000305176,168.50999450684,ok,1572480000,2653140
211,170.08999633789,170.14999389648,166.7200012207,166.94000244141,ok,1572566400,2467439
212,174.89999389648,175.0,171.61999511719,171.61999511719,ok,1572825600,4142793
213,175.27000427246,175.46000671387,173.77000427246,175.0,ok,1572912000,2304382
214,174.0,175.0,172.36000061035,174.91000366211,ok,1572998400,3012883
215,174.52000427246,176.71000671387,173.78999328613,175.72999572754,ok,1573084800,3358790
216,173.14999389648,174.86999511719,172.11000061035,174.58000183105,ok,1573171200,1615589
217,170.11000061035,172.5,169.64999389648,172.5,ok,1573430400,2664268
218,170.83999633789,172.07000732422,170.0299987793,170.36000061035,ok,1573516800,1740740
219,170.55000305176,171.38999938965,169.58000183105,170.11000061035,ok,1573603200,1830861
220,170.92999267578,172.32000732422,169.92999267578,169.97999572754,ok,1573689600,1613987
221,171.88000488281,172.69000244141,171.03999328613,171.66000366211,ok,1573776000,2617186
222,170.53999328613,171.19000244141,169.16999816895,170.78999328613,ok,1574035200,2364756
223,170.67999267578,171.7200012207,169.5299987793,171.7200012207,ok,1574121600,1791801
224,167.77000427246,170.0,167.14999389648,169.78999328613,ok,1574208000,2692491
225,165.13999938965,167.0,164.50999450684,166.88000488281,ok,1574294400,3605927
226,167.60000610352,167.75,165.0,165.5,ok,1574380800,3268383
227,170.24000549316,170.35000610352,167.86999511719,168.4700012207,ok,1574640000,2761863
228,169.22999572754,170.25,168.71000671387,169.80000305176,ok,1574726400,2610945
229,170.61000061035,171.36999511719,169.50999450684,170.0,ok,1574812800,1331913
230,169.77000427246,170.58000183105,169.25999450684,170.42999267578,ok,1574985600,942523
231,168.27000427246,171.69999694824,168.24000549316,170.16000366211,ok,1575244800,2342652
232,165.16999816895,166.60000610352,164.39999389648,166.5,ok,1575331200,2727837
233,167.13999938965,168.86999511719,166.0,166.41999816895,ok,1575417600,2140161
234,164.36999511719,167.86999511719,162.7200012207,167.2200012207,ok,1575504000,3309411
235,171.4700012207,171.99000549316,167.25,167.25,ok,1575590400,3880746
236,169.83000183105,171.25999450684,168.78999328613,169.39999389648,ok,1575849600,2087248
237,167.66000366211,169.38999938965,166.9700012207,169.13000488281,ok,1575936000,2670466
238,168.74000549316,168.83999633789,167.33000183105,168.38000488281,ok,1576022400,1859298
239,168.55999755859,170.85000610352,166.32000732422,166.72999572754,ok,1576108800,2872506
240,168.78999328613,171.11999511719,168.08000183105,169.61999511719,ok,1576195200,2098066
241,170.75,170.83000183105,168.19000244141,168.94000244141,ok,1576454400,2917226
242,169.92999267578,171.78999328613,169.21000671387,170.35000610352,ok,1576540800,2672645
243,169.0299987793,170.0,168.19000244141,169.7799987793,ok,1576627200,2270426
244,172.14999389648,172.58000183105,169.14999389648,169.61999511719,ok,1576713600,2757612
245,175.36999511719,175.4700012207,172.19999694824,174.78999328613,ok,1576800000,7513632
246,178.4700012207,179.17999267578,176.55999755859,176.71000671387,ok,1577059200,4876334
247,176.67999267578,178.66999816895,176.03999328613,178.27000427246,ok,1577145600,1259530
248,176.58999633789,176.66000366211,175.5,176.44999694824,ok,1577318400,1435527
249,177.25999450684,177.53999328613,175.61999511719,176.64999389648,ok,1577404800,1472999
250,175.83000183105,178.96000671387,175.58999633789,177.25999450684,ok,1577664000,1715119
251,176.41999816895,176.58999633789,175.07000732422,175.22999572754,ok,1577750400,1574011
