,c,h,l,o,s,t,v
0,29.540000915527,29.590000152588,28.299999237061,28.5,ok,1546387200,39293952
1,29.579999923706,29.809999465942,29.209999084473,29.520000457764,ok,1546473600,37603572
2,30.340000152588,30.379999160767,29.889999389648,29.959999084473,ok,1546560000,42072388
3,30.889999389648,31.270000457764,30.420000076294,30.729999542236,ok,1546819200,41070896
4,31.280000686646,31.379999160767,31.030000686646,31.309999465942,ok,1546905600,43567260
5,30.10000038147,30.879999160767,29.969999313354,30.879999160767,ok,1546992000,44305280
6,30.39999961853,30.479999542236,29.819999694824,30.049999237061,ok,1547078400,32015596
7,30.870000839233,30.950000762939,30.309999465942,30.39999961853,ok,1547164800,28933612
8,30.620000839233,30.780000686646,30.389999389648,30.700000762939,ok,1547424000,24468180
9,30.60000038147,30.60000038147,30.229999542236,30.520000457764,ok,1547510400,26735374
10,30.559999465942,30.75,30.35000038147,30.530000686646,ok,1547596800,24494416
11,30.639999389648,30.75,30.409999847412,30.549999237061,ok,1547683200,26266964
12,30.959999084473,31.030000686646,30.520000457764,30.819999694824,ok,1547769600,43249104
13,30.579999923706,30.989999771118,30.420000076294,30.920000076294,ok,1548115200,37658460
14,30.889999389648,30.89999961853,30.590000152588,30.719999313354,ok,1548201600,27854624
15,30.60000038147,30.780000686646,30.270000457764,30.780000686646,ok,1548288000,24393844
16,30.659999847412,31.040000915527,30.639999389648,30.680000305176,ok,1548374400,30505704
17,30.670000076294,30.680000305176,30.430000305176,30.620000839233,ok,1548633600,31028572
18,30.700000762939,30.700000762939,30.450000762939,30.620000839233,ok,1548720000,31342724
19,29.370000839233,30.39999961853,29.010000228882,29.959999084473,ok,1548806400,92953488
20,30.059999465942,30.090000152588,29.139999389648,29.5,ok,1548892800,52176968
21,30.0,30.360000610352,29.89999961853,30.209999084473,ok,1548979200,41076164
22,29.610000610352,30.030000686646,29.559999465942,30.030000686646,ok,1549238400,39034260
23,29.629999160767,29.709999084473,29.459999084473,29.670000076294,ok,1549324800,29276888
24,29.559999465942,29.790000915527,29.520000457764,29.700000762939,ok,1549411200,22928168
25,29.450000762939,29.559999465942,28.920000076294,29.540000915527,ok,1549497600,37887744
26,29.549999237061,29.559999465942,29.10000038147,29.39999961853,ok,1549584000,24281568
27,29.709999084473,29.840000152588,29.459999084473,29.579999923706,ok,1549843200,29057320
28,29.809999465942,30.030000686646,29.729999542236,29.85000038147,ok,1549929600,29989070
29,29.840000152588,29.879999160767,29.5,29.809999465942,ok,1550016000,30040088
30,29.790000915527,30.010000228882,29.549999237061,29.700000762939,ok,1550102400,25846240
31,30.469999313354,30.520000457764,29.930000305176,30.030000686646,ok,1550188800,37188656
32,30.629999160767,30.680000305176,30.309999465942,30.459999084473,ok,1550534400,24712412
33,30.85000038147,30.940000534058,30.459999084473,30.639999389648,ok,1550620800,24749090
34,30.829999923706,31.059999465942,30.629999160767,30.860000610352,ok,1550707200,26580394
35,31.14999961853,31.190000534058,30.819999694824,30.950000762939,ok,1550793600,23357232
36,31.129999160767,31.290000915527,31.020000457764,31.25,ok,1551052800,24414700
37,31.219999313354,31.430000305176,30.959999084473,31.139999389648,ok,1551139200,29664844
38,31.059999465942,31.270000457764,30.780000686646,31.229999542236,ok,1551225600,26349548
39,31.120000839233,31.270000457764,30.969999313354,31.059999465942,ok,1551312000,28225982
40,30.819999694824,31.239999771118,30.639999389648,31.200000762939,ok,1551398400,30592852
41,29.979999542236,30.950000762939,29.670000076294,30.950000762939,ok,1551657600,49482744
42,29.950000762939,30.049999237061,29.799999237061,30.020000457764,ok,1551744000,26029792
43,29.809999465942,30.139999389648,29.770000457764,30.0,ok,1551830400,24580344
44,29.920000076294,30.069999694824,29.799999237061,29.860000610352,ok,1551916800,24826104
45,29.959999084473,30.059999465942,29.739999771118,29.85000038147,ok,1552003200,22505948
46,30.219999313354,30.309999465942,29.950000762939,29.979999542236,ok,1552262400,26018524
47,30.629999160767,30.889999389648,30.219999313354,30.25,ok,1552348800,32484586
48,30.280000686646,30.719999313354,30.209999084473,30.64999961853,ok,1552435200,27702220
49,30.280000686646,30.489999771118,30.209999084473,30.280000686646,ok,1552521600,22091440
